,density,nelements,energysStab,atomMean,atomStd,transition,metalloid,other,NdValenc wmean,BulkModulus wstd,Number wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,BCCenergy_p wstd,n_ws^third wmean,AtomicVolum wmean,AtomicVolum wstd,Density wstd,HeatFusion wmean,HeatFusion wstd,BCCvolume_padiff wmean,BCCvolume_padiff wstd,IsNonm wmean,MeltingT wstd,BCCenergydiff wmean,GSmagmom wmean,GSmagmom wstd,phi wmean,SpaceGroupNumber wstd,meanbv,vx,Coordination,numberDensity,oxidation flexibility,ShannonRadii,avgIonicRadVol,AtomicNum Density,deltaShannon,oxidation flexibility Std,deltaShannonstd,deltashannonmax,chargedensityvoldens
"mp-300755414, TiS2, Li(TiS2)2, mp-9027, mvc-16738",3.1433386446648663,2.0,0.022005891666666774,18.0,2.8284271247461903,1.0,0.0,2.0,0.3333333333333333,15.766666666666666,1.6666666666666663,2.7105,354.0933333333333,2.092503518333333,0.0,0.0,0.0,0.0,0.3233333333333333,0.2759483016666666,0.2533333333333333,11.99490145802475,6.116129071756049,97.83333333333336,2.932,1.7846666666666668,-3.363958333333333,3.413958333333333,0.3333333333333333,194.04666666666668,0.3838023579166666,3.75555555555e-06,3.75555555555e-06,0.6333333333333333,8.999999999999996,0.06379878744202228,6.5386893079270765,6.0,0.050705722762723685,7.0,0.9450066221986606,0.8597701299829822,18.0,0.0607866843325394,1.4142135623730951,0.03296851093638292,0.0840989419812786,0.8858605492269022
"mp-300755457, Li3(Fe2S3)2, Li2Fe2S3, mp-754052, mp-755457",3.240308428105312,3.0,0.1967011657692304,16.076923076923073,8.352443571163317,1.0,0.0,3.0,0.6153846153846154,23.22581143677824,3.3093814013645466,6.852678818833032,289.1522102404138,1.4439464070513963,0.07692307692307693,0.10878565864408424,0.0,0.0,0.4305128205128205,0.8664150638401105,0.2569230769230769,7.044638689380058,3.923460780630899,954.6266458009172,1.9119487179487185,1.6532324983566642,-1.5705448717923076,2.2075016115467863,0.15384615384615385,198.1071246722108,0.16870825134615386,0.2164782358974359,0.3061464571647561,0.7248717948717949,15.59147257618783,0.2704409804586613,6.100087272923878,5.615384615384616,0.05810371153657563,6.153846153846152,0.8811870916845497,0.8361074594648094,16.076923076923073,0.05074719418551996,3.3706003538779457,0.03544133131415879,0.088956015810514,0.9066563080665304
"mp-300755570, NiS, Li(NiS)2, mp-594, mp-755570",5.6805614605483035,2.0,0.1037128072916671,22.0,6.0,1.0,0.0,2.0,2.0,43.075,3.0,6.6571,617.07,0.66744838,0.0,0.0,0.0,0.0,0.28800000000000003,0.6090874725,0.4375,9.526957559094075,4.056315338241525,1737.0,4.80025,3.93975,-2.53921875,2.54421875,0.25,334.91,0.3004032746875003,0.148848675,0.148848675,1.3,38.75,-0.002871906072034025,3.384803333,7.0,0.07538507448922366,6.5,0.8284257732000595,0.8284257732000595,22.0,0.2003220673608105,1.5,0.1747719847676186,0.3750940521284291,1.609696233200706
"mp-300755615, Li5Ti12O24, Li7Ti16O32, mp-765985, mp-766834",3.745078623587027,3.0,0.0351900529268292,11.48780487804878,6.94621128954487,1.0,0.0,3.0,0.19512195121951206,14.870827693615837,2.551783736517184,5.450982244437277,436.3175952486795,0.7234601621558817,0.04065040650406504,0.05748835619402825,0.0,0.0,0.3758536585365854,0.8282001922660892,0.18813008130081305,3630.342179610168,5128.571473734217,606.8346872935325,1.5453658536585368,1.8382678135766524,-0.33509485094715435,0.4982424807098925,0.19512195121951206,247.3841036370409,0.4594978524390245,2.1983739837365847e-06,3.1089703029684486e-06,0.4865853658536585,20.399114394207142,-0.10477227170881412,4.8692228534063515,4.829268292682927,0.0931118845241246,3.804878048780489,0.4381058872335871,0.4381058872335871,11.48780487804878,0.00489054729130261,1.4852036436720322,0.0022397570529368483,0.007611588512882754,1.0381928788194454
"mp-300755615, Li7Ti16O32, LiTi2O4, mp-766834, mp-760378",3.748972746209184,3.0,0.03653761872727301,11.436363636363636,6.956393099780781,1.0,0.0,3.0,0.19393939393939394,14.766027074184699,2.528093755163047,5.399358280888113,431.9476058456348,0.7185226406348749,0.04242424242424242,0.05999693900976767,0.0,0.0,0.3808121212121212,0.8182883946174981,0.18896969696969693,3608.383629144005,5097.458436247286,602.4522541596754,1.542060606060606,1.8232540481651471,-0.3332323232309091,0.4951130836654046,0.19393939393939394,245.28293762858812,0.4567218091515151,2.1850505050472725e-06,3.0901280587080338e-06,0.4893939393939393,20.225870567676086,-0.10341409138670682,4.867288634599171,4.945454545454545,0.09361347543822024,3.7818181818181817,0.436770255041296,0.436770255041296,11.436363636363636,0.0036767407131794282,1.509857417601942,0.0016799157892428615,0.005704659424317908,1.0391116250253878
"mp-300755615, LiTi2O4, Li3Ti4O8, mp-760378, mp-755615",3.751546880243573,3.0,0.04154904500000178,11.285714285714285,6.983946606617324,1.0,0.0,3.0,0.19047619047619047,14.459420110501414,2.4587296463667783,5.248226465908299,419.40255076934943,0.7040637069517036,0.047619047619047616,0.06734350297014738,0.0,0.0,0.3953333333333333,0.7892937756065125,0.19142857142857145,3544.0764456359557,5006.341686891098,589.6360443537699,1.5323809523809524,1.779475323319729,-0.3277777777761904,0.4859489525461708,0.19047619047619047,239.16141692880203,0.4485919680952381,2.1460317460285717e-06,3.034947200516818e-06,0.4976190476190476,19.84303484213117,-0.0994365633005357,4.8913580990000005,5.0,0.09488447266393177,3.7142857142857135,0.4341435077878921,0.4341435077878921,11.285714285714285,0.014773632239445219,1.5779087167410375,0.006702454261562506,0.02271544006339763,1.0393458306221204
"mp-300755615, TiO2, Li5Ti12O24, mp-754672, mp-765985",2.9559963142453225,2.0,0.032580068333333045,12.666666666666664,6.599663291074443,1.0,0.0,2.0,0.3333333333333333,18.33333333333333,1.0,2.6447000000000003,563.3,0.5284860083333333,0.0,0.0,0.0,0.0,0.3933333333333333,0.456960815,0.2533333333333333,6200.338441689601,6194.459669303333,750.6903333333332,2.4316666666666658,2.285,-0.5666666666666668,0.6166666666666665,0.3333333333333333,305.23333333333335,0.7846732666666666,3.75555555555e-06,3.75555555555e-06,0.6333333333333333,28.33333333333333,-0.1358972374237706,5.327412725,4.333333333333333,0.06686752323566407,4.333333333333333,0.5687955650011755,0.5687955650011755,12.666666666666664,0.011142839219963395,0.4714045207910316,0.005326875816065988,0.01867617924412117,0.8220788174055396
"mp-300755797, Ti8O13, LiTi8O13, mp-752989, mp-755797",3.974273245296681,2.0,0.00998982809523774,13.333333333333336,6.79869268479038,1.0,0.0,2.0,0.3809523809523809,20.952380952380953,1.7142857142857135,4.16532857142857,650.2071428571427,0.3844459023809525,0.0,0.0,0.0,0.0,0.3839523809523809,0.6979374749999999,0.2895238095238095,5758.0869928960155,5751.368395883137,858.033880952381,2.763333333333333,2.6271428571428572,-0.5208333333333336,0.5779761904761903,0.30952380952380953,352.7523809523809,0.7326951408333333,4.2920634920571435e-06,4.2920634920571435e-06,0.7238095238095237,33.238095238095234,-0.07807861828756403,6.141874218306649,5.333333333333333,0.08505370621724527,4.380952380952381,0.4749762702247742,0.4749762702247742,13.333333333333336,0.008490192977843564,0.4856209060564558,0.003988560288051738,0.013574629662822827,1.1006971906558731
"mp-300755915, Li3Nb3TeO12, Li4Nb3TeO12, mp-754751, mp-755915",4.706628532837627,4.0,0.018117150263158518,14.73684210526316,15.244816566064804,1.0,1.0,4.0,0.2894736842105263,10.945533753146725,2.283567699991225,4.953309220167328,299.0420481440223,0.7127257131521342,0.03947368421052632,0.06837042661456094,0.0,0.0,0.29946052631578945,0.6779725269522453,0.10342105263157894,2937.6179113128405,5083.466618382631,539.7917795954806,1.5660526315789474,1.8512169202642288,-0.3685964912263157,0.4553015398089398,0.15789473684210525,167.81831495395684,0.3669042633772369,0.0,0.0,0.2723684210526316,14.184991678519506,0.02208130921311403,5.263483556219894,5.2105263157894735,0.08698195234661091,3.8947368421052633,0.4594474590111484,0.4245394922376834,14.73684210526316,0.016355045103643412,1.9972279958958183,0.034402529417069304,0.16163944785282655,1.2441405936124774
"mp-300756177, Li3ZrNb(TeO6)2, Li4ZrNb(TeO6)2, mp-754249, mp-756177",4.941755106164846,5.0,0.01964437644736705,15.26315789473684,16.315449911576895,2.0,1.0,5.0,0.2736842105263157,3.700056149907103,1.908430051942668,4.360256046245818,82.31667071812576,0.6950551197695689,0.03157894736842105,0.06315789473684211,0.0,0.0,0.23904210526315786,0.4730813494647264,0.06305263157894736,2350.317680271653,4696.061441702132,239.8447265670173,1.0252631578947369,0.6402367982978929,-0.3675964912263157,0.4571043847860604,0.1263157894736842,37.56452454524414,0.2975851767193684,0.0,0.0,0.16894736842105265,10.25236139274381,0.10812834557579336,5.263129954192606,5.368421052631579,0.08670433397909819,3.842105263157895,0.4635368799971896,0.3939437764164168,15.26315789473684,0.02436476355432932,2.109206832580408,0.04703033901044164,0.1611235468132667,1.284461472599728
