,density,nelements,Unit Cell Mass,energysStab,atomMean,transition,metalloid,other,FirstIonizationEnergy wmean,ICSDVolum wmean,Electronegativity wmean,BulkModulus wstd,GSenergy_p wmean,GSenergy_p wstd,BoilingT wstd,BCCfermi wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,BCCenergy_p wstd,MiracleRadius wstd,n_ws^third wmean,AtomicVolum wmean,MendeleevNumber wmean,HeatFusion wmean,HeatFusion wstd,IsNonm wmean,MeltingT wstd,CovalentRadius wstd,NpUnfilled wmean,BCCenergydiff wmean,GSmagmom wstd,phi wmean,Row wstd,meanbv,Coordination,numberDensity,li-ion fittability,oxidation flexibility,avgIonicRadVol,AtomicNum Density,oxidation flexibility Std,chargedensityvoldens
"mp-300850496, Mn3Nb(PO4)6, Li6Mn3Nb(PO4)6, mp-775181, mp-850496",3.0101734067292787,4.0,827.5486870000003,0.031153714264707588,11.705882352941178,2.0,0.0,4.0,3.079516544117648,4.303897058823529,0.7496323529411764,4.001837813099495,-1.3508902739413238,1.183709508527797,53.67104388361656,0.8169409123524862,0.0,0.0,0.20844117647058824,0.2580582511491527,0.5200710905255648,15.466455148533285,0.12036764705882355,3282.6224777428133,20.50735294117647,1.3621323529411766,1.16007306801776,0.22058823529411767,35.973201891481104,15.785329669837976,0.4852941176470589,0.4403254971030882,1.1848782153546175e-05,0.3727941176470588,0.4821085284642797,0.06966065376376561,4.235294117647058,0.07447796786179617,9.730165736194252,5.294117647058823,0.5266670919382395,11.705882352941178,2.1078203373139903,0.8461899286483463
"mp-300850774, V4(OF3)3, Li3V4(OF3)3, mp-782708, mp-850774",3.3012032167925343,3.0,422.74982879999993,0.00992110218750053,12.3125,1.0,0.0,3.0,4.6800856249999985,5.320416666666668,1.0970833333333332,18.856180831641268,-1.360624314427083,0.6186855553836099,418.6461623748396,1.0282842267692038,0.0,0.0,0.252625,0.15049491270471568,0.8350260031365688,13.858411003991606,0.13666666666666666,4650.967670798115,26.70833333333333,1.8532291666666667,2.490617449974615,0.25,247.8860909191569,11.03226801251674,0.3125,0.30671136109375,0.0,0.3541666666666667,0.3280836614171588,-0.049535285571245084,5.6875,0.07524189804771851,5.787564768579854,2.25,0.7826340569643162,12.3125,2.633913438213185,0.8991701160268057
"mp-300850895, LiVOF3, Li2VOF3, mp-850913, mp-850895",2.8965793814563705,4.0,1047.0168768,0.034959239414683374,10.166666666666666,1.0,0.0,4.0,3.251014958333333,4.255416666666666,0.7495833333333333,11.307184908524116,-0.8608384323958334,0.4189476145868644,239.67451486193843,0.6851317357009284,0.0,0.0,0.310875,0.20593153443559828,0.4830998924928898,10.045383129688096,0.10916666666666666,3101.350492699002,17.208333333333332,1.061875,1.4660801828108019,0.16666666666666666,143.53244808508845,6.619101147436862,0.2083333333333333,0.20465557947916665,0.0,0.2958333333333333,0.2763853991962833,-0.06376561274294808,4.833333333333333,0.07996941717225649,8.734761582674198,1.6666666666666667,0.7626931640313622,10.166666666666666,2.42670329642684,0.7891115391695639
"mp-300850895, VOF3, LiVOF3, mp-779943, mp-850913",2.9057589253194425,3.0,247.8722192,0.021063083499999642,11.6,1.0,0.0,3.0,4.8421759999999985,5.366666666666667,1.134,15.084944665313015,-1.2526823645,0.37942354653740784,330.9753032156125,0.9395252673087572,0.0,0.0,0.2586,0.1703753503297939,0.6097615438262745,10.944709528656604,0.10933333333333334,4960.724517779746,27.46666666666667,1.499,1.981105920102877,0.26666666666666666,195.85611476001685,9.169514709078118,0.3333333333333333,0.3271587851666667,0.0,0.2833333333333334,0.3265986323710904,-0.05022173796455887,4.6,0.07059641802445067,5.903477744444442,2.0,0.791723748504153,11.6,2.5298221281347035,0.7948341786367555
"mp-300850903, MnH8(SO6)2, LiMnH8(SO6)2, mp-779401, mp-850903",2.1414335124251767,4.0,1276.4974599999996,0.028281699739129525,7.0,1.0,0.0,4.0,3.2647628695652173,5.741304347826088,0.7129347826086957,2.179760613623252,-1.097248126824348,0.8612350135069899,33.844253040865595,0.4783925793692893,0.0,0.0,1.3841630434782608,2.0810842955884774,0.3967147336438023,12.748012187976661,0.14793478260869564,4044.7535578302836,21.82608695652174,0.21165217391304345,0.20729348709513395,0.2391304347826087,21.809509497851206,11.293028404648778,0.3043478260869565,0.4289927366069566,5.838530336529999e-06,0.5005434782608695,0.34441259821206216,0.14471632088961725,3.4782608695652173,0.09294443845738756,10.390331722222221,3.9130434782608696,0.5591635787159381,7.0,2.0833301827323383,0.6314766938998533
"mp-300850917, FePO4, LiFePO4, mp-777026, mp-850917",3.631480818606917,3.0,603.265448,0.026340604166668058,12.166666666666664,1.0,0.0,3.0,4.047849444444443,5.567222222222222,0.9877777777777776,12.945994184770004,-1.817397834583333,0.977197848581932,210.73888837628914,0.4012745669482827,0.0,0.0,0.2716666666666667,0.24163497876541584,0.3599343763674861,11.304702397511234,0.19,4133.821119596877,27.0,1.8461111111111108,1.2440393685962208,0.2777777777777777,121.39353588867719,11.479719100103624,0.6111111111111109,0.5503130012499999,0.16582933096424285,0.5822222222222222,0.3600411499115478,0.12367285174527436,4.166666666666667,0.08700365248964033,5.312324508095172,5.333333333333333,0.4662509038550486,12.166666666666664,1.8856180831641267,1.027412803272012
"mp-300850928, LiNb7V12O48, Li9Nb7V12O48, mp-775662, mp-850928",3.420477945191427,4.0,2036.5548600000002,0.0728434360661776,13.970588235294118,2.0,0.0,4.0,2.8945748125,4.2225,0.72375,12.00909030242793,-1.5004421961029413,1.2080929473765536,274.0587178555217,0.8089425261610106,0.0,0.0,0.2035625,0.2574484831841829,0.6683771833295316,15.670531842632814,0.11816176470588236,3282.129271173107,18.59558823529412,1.7704411764705883,1.6897293232900232,0.17647058823529413,160.2747805936354,16.24618666995055,0.35294117647058826,0.4053760525367647,0.0,0.3022058823529412,0.4964596763158238,-0.10397812656789823,4.220588235294118,0.06877815703258912,5.7767979310014335,4.5,0.5498621345518614,13.970588235294118,1.0502100630210074,0.9326122283533658
"mp-300850929, Li2MnF6, Li3MnF6, mp-765003, mp-769873",3.0678553020255945,3.0,548.4313926,0.0,9.444444444444443,1.0,0.0,3.0,4.546454,5.702962962962962,1.0144444444444445,5.795793375412903,-0.8499520301977777,0.3117164611995852,125.78824933943268,0.7791205692212942,0.0,0.0,0.4661851851851851,0.3088850030841826,0.24335708185529265,13.829453072728848,0.1322222222222222,4135.738971281367,22.66666666666667,0.7570370370370371,0.5201474413742468,0.2222222222222222,54.34640364895142,9.243987405606244,0.2222222222222222,0.19924228575333333,1.6243588343799945e-05,0.3759259259259259,0.4190262407031393,-0.05446557096033098,5.666666666666668,0.09095514499431326,5.176885556051466,1.1111111111111112,0.8206756818824239,9.444444444444443,3.1426968052735447,0.8337571387732137
"mp-300850929, Li3MnF6, Li4MnF6, mp-769873, mp-850929",2.986468682776137,3.0,569.2543926,0.0378291183333328,8.8,1.0,0.0,3.0,4.271532566666666,5.853666666666666,0.9456666666666668,5.061620293937506,-0.8272863908446667,0.1942580393205278,177.7426104005452,0.7023175537627236,0.0,0.0,0.5389666666666667,0.4203315067367132,0.1710900883230201,19.158288023724875,0.15166666666666667,3722.883209422561,20.433333333333334,0.7813333333333334,0.4721033314387387,0.2,53.1443682581283,10.697767160591141,0.2,0.179463128178,1.4619229509419953e-05,0.43333333333333335,0.3399346342395189,-0.048930480074196994,5.866666666666666,0.0947815419607536,5.400416309230518,1.0,0.8028757520039776,8.8,3.0,0.8095474713259829
"mp-300850930, Li2MnF5, Li3MnF5, mp-762998, mp-850930",3.0559069085581143,3.0,655.248244,0.054526056874999895,9.5,1.0,0.0,3.0,4.38881075,5.7316666666666665,0.9754166666666668,6.520267547339518,-0.8854434940766667,0.2967868400163829,146.25403318275437,0.7923610516081139,0.0,0.0,0.490125,0.34159562777744484,0.29154498336540235,15.558134706819954,0.14875000000000002,3877.639319052848,21.625,0.8410416666666668,0.5972258640069843,0.2083333333333333,63.870769168428424,7.888766626595622,0.2083333333333333,0.18789282866,1.827403688677494e-05,0.42291666666666666,0.3535533905932738,-0.05008777223129501,5.25,0.08987422811452607,5.706887144444448,1.25,0.8171468910276086,9.5,3.307189138830738,0.828694883425327
