,ShannonRadii,AtomicVolum wmean,deltaShannonstd,bent,IsAlkali wstd,deltashannonmax,density,HeatFusion wmean,BulkModulus wstd,metalloid,deltaShannon,chargedensityvoldens
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",0.4417487713241296,6199.41454507545,0.2092783047685854,5.2570699808897565,0.0,0.7717178047914911,3.989574461114087,3.5733333333333333,26.666666666666664,0.0,0.4757535878773076,1.1105048722921946
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",0.5531423742040128,4340.020182062323,0.2011483269072407,2.48758711713391,0.0,0.9219223671982943,3.997930651108777,2.1410000000000005,7.204319691839211,1.0,0.32121029015985103,1.0886504308925509
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",0.5160462799837287,4133.777702692075,0.16279940662890718,2.7981204487997133,0.0,0.6107600100985778,3.606221140423988,1.9788888888888885,13.730429394524586,0.0,0.2562284713649812,1.0134898760908424
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",0.5607748186788127,4509.228302318072,0.17054033083318176,1.93025511636008,0.0,0.7882180358529721,6.24696188168362,3.432424242424243,25.970987556772126,0.0,0.24897779932336034,1.554425928378526
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.8330517562050536,2756.114255018588,0.2055793110839717,4.334239806121239,0.0,0.6959113454505542,1.48156222979313,18.025185185185183,8.456132262417977,0.0,0.18998365343548845,0.4203932806705349
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",0.5011279328257856,4133.821119596877,0.14144761676798198,4.908316303884337,0.0,0.5037020430653449,3.714562779454384,1.8461111111111108,12.945994184770004,0.0,0.19282458468819888,1.0509182200866258
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.5927390551505866,4340.576976324896,0.05504342118071865,2.706559043354024,0.0,0.3092319855776405,3.1172555035542566,2.536666666666666,10.362753816754823,0.0,0.19491044213846467,0.8641579681483605
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",0.5286687275664768,4133.845305124435,0.2294377405344847,2.5519039993405057,0.0,0.7902796454019999,3.349994326171457,1.7961111111111108,9.027051252817149,0.0,0.2837274954838381,0.9404473801752872
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",0.5343353958389396,4133.594838984837,0.11195472872435076,2.959905414327058,0.0,0.4739709450778553,3.1591230460285664,4.564444444444447,9.601097330974607,1.0,0.21769013019879108,0.9000354210497813
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",0.5346006662105892,4133.047014924678,0.2727582848838511,5.161016597680164,0.0,0.9879047799347842,3.7078573241888,1.960555555555556,11.331154474650633,0.0,0.4217146578469749,1.0206218629013273
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",0.5882503293922842,3719.7401314132726,0.3018081131322771,2.7510643756277395,0.0,0.9208515999838968,3.016087157962879,4.251333333333334,26.398653164297773,1.0,0.3351234472108554,0.8369192937484582
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",0.4569485735874593,3817.915276335221,0.4786425607133192,4.500797663317795,0.0,1.2930073023341837,6.793979737722673,1.0964102564102565,5.708685148749024,0.0,0.5991284224520107,1.705987663623943
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",0.4561383185830032,6199.706538533296,0.1664561816927139,5.148934780723222,0.0,0.6747161098231644,3.721442124519189,3.6566666666666654,26.666666666666664,0.0,0.4393115201324882,1.0228150121633577
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",0.5287702917927124,4134.95352488377,0.3742049983869272,1.874978074310737,0.0,1.1179637145508479,5.556136420264424,1.896296296296296,10.881075554035089,0.0,0.4205438817199465,1.410345631369963
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",0.5132812858453062,4133.808144079476,0.08266432132446913,4.351290432954834,0.0,0.50859876017004,5.168142676775903,3.4886111111111107,26.337405920425873,0.0,0.3010312603163881,1.370583118906743
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",0.482746244692837,4133.585813469367,0.056020217667532894,3.8262939253298094,0.0,0.3849051771080829,5.131680720706706,3.5638888888888887,26.058427939280342,0.0,0.28796890151736193,1.3735474256137907
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",0.4537423544482063,3817.913876944414,0.4868150740343009,4.487656226565742,0.0,1.2941048654605922,6.809095939055432,1.1292307692307693,5.708685148749024,0.0,0.5638857595229324,1.7156972649607276
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",0.5305315845082675,4292.990501751799,0.1304192906689721,2.7093752239776467,0.0,0.6117555848019602,3.0253259451056884,1.8079487179487181,3.89355407225962,0.0,0.1738465193492208,0.86036312496182
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",0.5260251778606109,4376.837218818916,0.060502209560048266,2.593532528180034,0.0,0.2968848864208677,2.957058292750959,1.985490196078432,8.453186555218796,0.0,0.1474990953435922,0.8356128657658399
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",0.5749057515373958,2907.226143608071,0.20856048779834108,2.841861693858784,0.03608439182435162,0.8164767012891283,2.643937377237088,3.3705208333333334,10.119577380215373,1.0,0.17264929130043655,0.7631126782751987
