,ShannonRadii,AtomicVolum wmean,chargedensityvoldens,HeatFusion wmean,Density wstd,energysStab,NfValenc wstd,VegardVolume,density
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",0.5607748186788127,4509.228302318072,1.554425928378526,3.432424242424243,1527.3350698018128,0.08945500903409176,1.141101235379559,1.1394883430880556,6.24696188168362
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",0.8330517562050536,2756.114255018588,0.4203932806705349,18.025185185185183,469.5767221998743,0.5179632777083318,0.0,0.8581908361414416,1.48156222979313
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",0.5011279328257856,4133.821119596877,1.0509182200866258,1.8461111111111108,560.6076268109606,0.022519999583334286,0.0,0.8183832798870211,3.714562779454384
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",0.5927390551505866,4340.576976324896,0.8641579681483605,2.536666666666666,425.1839713765978,0.0,0.0,0.8792798649975018,3.1172555035542566
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",0.5286687275664768,4133.845305124435,0.9404473801752872,1.7961111111111108,529.6943731224918,0.0025792862500004787,0.0,0.8443634664050798,3.349994326171457
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",0.5343353958389396,4133.594838984837,0.9000354210497813,4.564444444444447,289.1870803552237,0.06949562388888708,0.0,0.9083130386437804,3.1591230460285664
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",0.5346006662105892,4133.047014924678,1.0206218629013273,1.960555555555556,540.9965050471076,0.023462587708333867,0.0,0.9300510790043156,3.7078573241888
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",0.5882503293922842,3719.7401314132726,0.8369192937484582,4.251333333333334,621.3515624533989,0.2211043293333325,0.0,1.0028582567691178,3.016087157962879
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",0.4569485735874593,3817.915276335221,1.705987663623943,1.0964102564102565,781.4438983125364,0.03727494225961614,0.0,1.1947095851861531,6.793979737722673
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",0.4561383185830032,6199.706538533296,1.0228150121633577,3.6566666666666654,1017.857,0.14459902000000113,0.0,0.9750601422277164,3.721442124519189
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",0.5287702917927124,4134.95352488377,1.410345631369963,1.896296296296296,597.7012323874403,0.059277114444441274,0.0,0.8461478211283806,5.556136420264424
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",0.5132812858453062,4133.808144079476,1.370583118906743,3.4886111111111107,1133.6494302561525,0.1106411443749984,0.0,0.9891678555114121,5.168142676775903
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",0.482746244692837,4133.585813469367,1.3735474256137907,3.5638888888888887,1157.0849042992204,0.14578880954860907,0.0,0.9929222681873708,5.131680720706706
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",0.4537423544482063,3817.913876944414,1.7156972649607276,1.1292307692307693,781.3982125208215,0.0781254961057698,0.0,1.1892173521525728,6.809095939055432
