,chargedensityvoldens,HeatFusion wmean,numberDensity,IsFBlock wmean,GSvolume_p wmean,ICSDVolum wmean,energysStab,metalloid,Crystal System,AtomicNum Density,density
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",1.0206218629013273,1.960555555555556,0.07886607944768254,0.0,3.3287547892722222,5.306666666666667,0.023462587708333867,0.0,3.0,13.333333333333336,3.7078573241888
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",0.8369192937484582,4.251333333333334,0.07984062826558615,0.0,2.99833908046,4.802,0.2211043293333325,1.0,1.0,10.8,3.016087157962879
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",1.705987663623943,1.0964102564102565,0.07162962490800112,0.10256410256410256,5.9147435897435905,7.684102564102564,0.03727494225961614,0.0,3.0,24.538461538461537,6.793979737722673
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",1.0228150121633577,3.6566666666666654,0.08106210229591687,0.0,5.203333333333333,8.1,0.14459902000000113,0.0,2.0,13.0,3.721442124519189
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",1.410345631369963,1.896296296296296,0.0641064932799752,0.07407407407407407,5.337592592592593,7.207037037037036,0.059277114444441274,0.0,1.0,22.66666666666667,5.556136420264424
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",1.370583118906743,3.4886111111111107,0.07399719605202111,0.0,4.229861111111111,6.072777777777778,0.1106411443749984,0.0,2.0,19.08333333333333,5.168142676775903
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",1.3735474256137907,3.5638888888888887,0.08048344755397048,0.0,3.948472222222221,5.8502777777777775,0.14578880954860907,0.0,2.0,17.583333333333332,5.131680720706706
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",1.7156972649607276,1.1292307692307693,0.07181218719131854,0.10256410256410256,5.916666666666668,7.677435897435897,0.0781254961057698,0.0,3.0,24.615384615384606,6.809095939055432
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",0.86036312496182,1.8079487179487181,0.08115231580385032,0.0,4.106238474166667,5.779743589743589,0.0192201557692302,0.0,3.0,10.923076923076923,3.0253259451056884
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",0.8356128657658399,1.985490196078432,0.0782666155646737,0.0,3.9802100840313734,5.746078431372548,0.016002415294117608,0.0,1.0,11.0,2.957058292750959
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",0.7631126782751987,3.3705208333333334,0.07487959576567765,0.0,3.4211631944437504,4.914791666666666,0.08088812942708312,1.0,3.0,10.5,2.643937377237088
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",0.9670085680128112,2.24,0.07264759648359556,0.0,3.8433333333333333,5.819047619047619,0.0,1.0,3.0,13.714285714285715,3.5476800779000754
"mp-300019667, Ni2P3O10, LiNi2P3O10, mp-25610, mp-19667",0.9995970174960944,2.0617777777777784,0.08534965249087655,0.0,3.9866825396800007,5.6064444444444455,0.04559649970833314,0.0,1.0,12.066666666666665,3.4987725942393726
"mp-300019682, Fe(WO4)2, LiFe(WO4)2, mp-25537, mp-19682",1.624049371084725,3.642121212121213,0.07733553194057816,0.0,3.5051515151515162,5.526060606060606,0.1236525724431825,0.0,1.0,21.63636363636364,6.438680497095959
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",1.709800136245578,1.0297435897435898,0.0713424120631197,0.10256410256410256,5.935897435897437,7.701794871794871,0.06394901302884826,0.0,1.0,24.69230769230769,6.80877369076861
"mp-300024979, Fe(GeO3)2, LiFe(GeO3)2, mvc-8638, mp-24979",1.1327413042794363,3.2966666666666664,0.07611290207872225,0.0,4.1248148148148145,5.9407407407407415,0.11438615854166655,1.0,1.0,15.333333333333336,4.172523237209323
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",1.0885236048210267,2.1238888888888887,0.0747671305713806,0.0,3.837921455938889,5.731111111111113,0.03298229895833327,1.0,3.0,15.0,4.0113500195548495
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",0.9156072740488506,2.5996969696969696,0.06941044809804586,0.0,3.946374458872727,5.78030303030303,0.008177761136364481,0.0,2.0,13.590909090909092,3.335859026816772
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",1.245683687890425,2.34,0.08556194328781283,0.0,4.88,7.754999999999999,0.16829713458333284,0.0,7.0,15.0,4.5249678728405405
"mp-300025401, TiPO4F, LiTiPO4F, mp-25436, mp-25420",0.8390578933280328,1.208035714285714,0.07758173469072258,0.0,3.0495620748285717,4.3757142857142854,0.0,0.0,2.0,11.142857142857142,2.978432036068726
"mp-300025405, CuPO4F, LiCuPO4F, mp-25380, mp-25405",0.9764901358680468,1.1883928571428568,0.08285354522735165,0.0,2.8488477891142856,4.166428571428571,0.15283490168831104,0.0,2.0,12.142857142857142,3.4889845350959683
"mp-300025417, TiO2, Li2Ti3O6, mvc-11600, mp-760539",0.6802076861892613,2.4316666666666658,0.05532778889119595,0.0,5.816666666666666,8.731666666666666,0.15142285083333284,0.0,5.0,12.666666666666664,2.4458620885555566
