,chargedensityvoldens,HeatFusion wmean,numberDensity,BCCenergy_p wstd,energysStab,NfValenc wstd,metalloid,BCCvolume_padiff wstd,density,nelements
"mp-300540459, Cr4(PO4)3, LiCr4(PO4)3, mp-540460, mp-540459",0.8931839249163471,2.4957894736842103,0.07377517944928061,0.5222387672414388,0.03973211671052468,0.0,0.0,0.5814134992288493,3.1780682321513063,3.0
"mp-300540461, V(PO3)4, LiV(PO3)4, mp-32490, mp-540461",0.7956655137427006,1.927450980392157,0.07785572383278495,0.494358114471231,0.03536034205882288,0.0,0.0,0.8173678892278569,2.789682375301948,3.0
"mp-300540462, CrPO4, LiCrPO4, mp-540463, mp-540462",0.8332082242805592,2.245555555555556,0.07254551549446346,0.39262175604163374,0.08433393083333307,0.0,0.0,0.6142324809207684,2.9507306947449266,3.0
"mp-300540465, Ni5(PO4)4, Li2Ni5(PO4)4, mp-32329, mp-540465",1.0638932707624336,2.2010666666666667,0.08354651682620473,0.33858523707504784,0.0454328322499995,0.0,0.0,0.5920886351339482,3.7366278150347134,3.0
"mp-300540471, Mn(PO3)3, LiMn(PO3)3, mp-540472, mp-540471",0.7384033860517897,1.8079487179487181,0.06964866698368369,0.41997146237054295,0.018232422115383784,0.0,0.0,0.8024067891876003,2.5964745082205885,3.0
"mp-300540475, MnPO4, LiMnPO4, mp-689981, mp-540475",0.8618245014089818,1.7961111111111108,0.07399488713551462,0.37291110553608703,0.0901280541666658,0.0,0.0,0.6175297263187887,3.0699295364484023,3.0
"mp-300540489, CoPO4, LiCoPO4, mp-689940, mp-540489",0.8010724537924973,1.9788888888888885,0.06691992569309707,0.3515130098797233,0.0059487795833321755,0.0,0.0,0.6309503696443203,2.850392969903613,3.0
"mp-300540495, Co(PO3)4, LiCo(PO3)4, mp-31573, mp-540495",0.7089962131332768,1.8235294117647056,0.06785875205238404,0.5413816493796909,0.06420483775735253,0.0,0.0,0.8224095570338134,2.484448343657463,3.0
"mp-300553966, CuO, Li(CuO)2, mp-510751, mp-553966",1.3744228704921082,3.455,0.07654428421031834,0.2957839175,0.1814469396874996,0.0,0.0,0.4462499999999999,5.055299611797572,2.0
"mp-300554014, Si4Cu5O14, Li2Si4Cu5O14, mp-25205, mp-554014",1.0574672895081905,3.9408695652173913,0.08005981129231406,0.3191638882049243,0.11947198092391352,0.0,1.0,0.4954122226200733,3.7805567868510495,3.0
"mp-300556288, ReO3, LiReO3, mp-755021, mp-8189",1.7669430188163882,4.342499999999999,0.0735548751203856,0.5903154024999999,0.0045016437500002855,1.75,0.0,0.6837500000000001,7.151498698152838,2.0
"mp-300556321, Co(WO4)2, LiCo(WO4)2, mp-25472, mp-25483",1.6984925081736617,3.714545454545455,0.08054202437783325,0.7163313696733209,0.17892746954545302,1.1999387801953532,0.0,0.6127614788281985,6.743189343563068,3.0
"mp-300558256, TiO2, Li3Ti4O8, mp-2657, mp-558256",1.1478008933637611,2.4316666666666658,0.09336161117633504,0.456960815,0.03673304916666531,0.0,0.0,0.6166666666666665,4.127214007263516,2.0
"mp-300558431, Cu(PO3)3, LiCu(PO3)3, mp-779530, mp-558431",0.7909944445857123,1.8256410256410256,0.07256514228948185,0.5823258582453792,0.04906028879807866,0.0,0.0,0.8019872300412347,2.784986839499489,3.0
"mp-300559117, KMnO2, KLiMnO2, mp-25544, mp-559117",0.8370643362430831,1.3070833333333334,0.05749521484637232,0.7934556165100245,0.23894660062499984,0.0,0.0,0.3753673325533953,3.0082396737607167,3.0
"mp-300559893, Bi(PdO2)2, LiBi(PdO2)2, mp-25201, mp-559893",1.83813088817752,2.1650476190476184,0.06404249587218024,0.4123000620979964,0.08534149428571425,0.9428090415820634,0.0,0.4221680356684244,7.3806204140833405,3.0
"mp-300566471, FeMoClO4, LiFeMoClO4, mp-24968, mp-566471",0.8770673385915532,1.9775,0.054064132411346236,0.5538637254248395,0.0,0.0,0.0,0.4256131812318144,3.222117964474944,4.0
"mp-300566507, Fe(SeO3)2, LiFe(SeO3)2, mp-25662, mp-566507",0.9061845559665528,1.055925925925926,0.05917454709698634,0.4195148150058998,0.1109144181192132,0.0,0.0,0.581369415952725,3.3819625261146737,3.0
"mp-300566658, V(GeO3)2, LiV(GeO3)2, mp-775220, mp-566658",1.1413088090516048,3.581481481481481,0.07839277381831182,0.3152982391835851,0.05149385611111157,0.0,1.0,0.5087408809508207,4.2265829520283456,3.0
"mp-300566770, V2(SO4)3, LiV2(SO4)3, mp-25724, mp-770367",0.8655830459734187,0.9961372549019608,0.07979362275495162,0.4940005566861264,0.060518016617646886,0.0,0.0,0.7514255645111264,3.0402672564719246,3.0
