,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean,sq_pyr
"mp-300540495, Co(PO3)4, LiCo(PO3)4, mp-31573, mp-540495",0.60721053,4377.063105,2.484448344,1.823529412,0,0.802921937,4.506904439,0,0.064204838,4.623128589,0.307593078,0.264776062,0.16372549,0.243912239
"mp-300553966, CuO, Li(CuO)2, mp-510751, mp-553966",0.621400114,4651.006777,5.055299612,3.455,0,0.833724497,35,0,0.18144694,53.25,0.227935981,0.13325,0.3675,0.642628655
"mp-300554014, Si4Cu5O14, Li2Si4Cu5O14, mp-25205, mp-554014",0.573688088,3774.347472,3.780556787,3.940869565,1,0.982895498,12.46713807,0,0.119471981,17.81216612,0.254396196,0.215124058,0.193478261,0.267080532
"mp-300556288, ReO3, LiReO3, mp-755021, mp-8189",0.502589071,6973.912729,7.151498698,4.3425,0,1.233587797,46.25,1.75,0.004501644,19.75,0.259225044,0.327125,0.23125,0.300474738
"mp-300556321, Co(WO4)2, LiCo(WO4)2, mp-25472, mp-25483",0.477215096,4508.493656,6.743189344,3.714545455,0,1.041524816,23.6751818,1.19993878,0.17892747,13.89796214,0.305917141,0.300105549,0.162727273,0.632473728
"mp-300558256, TiO2, Li3Ti4O8, mp-2657, mp-558256",0.348114967,6200.338442,4.127214007,2.431666667,0,0.923921388,18.33333333,0,0.036733049,28.33333333,0.316948284,0.218666667,0.253333333,1.232300382
"mp-300558431, Cu(PO3)3, LiCu(PO3)3, mp-779530, mp-558431",0.585163875,4292.980687,2.784986839,1.825641026,0,1.019860807,4.596685768,0,0.049060289,6.882788756,0.282695097,0.257948257,0.164615385,0.281003836
"mp-300559117, KMnO2, KLiMnO2, mp-25544, mp-559117",0.528139885,3106.037909,3.008239674,1.307083333,0,2.26562453,13.96305144,0,0.238946601,23.48433284,0.211971487,0.146319997,0.188333333,0.633127734
"mp-300559893, Bi(PdO2)2, LiBi(PdO2)2, mp-25201, mp-559893",0.585530416,3544.460424,7.380620414,2.165047619,0,0.854620824,23.27017692,0.942809042,0.085341494,28.36209025,0.15667029,0.227748081,0.214285714,0.308051935
"mp-300566471, FeMoClO4, LiFeMoClO4, mp-24968, mp-566471",0.718852403,3311.19907,3.222117964,1.9775,0,0.845704589,14.56528363,0,0,12.38353911,0.349037433,0.203221212,0.126428571,0.188787297
"mp-300566507, Fe(SeO3)2, LiFe(SeO3)2, mp-25662, mp-566507",0.669237217,4134.051036,3.381962526,1.055925926,0,1.051763956,8.502974546,0,0.110914418,9.585797679,0.229969325,0.260074607,0.065555556,0.383364758
"mp-300566658, V(GeO3)2, LiV(GeO3)2, mp-775220, mp-566658",0.560776178,4133.790735,4.226582952,3.581481481,1,0.848097223,8.380524814,0,0.051493856,17.22815509,0.304493177,0.259022606,0.162222222,0.522211812
"mp-300566770, V2(SO4)3, LiV2(SO4)3, mp-25724, mp-770367",0.517498256,4376.775597,3.040267256,0.996137255,0,0.994021615,8.571189548,0,0.060518017,7.951602935,0.293668494,0.263900317,0.064313725,0.386397835
"mp-300566900, Ni(WO4)2, LiNi(WO4)2, mp-510764, mp-25603",0.504450198,4508.492003,6.359749643,3.753333333,0,1.041133319,23.6751818,1.19993878,0.194612369,13.61864168,0.299246093,0.299630627,0.162727273,0.577514384
"mp-300567344, Ca9Mn(PO4)7, LiCa9Mn(PO4)7, mp-851044, mp-567344",0.516163676,2895.431483,3.038667772,1.253944444,0,1.779746339,1.272355646,0,0,17.85120254,0.263841961,0.214971932,0.118611111,0.314241301
"mp-300570512, WCl6, LiWCl6, mp-571518, mp-570512",0.450330276,7851.492926,3.036569715,5.107857143,0,1.313192271,21.67142857,1,0.001996714,11.07142857,0.312900865,0.195857143,0.129285714,0.834972848
"mp-300578763, Ni(SO4)2, LiNi(SO4)2, mp-850515, mp-782632",0.479057457,4509.177324,3.265943907,0.687333333,0,0.802542399,7.405996131,0,0.157483766,4.86757605,0.299190731,0.277228789,0.053030303,0.626469507
"mp-300578869, Na5Mn2O8, Na5LiMn2O8, mp-849237, mp-578869",0.52144641,3310.20432,2.778635208,0.901777778,0,0.790664502,7.099452248,0,0.025419371,29.14557756,0.244301376,0.184703614,0.162666667,0.383209205
"mp-300585175, Co(PO3)3, LiCo(PO3)3, mp-585227, mp-585175",0.623962638,4292.959301,2.485755517,1.892307692,0,0.815619739,6.018708505,0,0,5.911021142,0.299555915,0.257050869,0.171794872,0.160443904
"mp-300585189, Mn4(PO4)3, LiMn4(PO4)3, mp-31944, mp-585189",0.53239372,3916.488758,3.72790083,1.928070175,0,0.916596717,11.52162846,0,0.024996444,19.8971192,0.239866327,0.221087133,0.199824561,0.48246123
"mp-300585261, Mo2P2O11, LiMo4(P2O11)2, mp-540142, mp-585261",0.578873181,4546.702196,3.285853835,2.543555556,0,0.854872992,14.12340672,0,0,12.74199822,0.282346362,0.286683989,0.152,0.370044361
"mp-300585354, Cr2P3O10, LiCr2P3O10, mp-31635, mp-585354",0.518476388,4134.017776,3.272804943,2.218222222,0,0.847423656,9.580278096,0,0.053341888,12.79552391,0.279069187,0.241205751,0.186888889,0.378943396
"mp-300585378, Co3(P2O7)2, Li2Co3(P2O7)2, mp-540500, mp-585378",0.535680453,4133.914356,3.404482516,1.997460317,0,0.873050607,11.65939737,0,0.02917211,11.51720481,0.251015184,0.242375321,0.188095238,0.411565398
"mp-300585397, Co3P3O11, LiCo3P3O11, mp-31610, mp-585397",0.550614708,4012.388211,3.504627575,2.090980392,0,0.888853788,14.53810171,0,0.035944085,14.5435749,0.244559784,0.23187619,0.2,0.359364906
"mp-300585400, FePO4, LiFePO4, mp-704220, mp-585400",0.619710953,4133.82112,2.802533983,1.846111111,0,1.009104761,12.94599418,0,0.027699315,16.33049862,0.236632894,0.241634979,0.19,0.432983718
"mp-300585424, CrPO4, LiCrPO4, mp-689963, mp-585424",0.582252645,4133.838651,2.867792683,2.245555556,0,0.838779046,12.16171893,0,0.171287197,16.33049862,0.250437015,0.241634979,0.187777778,0.19468027
"mp-300585432, MnPO4, LiMnPO4, mp-705467, mp-585432",0.644712437,4133.845305,2.584867895,1.796111111,0,0.975106898,9.027051253,0,0.101089707,15.4062277,0.250083837,0.240285054,0.181111111,0.180188421
"mp-300585433, FePO4, LiFePO4, mp-704299, mp-585433",0.654853261,4133.82112,2.543553309,1.846111111,0,0.920492679,12.94599418,0,0.007070215,16.33049862,0.240389507,0.241634979,0.19,0.067096684
"mp-300620862, Tl3(MoO4)2, LiTl3(MoO4)2, mp-25775, mp-620862",0.606681782,3816.782095,5.859488648,2.285794872,0,0.950939459,14.90275292,1.522999221,0.119006058,15.860503,0.347438545,0.250214948,0.176923077,0.460644876
"mp-300630234, Ti3(BiO3)4, Li2Ti3(BiO3)4, mp-23427, mp-630234",0.515482772,3917.565066,7.689444953,1.570421053,0,0.843759226,7.16322471,1.389402798,0,12.23319131,0.282682327,0.248852693,0.161403509,0.564860763
"mp-300630880, Nd2Tl(MoO4)4, LiNd2Tl(MoO4)4, mp-634591, mp-630880",0.52543923,3235.153665,5.486936574,1.868065217,0,1.125269391,16.67920881,0.256300568,0.065721723,12.8624209,0.339859838,0.267389803,0.115217391,0.815371312
"mp-300635084, PWO4, LiPWO4, mp-25654, mp-635084",0.561854252,4134.047862,5.928687114,3.985,0,0.842445776,23.93548427,1.099943882,0.108214917,16.33049862,0.288817817,0.25678916,0.192222222,0.492106218
"mp-300645305, Fe(GeO3)2, LiFe(GeO3)2, mvc-9284, mp-645305",0.564312615,4133.71416,4.172785406,3.296666667,1,0.852810465,8.904307615,0,0.119090814,17.22815509,0.268142888,0.260123918,0.167037037,0.445240447
"mp-300652260, Rb5Si2NiO8, Rb5LiSi2NiO8, mp-633655, mp-652260",0.45852775,2332.05869,3.544221117,2.04078125,1,0.838735379,5.765789081,0,0.044966645,25.2986459,0.283083032,0.1684453,0.12109375,0.312550959
"mp-300652866, K11Mn4O16, K11LiMn4O16, mp-775539, mp-652866",0.419037364,3208.154107,2.675806065,0.869301075,0,1.629905722,7.054202878,0,0,31.5288657,0.280400921,0.168198725,0.146129032,0.494683113
"mp-300672958, Sb(PO3)4, LiSb(PO3)4, mp-672963, mp-672958",0.625709911,4377.439488,2.736773214,1.893921569,1,0.80151538,1.193343063,0,0.041341513,4.110357694,0.303157537,0.268927299,0.154117647,0.256286588
"mp-300672979, BiP2O7, LiBiP2O7, mp-672981, mp-672979",0.611414728,4341.243062,3.930509809,1.657533333,0,0.841301305,1.302134999,0.659966329,0.055215911,3.597530017,0.270518937,0.27005764,0.148666667,0.43267263
"mp-300673023, Bi(PO3)4, LiBi(PO3)4, mp-673020, mp-673023",0.58433826,4377.543254,3.587574851,1.723647059,0,0.826839546,1.085715153,0.388215488,0.02920104,3.717018231,0.258610982,0.270594595,0.152156863,0.258959477
"mp-300673024, Sn4(PO4)3, LiSn4(PO4)3, mp-26446, mp-673024",0.707933055,3917.524132,3.557818011,1.523859649,0,1.114876945,5.393531459,0,0.088739105,12.48955242,0.225932902,0.235359587,0.173859649,0.352785695
"mp-300673059, SbP2O7, LiSbP2O7, mp-684496, mp-673059",0.561548129,4341.066661,3.636171076,1.947,1,0.825373997,1.715290711,0,0.148235889,6.613790307,0.249643324,0.267374199,0.152,0.258022461
"mp-300673073, SbP2O7, LiSbP2O7, mp-540379, mp-673073",0.598565598,4341.066661,3.329177633,1.947,1,0.842150853,1.715290711,0,0.051083521,6.613790307,0.260757404,0.267374199,0.152,0.338647563
"mp-300673098, Bi(PO3)4, LiBi(PO3)4, mp-504324, mp-673098",0.599280722,4377.543254,3.458606523,1.723647059,0,0.821953626,1.085715153,0.388215488,0.024603197,3.717018231,0.244847925,0.270594595,0.152156863,0.254535049
"mp-300673101, Sn4(PO4)3, LiSn4(PO4)3, mp-540395, mp-673101",0.630292345,3917.524132,4.40886919,1.523859649,0,0.939973531,5.393531459,0,0.08893712,12.48955242,0.277847649,0.235359587,0.173859649,0.303337908
"mp-300673119, Sn2P3O10, LiSn2P3O10, mp-673117, mp-673119",0.673714867,4134.678836,3.165866837,1.602666667,0,0.944136444,3.253412264,0,0.162242521,7.549540089,0.269295578,0.250249075,0.165111111,0.210326914
"mp-300673126, Sb(PO3)4, LiSb(PO3)4, mp-504350, mp-673126",0.564812143,4377.439488,3.182051848,1.893921569,1,0.82489216,1.193343063,0,0.043466539,4.110357694,0.239820359,0.268927299,0.154117647,0.226338177
"mp-300673145, Cu4(PO4)3, LiCu4(PO4)3, mp-673151, mp-673145",0.564601547,3916.461897,3.743973553,1.976491228,0,0.952546474,13.50327981,0,0.025822752,20.68253643,0.229562161,0.226193048,0.19,0.32615754
"mp-300673706, Mo3Se4, Li7(Mo3Se4)4, mp-21021, mp-673706",0.832631389,11.09556147,6.525662583,9.942857143,0,0.839518484,46.91428571,0,0.064573532,45.07142857,0.297799415,0.037928571,0.379285714,0.654654279
"mp-300675779, Mo3S4, Li(Mo3S4)2, mp-2164, mp-675711",0.476577872,11.08348752,5.038301448,8.523142857,0,0.843463089,47.08571429,0,0.066568299,29.07142857,0.285822282,0.1485,0.379285714,0.619415797
"mp-300684052, Sn6P7O24, LiSn6P7O24, mp-684053, mp-684052",0.638201271,4023.171455,3.83303545,1.603243243,0,0.866323774,4.033722793,0,0.085391569,9.356644165,0.269174488,0.241838879,0.171081081,0.317554083
"mp-300684082, Sb(PO3)4, LiSb(PO3)4, mp-684083, mp-684082",0.648133394,4377.439488,2.572814858,1.893921569,1,0.878738197,1.193343063,0,0.072263304,4.110357694,0.271117752,0.268927299,0.154117647,0.174377253
"mp-300684090, SbP2O7, LiSbP2O7, mp-25896, mp-684090",0.549574625,4341.066661,3.708815556,1.947,1,0.893448029,1.715290711,0,0.128297143,6.613790307,0.27088838,0.267374199,0.152,0.502279325
"mp-300684093, Bi(PO3)4, LiBi(PO3)4, mp-25906, mp-684093",0.624772203,4377.543254,3.23858965,1.723647059,0,0.809537834,1.085715153,0.388215488,0.026126674,3.717018231,0.252200665,0.270594595,0.152156863,0.210845609
"mp-300684104, Sb2P5O16, LiSb2P5O16, mp-25946, mp-684104",0.659710663,4314.153741,2.748895491,1.968115942,1,0.863138148,1.5146141,0,0.005514206,5.731659608,0.254549906,0.264503469,0.156086957,0.221840077
"mp-300684106, SbP2O7, LiSbP2O7, mp-25950, mp-684106",0.597424872,4341.066661,3.338637907,1.947,1,0.869725192,1.715290711,0,0.038543652,6.613790307,0.285130903,0.267374199,0.152,0.24857206
"mp-300684109, BiP2O7, LiBiP2O7, mp-25940, mp-684109",0.580523837,4341.243062,4.242968778,1.657533333,0,0.875611297,1.302134999,0.659966329,0.051570025,3.597530017,0.296151399,0.27005764,0.148666667,0.456447354
"mp-300684427, Sb(PO3)4, LiSb(PO3)4, mp-26150, mp-684427",0.554385393,4377.439488,3.280023798,1.893921569,1,0.807312557,1.193343063,0,0.05301383,4.110357694,0.272359525,0.268927299,0.154117647,0.270238023
"mp-300684489, BiP2O7, LiBiP2O7, mp-26594, mp-684489",0.609881614,4341.243062,3.946017147,1.657533333,0,0.867669076,1.302134999,0.659966329,0.041469797,3.597530017,0.28916077,0.27005764,0.148666667,0.308302379
"mp-300684493, Sn2P3O10, LiSn2P3O10, mp-684502, mp-684493",0.649835658,4134.678836,3.375185577,1.602666667,0,0.825770117,3.253412264,0,0.128020163,7.549540089,0.251566045,0.250249075,0.165111111,0.228529315
"mp-300684497, Bi(PO3)4, LiBi(PO3)4, mp-26574, mp-684497",0.580807771,4377.543254,3.618046484,1.723647059,0,0.805189547,1.085715153,0.388215488,0.03049366,3.717018231,0.267397281,0.270594595,0.152156863,0.256831029
"mp-300684503, Sn(PO3)3, LiSn(PO3)3, mp-684482, mp-684503",0.575674714,4293.368812,3.356805032,1.66025641,0,0.816160912,1.827181718,0,0.127650256,4.4202332,0.258079587,0.261927375,0.158717949,0.301930067
"mp-300684504, Bi2(PO4)3, LiBi2(PO4)3, mp-26286, mp-585241",0.567868114,4377.68579,4.600620745,1.577882353,0,0.802377158,1.489938058,0.776430975,0.075625137,3.603151254,0.267977001,0.274606869,0.14254902,0.381426889
"mp-300684506, Bi(PO3)4, LiBi(PO3)4, mp-684495, mp-684506",0.635570619,4377.543254,3.082367017,1.723647059,0,0.800133799,1.085715153,0.388215488,0.053499213,3.717018231,0.295974658,0.270594595,0.152156863,0.317892509
"mp-300684509, Sn(PO3)3, LiSn(PO3)3, mp-26762, mp-684509",0.585638496,4293.368812,3.277982311,1.66025641,0,0.8104672,1.827181718,0,0.060700428,4.4202332,0.305623779,0.261927375,0.158717949,0.332497508
"mp-300684539, Sb2(PO4)3, LiSb2(PO4)3, mp-554631, mp-684508",0.553926345,4377.478259,3.825517449,1.918431373,1,0.804997439,2.032606182,0,0.024117055,7.859394915,0.290035968,0.27157573,0.146470588,0.320322853
"mp-300690551, Mo3O8, LiMo3O8, mp-715479, mp-25584",0.53774591,6762.912726,4.300488906,5.190909091,0,1.030096347,31.36363636,0,0.287562419,26.86363636,0.375438677,0.299590909,0.241363636,0.597094022
"mp-300691164, MnO2, LiMn3O6, mp-25545, mp-763655",0.45854507,6199.434506,4.117354324,2.225,0,1.211474586,20,0,0.031938121,32.16666667,0.370978473,0.226166667,0.268333333,0.814056604
"mp-300694615, FePO4, LiFePO4, mp-705201, mp-694615",0.645393641,4133.82112,2.613265831,1.846111111,0,0.958101118,12.94599418,0,0.011255225,16.33049862,0.247353468,0.241634979,0.19,0.125898181
"mp-300694722, NiP2O7, LiNiP2O7, mp-690014, mp-540286",0.565921385,4340.42499,2.863981774,1.87,0,0.910352514,8.017203724,0,0.145287813,9.136130958,0.28058839,0.260072007,0.168333333,0.357643806
"mp-300695780, MnP2O7, LiMnP2O7, mp-31943, mp-31960",0.53799798,4340.46737,3.007691464,1.717666667,0,0.909581994,5.216214038,0,0.006510658,8.784961898,0.264952158,0.259017018,0.163666667,0.198913765
"mp-300695805, FeP2O7, LiFeP2O7, mp-540349, mp-540216",0.576676321,4340.452859,2.78873402,1.747666667,0,0.903256677,7.548951362,0,0.051567415,9.312476696,0.257630288,0.259920915,0.169,0.243414628
"mp-300697664, Cr4(PO4)3, LiCr4(PO4)3, mp-31658, mp-697664",0.538560835,3916.480353,3.452024843,2.495789474,0,0.920808926,15.48575334,0,0.030492991,21.07548467,0.261071978,0.222686942,0.208245614,0.398125841
"mp-300697692, Cr(PO4)2, LiCr(PO4)2, mp-697815, mp-697692",0.55519632,4509.275713,2.62742909,1.813333333,0,0.82626704,6.437379364,0,0.145573774,8.396619198,0.27036322,0.275135132,0.152424242,0.214272701
"mp-300697726, CoP2O7, LiCoP2O7, mp-540399, mp-31548",0.567005852,4340.426809,2.875974072,1.827333333,0,0.904068179,8.017203724,0,0.066754986,7.788880964,0.253148269,0.260768646,0.168333333,0.269239214
"mp-300697754, V(PO3)4, Li2V(PO3)4, mp-32520, mp-697754",0.55092438,4377.118968,2.743545337,1.92745098,0,0.805001007,3.96989827,0,0.072317831,5.354126135,0.257735256,0.263471266,0.161568627,0.22290622
"mp-300697758, FeP2O7, LiFeP2O7, mp-540323, mp-697758",0.577378415,4340.452859,2.784108829,1.747666667,0,0.86451157,7.548951362,0,0.046627652,9.312476696,0.27608336,0.259920915,0.169,0.216846476
"mp-300697764, FeP2O7, LiFeP2O7, mp-540177, mp-697764",0.551173229,4340.452859,2.956741021,1.747666667,0,0.878146596,7.548951362,0,0.070306713,9.312476696,0.267312555,0.259920915,0.169,0.475637749
"mp-300697767, MoP2O7, LiMoP2O7, mp-504290, mp-697767",0.587079276,4340.576976,3.160576569,2.536666667,0,0.868443941,10.36275382,0,0.001988144,9.312476696,0.281375094,0.2659982,0.169,0.216711111
"mp-300697796, Cr5(PO4)4, Li2Cr5(PO4)4, mp-775246, mp-697796",0.539507314,3968.646345,3.375366572,2.435733333,0,0.90223767,14.68769402,0,0.007648421,19.93248159,0.250739846,0.227198339,0.203333333,0.442216745
"mp-300697800, Fe4P7O24, LiFe4P7O24, mp-504312, mp-697800",0.565457276,4251.97467,2.991463227,1.812380952,0,1.023506732,8.686727176,0,0.015742325,10.78784905,0.257646291,0.251895574,0.177428571,0.335124167
"mp-300697807, Mn4P7O24, LiMn4P7O24, mp-540414, mp-697807",0.552778525,4251.991254,2.992472803,1.778095238,0,1.021151906,6.013876621,0,0.014222089,10.17217761,0.252124516,0.250869282,0.171333333,0.34143306
"mp-300697808, Fe2P3O13, LiFe2P3O13, mp-697819, mp-697808",0.586356213,4477.902968,2.640320835,1.594444444,0,0.868740106,8.505182798,0,0.120857493,10.44299964,0.256097202,0.272453735,0.157222222,0.335965248
"mp-300697811, FeP2O7, LiFeP2O7, mp-697733, mp-31871",0.596360618,4340.452859,2.663743228,1.747666667,0,0.944971216,7.548951362,0,0.08843804,9.312476696,0.276711278,0.259920915,0.169,0.303663843
"mp-300699330, Cr3O8, LiCr3O8, mp-782705, mp-699330",0.545284174,6762.448007,3.151331543,2.943636364,0,0.841027914,21.81818182,0,0.048042263,26.86363636,0.279069241,0.272590909,0.235909091,0.40742089
"mp-300699599, Ca9Co(PO4)7, LiCa9Co(PO4)7, mp-851050, mp-699599",0.51545575,2895.424723,3.056087198,1.272222222,0,1.749054234,1.560033238,0,0,17.92099517,0.257712683,0.215267845,0.119388889,0.309323565
"mp-300699738, Co3(SeO3)4, Li2Co3(SeO3)4, mp-775276, mp-699738",0.587322486,3916.634891,4.494625032,1.368421053,0,0.914726804,13.00553283,0,0.059978445,12.1073479,0.245013628,0.241719292,0.092105263,0.372088322
"mp-300704186, Fe4(PO4)3, LiFe4(PO4)3, mp-704185, mp-704186",0.559495667,3916.458207,3.628576971,1.99122807,0,0.808559061,16.47720568,0,0.100444568,21.07548467,0.283770931,0.222686942,0.211052632,0.356030361
"mp-300704251, FePO4, LiFePO4, mp-504149, mp-704251",0.682003845,4133.82112,2.343467524,1.846111111,0,0.79819686,12.94599418,0,0.001327431,16.33049862,0.227686927,0.241634979,0.19,0.118915939
"mp-300704600, Ti4Mn(PO4)6, LiTi4Mn(PO4)6, mp-19383, mp-704600",0.552538105,3189.034105,2.953738594,1.328785714,0,1.152144586,4.831592462,0,0,8.010079747,0.240484119,0.246549232,0.125642857,0.160502365
"mp-300705001, CrP2O7, LiCrP2O7, mp-704959, mp-705001",0.572356185,4340.463378,2.723402405,1.987333333,0,0.828689161,7.0811173,0,0.07770934,9.312476696,0.23664562,0.259920915,0.167666667,0.215609731
"mp-300705007, Mo(PO3)4, LiMo(PO3)4, mp-705035, mp-705007",0.58099586,4377.151439,2.902196429,2.240784314,0,0.805073877,5.86376147,0,0.034429139,5.354126135,0.266196357,0.268068296,0.164117647,0.225328776
"mp-300705089, Fe3P3O11, LiFe3P3O11, mp-540050, mp-705089",0.570144117,4012.434182,3.345539556,1.950392157,0,0.893161097,13.70752325,0,0.037786793,17.4020243,0.247273411,0.230507924,0.201176471,0.33887768
"mp-300705113, Mo4P7O24, LiMo4P7O24, mp-32099, mp-705113",0.596653084,4252.116518,3.304856777,2.714095238,0,1.020184164,11.90658272,0,0,10.78784905,0.265136976,0.258820213,0.177428571,0.316487484
"mp-300705154, Cr4P7O24, LiCr4P7O24, mp-585323, mp-705154",0.536604226,4251.986691,3.035511586,2.086285714,0,1.022297889,8.151056857,0,0.018989648,10.78784905,0.259854596,0.251895574,0.175904762,0.368376629
"mp-300705291, CrP2O7, LiCrP2O7, mp-540274, mp-705291",0.539721756,4340.463378,2.931231157,1.987333333,0,0.875547805,7.0811173,0,0.021448632,9.312476696,0.27350907,0.259920915,0.167666667,0.240435579
"mp-300705332, CoP2O7, LiCoP2O7, mp-31608, mp-705332",0.572861865,4340.426809,2.837078072,1.827333333,0,0.865765553,8.017203724,0,0.057543451,7.788880964,0.277594567,0.260768646,0.168333333,0.19473244
"mp-300705333, Mo(PO4)2, LiMo(PO4)2, mp-32056, mp-705333",0.604671635,4509.378984,2.859431832,2.312727273,0,0.818682826,9.420685288,0,0.003504094,8.396619198,0.243442175,0.280489952,0.153636364,0.194921392
"mp-300705340, VP2O7, LiVP2O7, mp-32415, mp-705340",0.545957419,4340.521777,2.848483593,2.004,0,0.873039165,7.0811173,0,0.003507876,9.312476696,0.274307721,0.258716735,0.164666667,0.227595517
"mp-300705357, MnP2O7, LiMnP2O7, mp-540350, mp-705357",0.530261319,4340.46737,3.0580581,1.717666667,0,0.900648492,5.216214038,0,0.010907948,8.784961898,0.274897087,0.259017018,0.163666667,0.274735567
"mp-300705367, V4P7O24, LiV4P7O24, mp-540336, mp-705367",0.559445081,4252.053433,2.916598743,2.105333333,0,1.018373387,8.151056857,0,0.003620096,10.78784905,0.253562053,0.250528567,0.17247619,0.346799563
"mp-300705375, Ni4P7O24, LiNi4P7O24, mp-504245, mp-705375",0.56588259,4251.942819,2.979985146,1.952190476,0,1.031343591,9.222756043,0,0.090802372,10.58221672,0.267229934,0.252067224,0.176666667,0.324867766
"mp-300705380, Mo2P3O13, LiMo2P3O13, mp-540536, mp-705380",0.636365623,4478.040876,2.79156182,2.471111111,0,1.04827516,11.6389736,0,0.009109572,10.44299964,0.249492724,0.278780768,0.157222222,0.254510907
"mp-300705400, Cr2P3O13, LiCr2P3O13, mp-540528, mp-705400",0.53769429,4477.914656,2.857822507,1.860740741,0,0.826286919,7.98356508,0,0.081302466,10.44299964,0.24952566,0.272453735,0.155740741,0.225771122
"mp-300705401, Ni4P4O15, Li2Ni4P4O15, mp-585202, mp-705401",0.594382508,4044.051871,3.146254912,2.135942029,0,0.858174691,14.32740459,0,0.056365922,16.79939587,0.236859592,0.233647134,0.197101449,0.429443154
"mp-300705402, Mn9(P2O7)8, Li5Mn9(P2O7)8, mp-705426, mp-540023",0.580717921,4286.931612,2.776635377,1.749588477,0,0.976712217,5.841000977,0,0.059601516,9.860070282,0.273761697,0.2540511,0.168271605,0.293356202
"mp-300705404, Fe3P4O15, LiFe3P4O15, mp-705395, mp-705381",0.584538705,4227.744638,2.933297834,1.801363636,0,0.803150446,10.48843869,0,0.083610949,13.101234,0.24227733,0.249739077,0.180454545,0.247469527
"mp-300705431, Fe5(P2O7)4, LiFe5(P2O7)4, mp-705433, mp-705376",0.584098924,4234.683906,2.89693875,1.817317073,0,0.924818347,9.308456692,0,0.049650013,11.58792441,0.269903885,0.250304862,0.179268293,0.286114166
"mp-300705432, Ni5(P2O7)4, Li6Ni5(P2O7)4, mp-705436, mp-705432",0.569995219,4234.649919,2.997752768,1.966504065,0,0.921221504,9.880935708,0,0.118614117,11.36701089,0.266492459,0.250485626,0.178455285,0.336344077
"mp-300705448, NiPO4, LiNiPO4, mp-705637, mp-705448",0.620563389,4133.774671,2.894743883,2.05,0,0.96365028,13.73042939,0,0.124474845,16.02216828,0.248438022,0.241861467,0.188888889,0.204003248
"mp-300705470, Mo4P5O24, Li3Mo4P5O24, mp-705562, mp-705470",0.597149357,4509.250567,3.112965723,2.504040404,0,0.937592175,12.76749297,0,0.005831443,11.48367131,0.249458656,0.282289356,0.154848485,0.222475574
"mp-300705640, Co21O40, Li20Co21O40, mp-851287, mp-705640",0.416274828,6097.69508,4.834275137,2.860655738,0,0.969665487,30.98360656,0,0.053658223,29.45901639,0.362591935,0.228516393,0.301229508,0.818134978
"mp-300743603, Ti3Fe(PO4)6, Li3Ti3Fe(PO4)6, mp-775436, mp-743603",0.568202208,3282.696346,2.667782466,1.270441176,0,1.19115997,3.66371316,0,0.03646201,5.985723174,0.222847515,0.256372748,0.119338235,0.138162807
"mp-300752433, La3Ti4O12, LiLa3Ti4O12, mp-754804, mp-752433",0.445213261,3917.359705,5.501154863,1.365614035,0,0.849691124,10.03827701,0,0.026957277,13.91288908,0.327929943,0.242242068,0.16877193,0.613364928
"mp-300753239, SnPHO5, LiSnPHO5, mp-775543, mp-753239",0.556040497,3488.569334,4.042283797,0.8390625,0,0.978904967,2.993971808,0,0,9.210801658,0.297117365,0.705481831,0.1371875,0.53203484
"mp-300753403, CuCO3, LiCu2(CO3)2, mp-760595, mp-753403",0.649198354,3719.816435,2.935652925,8.777333333,0,0.85690957,11.951383,0,0.109760247,16.55240835,0.27107873,0.209752892,0.216,0.488164564
"mp-300754937, TiO2, LiTi6O12, mp-766454, mp-757527",0.382756502,6200.338442,3.907891551,2.431666667,0,0.920270201,18.33333333,0,0.058752858,28.33333333,0.311029861,0.218666667,0.253333333,1.10288107
"mp-300755185, SbPHO5, LiSbPHO5, mp-755529, mp-755185",0.579163847,3488.670104,3.822571565,1.2340625,1,0.983354355,2.149445786,0,0.029327854,9.737772782,0.283293988,0.706007981,0.1378125,0.38158654
"mp-300755288, FeCuS2, LiFeCuS2, mp-753211, mp-755288",0.881074509,6.495033208,3.881200675,2.571,0,1.04028009,16.73451191,0,0.161312669,10.26117277,0.18859032,0.11791434,0.27,0.143633608
"mp-300755367, Ta2CuO6, LiTa2CuO6, mp-754223, mp-755367",0.482627561,4133.374311,7.768092686,3.261481481,0,1.347526809,18.41452281,1.466591842,0.104741373,17.63421976,0.307127395,0.271125627,0.175185185,0.671043547
"mp-300755414, TiS2, Li(TiS2)2, mp-9027, mvc-16738",0.233534952,11.99490146,3.143338645,2.932,0,1.181266362,15.76666667,0,0.022005892,9,0.356960035,0.148666667,0.253333333,1.241248201
"mp-300755615, TiO2, Li5Ti12O24, mp-754672, mp-765985",0.618827882,6200.338442,2.955996314,2.431666667,0,0.869754936,18.33333333,0,0.032580068,28.33333333,0.237346429,0.218666667,0.253333333,0.307043369
"mp-300755797, Ti8O13, LiTi8O13, mp-752989, mp-755797",0.521545393,5758.086993,3.974273245,2.763333333,0,0.938375424,20.95238095,0,0.009989828,33.23809524,0.250601094,0.184333333,0.28952381,0.541130271
