,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean,sq_pyr
"mp-300761738, Co3NiO8, Li2Co3NiO8, mp-765866, mp-761738",0.398876087,4132.819617,4.797814281,1.884444444,0,1.21361896,18.70828693,0,0.071497837,17.12981481,0.367356719,0.256488818,0.194444444,0.829024056
"mp-300761748, CrCo3O8, Li2CrCo3O8, mp-770909, mp-761748",0.428439544,4132.851607,4.456398892,1.982222222,0,1.242292207,18.87254195,0,0.101898236,17.08940723,0.354852104,0.25637276,0.193888889,0.472106358
"mp-300761752, VCoO4, LiVCoO4, mp-771484, mp-761752",0.485342117,4132.979412,4.304660572,2.143333333,0,0.946538428,13.42560664,0,0.051627262,13.06465404,0.337584932,0.252793736,0.188333333,1.243864026
"mp-300761763, FeCo3O8, Li2FeCo3O8, mp-761579, mp-761763",0.384539843,4132.842841,4.927936485,1.7825,0,0.975253066,18.78648713,0,0.046209538,17.08940723,0.337022485,0.25637276,0.195,0.892932992
"mp-300761767, Fe(SiO3)2, LiFe(SiO3)2, mvc-12198, mp-761767",0.611140479,4133.518264,2.666756971,4.27962963,1,0.811802469,9.785070232,0,0.185582903,17.41914498,0.273313798,0.243497498,0.176666667,0.251791844
"mp-300761797, Mn15O32, Li6Mn15O32, mp-777108, mp-761797",0.459344531,6331.207446,3.978051448,2.135,0,0.967504687,19.14893617,0,0.095416231,30.54255319,0.367056048,0.236074468,0.256914894,0.777974285
"mp-300761800, V3Cr(PO4)6, Li6V3Cr(PO4)6, mp-775008, mp-761800",0.548658406,3282.615032,2.828083194,1.485441176,0,1.19283702,5.418214667,0,0.022493675,7.171798141,0.223472609,0.256871293,0.121691176,0.14374666
"mp-300761801, V2CoO6, LiV2CoO6, mp-778411, mp-761801",0.460791541,4133.032172,4.179227528,2.241481481,0,1.361083282,14.55324645,0,0.09323271,17.89988926,0.273466004,0.253125099,0.186296296,0.604872903
"mp-300761806, NbCo3O8, Li2NbCo3O8, mp-761589, mp-761806",0.416642082,4133.015751,5.100027934,2.232222222,0,0.974196691,18.78648713,0,0.07425314,17.08940723,0.335529707,0.260707143,0.191388889,0.908515933
"mp-300761829, CoPO4, LiCoPO4, mp-851068, mp-761829",0.650294631,4133.777703,2.657197491,1.978888889,0,0.906499217,13.73042939,0,0.013672575,13.64180213,0.265083025,0.242908775,0.188888889,0.222455812
