,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300025885, CuPO4, LiCuPO4, mp-25886, mp-25885",1.04026874,1.834444444,0.084614994,0,12.66666667,2.577040428,8.806520111,0,0,4133.824041,0.015410843
"mp-300025907, Sn(PO3)4, LiSn(PO3)4, mp-25908, mp-25907",0.777773922,1.646078431,0.066130103,0,12.11764706,1.964169365,8.521526431,0,0,4377.37626,0.002091031
"mp-300025929, Bi2(PO4)3, LiBi2(PO4)3, mp-26074, mp-504151",1.11909904,1.577882353,0.063847396,0.549019608,18.05882353,8.001523009,13.78186051,0,0,4377.68579,0.011597718
"mp-300025959, Bi(PO3)4, LiBi(PO3)4, mp-25960, mp-25959",0.843837357,1.723647059,0.061840628,0.274509804,14.05882353,2.162683723,10.29153427,0,0,4377.543254,0.011233194
"mp-300026113, Ti(PO3)4, LiTi(PO3)4, mp-26114, mp-26113",0.686009245,1.783333333,0.06750299,0,10.47058824,3.462870234,7.132448,0,4.42E-07,4377.19331,0.003327117
"mp-300026129, BiP2O7, LiBiP2O7, mp-672945, mp-26129",1.162854064,1.657533333,0.070892882,0.466666667,16.9,6.103688247,12.76412413,0,0,4341.243062,0.010945886
"mp-300026173, Bi3(PO5)2, LiBi3(PO5)2, mp-584116, mp-26173",1.498052341,1.613288889,0.064489338,0.933333333,23.93333333,16.43348964,18.86406053,0,0,4135.218895,0.026552471
"mp-300026209, BiP2O7, LiBiP2O7, mp-26210, mp-26209",1.023280283,1.657533333,0.062383828,0.466666667,16.9,6.103688247,12.76412413,0,0,4341.243062,0.01926417
"mp-300026299, SnPO4, LiSnPO4, mp-672986, mp-26299",0.91865456,1.476111111,0.058545817,0,16.16666667,6.03018847,11.87118678,0,0,4134.664976,0.005245112
"mp-300026303, Cu9(PO4)8, Li6Cu9(PO4)8, mp-26304, mp-26303",1.006052761,1.88952381,0.079733628,0,13,2.873656696,9.059080925,0,0,4049.54076,0.00355636
"mp-300026341, SbP2O7, LiSbP2O7, mp-26342, mp-26341",0.90228743,1.947,0.067856032,0,13.7,2.619945253,9.856777467,1,0,4341.066661,0.005867318
"mp-300026389, Nb2(PO4)3, LiNb2(PO4)3, mp-26390, mp-26389",0.880205094,2.318823529,0.069134059,0,13.11764706,2.665670498,9.229938157,0,0,4377.000248,0.002339625
"mp-300026407, SnP2O7, Li2SnP2O7, mp-757076, mp-26407",0.939928724,1.525666667,0.071206581,0,13.6,2.532431658,9.7551108,0,0,4340.959173,0.003827633
"mp-300026409, Ti(PO3)4, LiTi(PO3)4, mp-540258, mp-26409",0.780086752,1.783333333,0.076760173,0,10.47058824,3.462870234,7.132448,0,4.42E-07,4377.19331,0.007566779
"mp-300026513, CuPO4, LiCuPO4, mp-673047, mp-26513",0.831681412,1.834444444,0.067648594,0,12.66666667,2.577040428,8.806520111,0,0,4133.824041,0.004106923
"mp-300026531, Cu2P3O10, LiCu2P3O10, mp-26532, mp-26531",0.99866011,1.889333333,0.084337747,0,12.2,1.825596911,8.444606356,0,0,4134.006087,0.006144139
"mp-300026541, Sb(PO3)4, LiSb(PO3)4, mp-26542, mp-26541",0.79917954,1.893921569,0.067621851,0,12.17647059,1.918616024,8.581330353,1,0,4377.439488,0.001719726
"mp-300026549, Nb(PO3)4, LiNb(PO3)4, mp-26550, mp-26549",0.718751458,2.094117647,0.063903634,0,11.58823529,2.434510941,8.015573098,0,0,4377.200483,0.002162618
"mp-300026629, TiP2O7, LiTiP2O7, mp-26630, mp-26629",0.774543194,1.759,0.073890058,0,10.8,2.751887045,7.393677467,0,7.51E-07,4340.648158,0.012382549
"mp-300026649, SnP2O7, Li2SnP2O7, mp-757192, mp-26649",0.943891786,1.525666667,0.071506813,0,13.6,2.532431658,9.7551108,0,0,4340.959173,0.007687543
"mp-300026675, Sb(PO3)4, LiSb(PO3)4, mp-673069, mp-26675",0.827383597,1.893921569,0.070008312,0,12.17647059,1.918616024,8.581330353,1,0,4377.439488,0.001780417
"mp-300026695, CuPO4, LiCuPO4, mp-753519, mp-25449",0.910049975,1.834444444,0.074023058,0,12.66666667,2.577040428,8.806520111,0,0,4133.824041,0.006740872
"mp-300026725, SnPO4, LiSnPO4, mp-673078, mp-26725",0.992727665,1.476111111,0.063266493,0,16.16666667,6.03018847,11.87118678,0,0,4134.664976,0.003778691
"mp-300026741, Cu4(PO4)3, LiCu4(PO4)3, mp-26742, mp-26741",1.081632202,1.976491228,0.082388047,0,13.52631579,3.495086168,9.457861158,0,0,3916.461897,0.0047385
"mp-300026767, Nb(PO3)4, LiNb(PO3)4, mp-673088, mp-26767",0.848581343,2.094117647,0.075446708,0,11.58823529,2.434510941,8.015573098,0,0,4377.200483,0.005106514
"mp-300026795, Cu5P3O13, LiCu5P3O13, mp-26796, mp-26795",1.119602408,2.007619048,0.08239482,0,14,4.370780055,9.819737873,0,0,3838.767543,0.004287567
"mp-300026823, Cu3(P2O7)2, Li2Cu3(P2O7)2, mp-673105, mp-26823",0.953133084,1.873650794,0.079622754,0,12.33333333,1.981674929,8.548010286,0,0,4133.954074,0.004143318
"mp-300026835, Bi5(PO4)6, Li3Bi5(PO4)6, mp-673116, mp-26835",1.216618355,1.638571429,0.062943915,0.666666667,19.91428571,10.49372666,15.37838259,0,0,4252.946991,0.011106929
"mp-300026875, CuPO4, LiCuPO4, mp-673017, mp-26467",0.895606877,1.834444444,0.072848263,0,12.66666667,2.577040428,8.806520111,0,0,4133.824041,0.00663389
"mp-300026897, Sn(PO3)3, LiSn(PO3)3, mp-673129, mp-26897",0.803937147,1.66025641,0.064478229,0,12.84615385,1.603917822,9.118612462,0,0,4293.368812,0.005332242
"mp-300026949, Sn2(PO3)5, LiSn2(PO3)5, mp-26950, mp-26949",0.88324945,1.671212121,0.067865361,0,13.40909091,1.797042275,9.579997121,0,0,4228.453965,0.00331639
"mp-300027017, SnPO4, LiSnPO4, mp-27018, mp-27017",1.004079689,1.476111111,0.063989957,0,16.16666667,6.03018847,11.87118678,0,0,4134.664976,0.002866426
"mp-300031519, CoP2O7, LiCoP2O7, mp-31529, mp-31519",0.914293707,1.827333333,0.08336263,0,11.3,2.433460307,7.762550633,0,0.051615707,4340.426809,0.032787023
"mp-300031537, CoPO4, LiCoPO4, mp-31532, mp-31537",0.958241014,1.978888889,0.08004946,0,12.33333333,2.420305031,8.550253167,0,0.086026178,4133.777703,0.008745537
"mp-300031540, CoPO4, LiCoPO4, mp-31521, mp-31540",1.083823681,1.978888889,0.090540375,0,12.33333333,2.420305031,8.550253167,0,0.086026178,4133.777703,0.02967506
"mp-300031541, CoPO4, LiCoPO4, mp-704240, mp-31541",0.824775112,1.978888889,0.068899996,0,12.33333333,2.420305031,8.550253167,0,0.086026178,4133.777703,0.007527439
