,density,nelements,other,BoilingT wstd,HeatCapacityMass wmean,AtomicVolum wmean,HeatFusion wmean,HeatFusion wstd,MeltingT wstd,BCCenergydiff wmean,GSmagmom wstd,ionicitymean,q4,sq_pyr,numberDensity,ShannonRadii,deltaShannonstd,deltashannonmax,chargedensityvoldens,negativeoxdensity,energysStab,volumeshannonflex,metalloid,BulkModulus wstd,IsAlkali wstd,deltaShannon,lin,bent
"mp-300778341, MnNi(PO4)2, Li4Mn3Ni3(PO4)6, mp-772336, mp-778341",3.523778779495498,4.0,4.0,81.70930466446279,0.20427083333333326,3100.357490926163,1.4422916666666667,1.063964901095844,46.07242034739078,0.41809600136125,0.021480728063790942,0.5604166666666667,0.2322589429060379,0.08761015150174127,0.08388339662154991,0.5153755730202191,0.1516667413160821,0.6992029529068629,0.9973508796108964,0.05592226441436661,0.034583966232638375,361.9042796178812,0.0,6.0900362615231325,0.0,0.2080407743571398,2.42134095202076,2.42134095202076
"mp-300778395, CrPO5, LiCrPO5, mp-770751, mp-778395",3.2593991826153768,3.0,3.0,164.5625100923389,0.27657142857142863,4428.632994844645,1.935238095238095,1.2654623705736447,126.92385436653046,0.5811230132142857,0.0,0.4923809523809524,0.2305092995564683,0.31090604169204195,0.08431158034460144,0.5091387272416705,0.1303498947217925,0.5784245500279714,0.9235324499793908,0.060222557389001036,0.041790259107141736,152.53688000281738,0.0,10.42433051407459,0.0,0.2759339520027633,3.4512830839677933,3.4512830839677933
"mp-300778400, Fe2(SO4)3, Li2Fe2(SO4)3, mp-554954, mp-778400",3.0594578427590577,3.0,3.0,131.50987950427142,0.27525490196078434,4376.694516964626,0.6945686274509804,0.6604912301679687,76.1472783209877,0.6048581616911765,0.11705599832770085,0.3917647058823529,0.27701119325435697,0.35355857926480266,0.07832800065526614,0.5411244689132444,0.7466327435938177,2.1282709853208996,0.8765164473883995,0.06911294175464659,0.006193467499999272,691.1931574867164,0.0,9.12469093291929,0.0,0.5333772554948266,2.6954294067682256,2.6954294067682256
"mp-300778410, Fe3OF7, Li3Fe3OF7, mp-774191, mp-778410",3.4382102464124427,3.0,3.0,388.7107596808245,0.2434242424242425,4510.266340384795,1.3162121212121212,1.733492085864225,223.94670423135983,0.25417688143939393,0.2713570870323974,0.6990000000000001,0.21451243181127247,0.8914733689400407,0.07195657400815439,0.6238566832325003,0.32215959882172546,1.2988166213564452,0.9460191754391104,0.05233205382411228,0.1112348945454542,13.197203676710346,0.0,21.85602778212965,0.0,1.0888748829572097,5.2840607157051975,5.2840607157051975
"mp-300778433, Cr2(PS4)3, LiCr2(PS4)3, mp-778446, mp-778530",1.9462309796233448,3.0,3.0,168.24817122343637,0.2294313725490196,8.526015488897357,2.3190588235294123,0.8465508934641282,98.93262848217935,0.29975229946078435,0.0,0.14555555555555558,0.17910855069597226,0.3022531114953137,0.03425311264743984,0.9807469021209102,0.6770985945366635,1.6154291854770677,0.5573549468450798,0.02417866775113401,0.015293761112133097,0.0,0.0,7.276045501450444,0.0,1.179690487149475,2.5818030541418207,2.5818030541418207
"mp-300778458, Cu2(SO4)3, LiCu2(SO4)3, mp-768451, mp-778169",3.1905110845722966,3.0,3.0,135.10128580748528,0.2727450980392157,4376.696578806287,0.6863333333333334,0.6488947507411413,51.49282136281826,0.6063392416911765,0.0,0.4547826086956521,0.2690565848861914,0.3330610426662333,0.07865372820027022,0.5263595400346287,0.9499429934204606,2.685165221505089,0.9071051650100074,0.06940034841200313,0.0,354.7632225753806,0.0,7.464673176790376,0.0,0.6346045068903265,2.6183553087946447,2.6183553087946447
"mp-300778500, TiMn9O20, Li5TiMn9O20, mp-771265, mp-778500",4.100544948200801,3.0,3.0,288.94168235557345,0.25772222222222224,4133.016599857079,1.4971111111111108,1.685238313366838,191.3040208544027,0.5267350591451111,4.3681726239938254e-05,0.6013636363636364,0.2794737655115305,0.8737609556862679,0.08591256648118868,0.4507129894940485,0.20189686833378984,0.5944480393785885,1.131268582606565,0.05727504432079245,0.0569552986666686,717.9044577381128,0.0,16.17573247144173,0.0,0.29264484250285994,4.966746455508322,4.966746455508322
"mp-300778555, Mn2(SO4)3, Li2Mn2(SO4)3, mp-771368, mp-778555",3.053508496778557,3.0,3.0,88.4282263411453,0.2764313725490196,4376.711589101727,0.6592745098039215,0.6108054249963085,60.21769247524722,0.6107465730770588,1.7199093540494058e-05,0.4555,0.2718802702954462,0.4229280624021541,0.07853191937830173,0.532331777401316,0.7471406762322673,2.1301162948833303,0.8698310356357046,0.06929287003967799,0.0,701.9949601065478,0.0,6.359087440787772,0.0,0.5410056468711355,2.7442968668477343,2.7442968668477343
"mp-300778564, Fe7(OF3)3, LiFe7(OF3)3, mp-781010, mp-778564",4.169288484354056,3.0,3.0,531.5744739088013,0.2335614035087719,3917.0791256177613,1.7478070175438596,2.362059940434144,306.5891404173554,0.2582832514473684,0.3665701000262209,1.05,0.16847614441258238,0.7307778494435141,0.07821835684572799,0.7041728929522911,0.3155082793553657,1.1130301688891948,1.146760863022397,0.04940106748151242,0.07460585447368473,0.0,0.0,29.524809460069875,0.0,0.8385322951211778,3.4309151879323534,3.4309151879323534
"mp-300778572, VFeP2(O4F)2, LiVFeP2(O4F)2, mp-778349, mp-777635",3.154268772676753,5.0,5.0,99.02307590719671,0.16382857142857146,2657.46921390566,1.0665714285714285,0.9670210305207366,58.00699746670258,0.30787851,0.06030465142857142,0.93,0.285950684189287,0.3420286921815046,0.07944895433052508,0.5267387889262999,0.3736923554992308,1.2387261057218992,0.8867922818681515,0.0567492530932322,0.031579881210316074,118.1738964846578,0.0,5.551539591566892,0.0,0.4279560345493692,2.827583773026709,2.827583773026709
"mp-300778578, Co2(SO4)3, LiCo2(SO4)3, mp-771299, mp-770593",3.1594171069778985,3.0,3.0,135.10128580748528,0.27415686274509804,4376.663869737707,0.7882941176470588,0.7925734921661391,73.79425286420506,0.608791596004902,0.0858772145876134,0.4081818181818182,0.257702010256638,0.2822582157912363,0.0796567954673137,0.5305463512666789,0.7516556726215596,2.140238576284529,0.9004818810247236,0.07028540776527681,0.00613807544117595,704.2297217494919,0.0,9.67831736355134,0.0,0.5279260133676741,2.343831000165965,2.343831000165965
"mp-300778591, MnF3, LiMnF3, mp-766789, mp-778591",3.7286004029959807,2.0,2.0,259.92,0.368875,6977.129800806425,1.709375,1.5181250000000002,169.8125,0.345061996605,3.8765086206875e-05,0.6942857142857142,0.180897393938517,0.9674911167143834,0.08024124205614949,0.6354068823588386,0.10817290132738573,1.0384462935877878,1.0124576669632888,0.060180931542112126,0.031403696249999946,0.0,0.0,15.0,0.0,0.9759926398873988,3.7003516489274495,3.7003516489274495
"mp-300778623, V6O7F5, LiV6O7F5, mp-777692, mp-778623",4.160266797328257,3.0,3.0,564.4595244230841,0.24962962962962965,4134.00911835916,2.441018518518518,3.34154325634417,334.50984595957067,0.378330577824074,0.0,1.0925,0.2310874785887431,1.1466080140690087,0.08797004939373304,0.5209277730120735,0.3881427666684448,1.1785355405992186,1.1336946843205258,0.05864669959582203,0.029017042777779167,62.64587485251021,0.0,25.141574442188357,0.0,0.5767364843333055,3.6884742597076574,3.6884742597076574
"mp-300778629, V4OF11, LiV4OF11, mp-774387, mp-778629",3.266393370343759,3.0,3.0,419.16346729271066,0.2487083333333333,4651.359812499749,1.8546875,2.490110530825724,248.16621524821824,0.2472560916145833,0.0,0.6468421052631579,0.2838710206149431,0.5281078812346274,0.073406998782433,0.5531652243389876,0.2730071269595169,0.9159063507757969,0.8861483657266277,0.055055249086824735,0.0013426775000002775,0.0,0.0,18.856180831641268,0.0,0.7342206899386164,2.5568999348384724,2.5568999348384724
"mp-300778636, Co3P4O15, LiCo3P4O15, mp-850473, mp-776676",3.0084215831506023,3.0,3.0,168.26687345547052,0.27437878787878783,4227.709114646316,1.91,1.3318296617562937,91.62335926645045,0.570097023030303,0.09953949872655186,0.35400000000000004,0.2261409122640981,0.3178665333110521,0.07371697193724616,0.5745386209860871,0.09369341104527994,0.378211668677286,0.8488309230912857,0.05026157177539512,0.09092359394886353,816.2605433374008,0.0,11.129424760537226,0.0,0.15011586638926291,2.7860181169746063,2.7860181169746063
"mp-300778653, La3Ti3CrO12, LiLa3Ti3CrO12, mp-769844, mp-778653",5.559686394137564,4.0,3.0,237.82354376914432,0.17923684210526314,2937.9468398049935,1.1143421052631577,0.7456397144700742,100.03273605449606,0.3723988753289473,1.5406136130458275e-06,0.7741176470588236,0.17465210763503025,0.7910735555009775,0.07909214623598883,0.43307719092690855,0.3455816540721429,1.1776361332909386,1.4423938250364146,0.04995293446483505,0.04494769565789447,167.67614696176796,0.0,6.402204866045323,0.0,0.4368923651596746,3.5780909096387163,3.5780909096387163
"mp-300778677, TiFe3Cu2(PO4)6, Li4TiFe3Cu2(PO4)6, mp-775996, mp-778677",3.387710191342181,5.0,5.0,72.73051744557598,0.16270555555555555,2480.325805680982,1.1072222222222219,1.047824421608181,40.425754200344436,0.3312405456944444,0.07035536407449172,0.5613043478260871,0.25361378251264605,0.09457374797435054,0.08050288831523843,0.5425260111636224,0.1366330361354487,0.6137625526089082,0.9549871256259878,0.05366859221015896,0.04558513123263985,344.7510037316092,0.0,5.096670421237384,0.0,0.2124267606072356,2.245531917749102,2.245531917749102
"mp-300778744, MnNi(PO4)2, Li2MnNi(PO4)2, mp-775200, mp-778744",3.7022371485049006,4.0,4.0,81.70930466446279,0.20427083333333326,3100.357490926163,1.4422916666666667,1.063964901095844,46.07242034739078,0.41809600136125,0.021480728063790942,0.5304347826086956,0.22522061761407244,0.6826506471486798,0.08813159013334405,0.493195999357666,0.1764978047876352,0.8136773113091732,1.0478607505316062,0.058754393422229365,0.04247000734375117,251.4916510894352,0.0,6.0900362615231325,0.0,0.24210146312717945,3.0810490002550206,3.0810490002550206
"mp-300778769, V6O7F5, LiV6O7F5, mp-763927, mp-778769",4.138948395333918,3.0,3.0,564.4595244230841,0.24962962962962965,4134.00911835916,2.441018518518518,3.34154325634417,334.50984595957067,0.378330577824074,0.0,1.0754545454545454,0.21434851396354684,1.2952733243886212,0.08751926559360708,0.4859416234904305,0.3874786459849959,1.176519040754562,1.1278853071347374,0.05834617706240471,0.032750527222221486,16.722858186203812,0.0,25.141574442188357,0.0,0.5757496757127741,4.0360527228668,4.0360527228668
"mp-300778781, NiO2, Li(NiO2)2, mp-35925, mvc-16803",3.1706796412906177,2.0,2.0,500.9666666666667,0.38,6199.2226029034155,2.9866666666666664,2.84,269.73333333333335,0.7835443533333335,0.09923245,0.51,0.34565511083265216,0.2176000530097524,0.06316181805783329,0.5967453395908113,0.004247529975204671,0.3818746253359663,0.89912882887126,0.0421078787052222,0.08814143527777674,27.535611444404275,0.0,30.0,0.0,0.3758677108384456,3.517725165222698,3.517725165222698
"mp-300778785, Cr3TeO8, Li2Cr3TeO8, mp-770187, mp-778785",4.807670714001332,3.0,3.0,308.57525854349564,0.24702777777777776,4133.550356473873,2.2816666666666667,2.1651537452894054,234.30974767902302,0.5190620368519444,0.0,0.601,0.2603811081635253,0.8900855868103837,0.08441292418011642,0.4065057318393113,1.4410601694969385,5.4774756619951175,1.2835755235494195,0.06330969313508733,0.08669746416666603,197.64009006802883,1.0,17.717998451738342,0.0,0.7142337167260778,3.761162911308823,3.761162911308823
"mp-300778815, CoP2O7, LiCoP2O7, mp-540494, mp-31535",2.8263646767832453,3.0,3.0,111.59855226062149,0.2795,4340.426808991407,1.8273333333333333,1.4583025139600572,60.2232874854533,0.5871510108333332,0.07299563239947138,1.1652631578947368,0.2461816945323384,0.21539259432694413,0.07308923842589657,0.574474826788401,0.1359596200607265,0.6179895512252568,0.8016185505135214,0.0511624668981276,0.05545850143749932,190.4808840194053,0.0,8.017203724214294,0.0,0.2285155307899954,2.5333470156077937,2.5333470156077937
"mp-300778861, V2OF5, LiV2OF5, mp-775438, mp-778861",3.254324860557415,3.0,3.0,418.8810944465293,0.25066666666666665,4651.163741648932,1.8539583333333327,2.4903344578199844,248.01079788601047,0.2769837263541666,0.0,0.8130000000000001,0.2902758723806789,0.4654710421434537,0.0736509515139338,0.5553125056234853,0.2997867313378237,0.9169198363175683,0.8846254880708948,0.05523821363545036,0.0013171390624995285,0.0,0.0,18.856180831641268,0.0,0.6888684804163214,2.4822837126013804,2.4822837126013804
