,BoilingT wstd,AtomicVolum wmean,HeatFusion wmean,HeatFusion wstd,BCCenergydiff wmean,GSmagmom wstd,ionicitymean,q4,sq_pyr,numberDensity,ShannonRadii,deltaShannonstd,chargedensityvoldens,negativeoxdensity
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",460.63333333333327,6199.41454507545,3.5733333333333333,3.4266666666666667,0.7658315916666667,0.0,0.5663636363636364,0.21416553882824232,0.8956215866426008,0.08581157103206408,0.4417487713241296,0.2092783047685854,1.1105048722921946,0.05720771402137605
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",102.32435237463707,4340.020182062323,2.1410000000000005,2.005972582065867,0.5650377438333333,0.09949759857854573,1.01,0.2457903709672973,0.613814227556964,0.07578632618912337,0.5531423742040128,0.2011483269072407,1.0886504308925509,0.05305042833238637
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",215.91449224858195,4133.777702692075,1.9788888888888885,1.3053233836113058,0.5558853665277778,0.12165938733245228,1.0395833333333335,0.22834992740245594,0.547888933393162,0.08466483509402199,0.5160462799837287,0.16279940662890718,1.0134898760908424,0.05644322339601466
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",421.1503648645314,4509.228302318072,3.432424242424243,4.3023526354988215,0.5606549236363637,0.0,0.8868750000000001,0.21249674215716385,0.44008555052277504,0.06500661429069213,0.5607748186788127,0.17054033083318176,1.554425928378526,0.04727753766595792
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",817.8692383100963,2756.114255018588,18.025185185185183,24.159526426376328,0.986676667222222,0.08110625822163486,0.6400000000000001,0.2657246290532784,0.3639451805530409,0.04696607900256862,0.8330517562050536,0.2055793110839717,0.4203932806705349,0.0208738128900305
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",210.73888837628914,4133.821119596877,1.8461111111111108,1.2440393685962208,0.5503130012499999,0.16582933096424285,1.007272727272727,0.18800497230761828,0.5399354245932955,0.08899414463617568,0.5011279328257856,0.14144761676798198,1.0509182200866258,0.05932942975745045
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",191.58524757634368,4340.576976324896,2.536666666666666,1.6848788944279909,0.5838075916666666,0.0,0.8633333333333331,0.25767139124307403,0.2553979660505778,0.06955803271415814,0.5927390551505866,0.05504342118071865,0.8641579681483605,0.0486906228999107
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",148.0590975186081,4133.845305124435,1.7961111111111108,1.2276312129714395,0.5586549173800001,2.4365382515699923e-05,1.2622727272727272,0.2329956752048288,0.5310323106635679,0.08074532302016486,0.5286687275664768,0.2294377405344847,0.9404473801752872,0.05383021534677658
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",263.62997700121764,4133.594838984837,4.564444444444447,4.751205002017216,0.5491872962962963,0.0,1.2741666666666671,0.2424050321079755,0.4847914871042282,0.08430067221300099,0.5343353958389396,0.11195472872435076,0.9000354210497813,0.056200448142000654
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",227.21174330631828,4133.047014924678,1.9605555555555558,1.4095063053038668,0.5187953150188889,2.4365382515699923e-05,1.2245454545454542,0.1814265538957143,0.3280663650019453,0.07886607944768254,0.5346006662105892,0.2727582848838511,1.0206218629013273,0.05257738629845502
