,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,q6,HeatCapacityMass wstd,n_ws^third wmean
"mp-300776741, Mn3SbO8, Li2Mn3SbO8, mp-774390, mp-776741",0.4981679222826924,4133.455746354327,4.4685563373041814,1.6744444444444444,1.0,0.8149986074898123,13.393613735242965,0.0,0.09566917774305496,20.56587578766293,0.3331195285210938,0.25960308913587465,0.1691666666666667
"mp-300776744, Mn3Cr3(SbO8)2, Li4Mn3Cr3(SbO8)2, mp-780598, mp-776744",0.4397584131951087,3100.088067047255,4.892608087868586,1.5086458333333332,1.0,0.9683173550049359,8.165284747025053,0.0,0.06418683093749955,8.742481889219636,0.3185066208835952,0.24633676295114784,0.130625
"mp-300776756, TiMn2Ni3(PO4)6, Li4TiMn2Ni3(PO4)6, mp-776680, mp-776756",0.5486230611129858,2480.3161239225587,3.324023614687172,1.1607222222222222,0.0,1.1301389841318228,5.312296473951778,0.0,0.08729911085069375,6.221021709583652,0.24125373803145875,0.227739246063411,0.1105
"mp-300776761, Cr(SO4)2, LiCr(SO4)2, mp-765763, mp-776761",0.5564980916730776,4509.212223059953,2.6914866890014584,0.794,0.0,1.2641097590843748,6.551787060205584,0.0,0.0567010805871222,5.029390205603498,0.26805425247067033,0.2770984681754799,0.05242424242424243
"mp-300776804, NiSn3(PO4)4, Li4NiSn3(PO4)4, mp-771749, mp-776804",0.5787375059949339,3100.831799909634,4.0630190141925135,1.2146875,0.0,0.8410613217484373,3.2947638382743003,0.0,0.10648839583333293,6.134558867595941,0.24732107142114626,0.2435464220647079,0.12572916666666664
"mp-300776805, Mn3Cr3(SnO8)2, Li4Mn3Cr3(SnO8)2, mp-771095, mp-776805",0.45740217715073295,3100.020887085136,4.804338893910414,1.2453124999999998,0.0,0.9683446296938084,7.9323309941025535,0.0,0.08207042802083286,9.11257716016715,0.33545770280225456,0.246051694157786,0.13020833333333334
"mp-300776829, Mn7Cr(PO4)12, Li8Mn7Cr(PO4)12, mp-778074, mp-776829",0.5250774278473026,3282.5794680956765,3.083051741593186,1.2662132352941178,0.0,0.8068935561769979,4.811925604961246,0.0,0.06734509218749984,8.428273341704772,0.2452465160202945,0.25717484184017503,0.12058823529411765
"mp-300776839, Mn3Sn(PO4)6, Li6Mn3Sn(PO4)6, mp-778517, mp-776839",0.5511734811249598,3282.688394303709,3.1563681483872092,1.1941176470588235,0.0,1.162484692232294,4.126985209619152,0.0,0.0637072534558838,7.032026341223975,0.2405365724045297,0.2582758631706412,0.1174264705882353
"mp-300776857, Ti3Nb2Cr3O16, Li4Ti3Nb2Cr3O16, mp-777531, mp-776857",0.4468445014298084,3100.0036113925953,4.249642606313613,1.7601041666666666,0.0,0.9649235963036356,7.344304057113468,0.0,0.09629794677083048,7.702158281124843,0.32796863562860884,0.2447948978066894,0.13572916666666668
"mp-300776880, Fe2Ni(PO4)3, Li2Fe2Ni(PO4)3, mp-774420, mp-776880",0.5413667643315561,3100.3542274681045,3.40835464911807,1.4355555555555557,0.0,1.1253467147854637,7.486446086094523,0.0,0.033845428645833835,9.115545584126947,0.23933669077525435,0.2388121465073425,0.1422222222222222
"mp-300776893, V4O5F7, LiV4O5F7, mp-778714, mp-776893",0.5419102183991218,4650.575529096482,3.2903416455838306,1.8517708333333327,0.0,0.8562426723474836,18.856180831641268,0.0,0.010999666874999649,24.584057192732764,0.26749261816524794,0.09960203799231328,0.13666666666666666
"mp-300777013, Ni(SO4)2, LiNi(SO4)2, mp-772423, mp-777013",0.557247250148855,4509.17732448322,2.7757488152990306,0.6873333333333335,0.0,1.2829442052217206,7.405996131247398,0.0,0.052495255871215285,4.8675760499849945,0.2754107025226815,0.2772287893651967,0.05303030303030303
"mp-300777017, Mn7Ni(PO4)12, Li8Mn7Ni(PO4)12, mp-776812, mp-777017",0.5293690751086507,3282.575234077176,3.074624578889792,1.253272058823529,0.0,0.8067130544212334,4.785900572583747,0.0,0.08642679049632385,8.43749279123106,0.24475596104640665,0.2571893749905376,0.12066176470588234
"mp-300777022, Mn3Cr3(WO8)2, Li4Mn3Cr3(WO8)2, mp-778921, mp-777022",0.4638206160756479,3099.789469359342,5.530569401503502,2.1861458333333332,0.0,0.9691253076456496,9.58106857297243,0.5051814855409225,0.0843020470052096,8.185193695529346,0.3118368809923806,0.24742159427281196,0.14208333333333334
"mp-300777041, Mn3Co3(SnO8)2, Li4Mn3Co3(SnO8)2, mp-770554, mp-777041",0.43785615525798455,3099.986603435424,5.1750976885551925,1.0953125,0.0,0.972189283837896,8.754760609710202,0.0,0.05679523760416672,8.080829455414834,0.3381184327337395,0.2465203650098371,0.13083333333333333
"mp-300777057, CoPO4, LiCoPO4, mp-777025, mp-777057",0.4965037524380465,4133.777702692075,3.751843899497288,1.9788888888888885,0.0,0.8466524023160769,13.730429394524586,0.0,0.015296211249999912,13.641802132859821,0.3014178069554688,0.2429087747272753,0.18888888888888888
"mp-300777058, V6O7F5, LiV6O7F5, mp-779962, mp-777058",0.4737151378425087,4134.00911835916,4.154499275674606,2.441018518518518,0.0,0.956886665919882,25.141574442188357,0.0,0.03794639777777853,33.90245630053781,0.3212201378375933,0.08054660656976173,0.1822222222222222
"mp-300777066, MnP2O7, LiMnP2O7, mp-770558, mp-778319",0.5182271589987991,4340.467370450822,3.136402002344864,1.717666666666667,0.0,0.8294644410302198,5.216214037871613,0.0,0.006058237249999543,8.78496189835537,0.2830579425240353,0.25901701788792864,0.16366666666666668
"mp-300777067, MnP2O7, LiMnP2O7, mp-770531, mp-540221",0.5175395917791801,4340.467370450822,3.1408781517265494,1.717666666666667,0.0,0.8832101681152766,5.216214037871613,0.0,0.0008633037499992112,8.78496189835537,0.2674130003348077,0.25901701788792864,0.16366666666666668
"mp-300777069, Mn2PO5, LiMn2PO5, mp-770538, mp-777069",0.5512685116138812,3875.567723466452,3.6443852708878084,1.8941666666666668,0.0,0.8293650415843529,13.829442223828918,0.0,0.00533998906250055,23.93074498538555,0.259772291664308,0.21979783166709246,0.20291666666666666
"mp-300777072, VPO5, LiVPO5, mp-767483, mp-777072",0.6037472919741769,4428.716421546887,2.6263267453121872,1.9590476190476187,0.0,0.8172668774284254,10.42433051407459,0.0,0.003679277499998079,13.756383799461807,0.26147214696598675,0.26724699608433355,0.15666666666666665
"mp-300777077, V4OF11, LiV4OF11, mp-782703, mp-777077",0.5524174722559576,4651.359812499749,3.2718594902155966,1.8546875,0.0,0.8553713861541817,18.856180831641268,0.0,0.001407514374999863,24.691024713220976,0.279700300824776,0.22626805483516424,0.13666666666666666
"mp-300777081, V4O5F7, LiV4O5F7, mp-763945, mp-777081",0.5657283682414542,4650.575529096482,3.311424777201398,1.8517708333333327,0.0,0.8569976334422691,18.856180831641268,0.0,0.04648855875000013,24.584057192732764,0.27513903366542003,0.09960203799231328,0.13666666666666666
"mp-300777083, V6O7F5, LiV6O7F5, mp-778750, mp-777083",0.4856944352580765,4134.00911835916,4.140938634933929,2.441018518518518,0.0,0.9666707436450168,25.141574442188357,0.0,0.030590097777777107,33.90245630053781,0.3213872640921052,0.08054660656976173,0.1822222222222222
"mp-300777084, V2OF5, LiV2OF5, mp-781965, mp-777084",0.5511651528364925,4651.163741648932,3.2846761374673634,1.8539583333333327,0.0,0.8792752224207034,18.856180831641268,0.0,0.003201219583333525,24.63532637404172,0.2784098262472056,0.1869369694724817,0.13666666666666666
