,ShannonRadii,AtomicVolum wmean,Electronegativity wmean,metalloid,HeatFusion wmean,lin,q6,Crystal System,strainlatticemean,total_magnetization
"mp-300764909, Mn3Cr(PO4)4, Li4Mn3Cr(PO4)4, mp-775395, mp-767307",0.5087624037508226,3100.3827312704966,0.7303124999999999,0.0,1.4313541666666665,2.8701893128145763,0.2469392394816993,1.0,-2.112754743688328e-05,15.0000009
"mp-300764914, Ti4VO8, LiTi4VO8, mp-770251, mp-768022",0.3960458599775272,3815.9478845838826,0.9053846153846156,0.0,2.047692307692308,6.54094064574378,0.3002408011205965,1.0,-0.4404902955988093,1.5131758999999998
"mp-300764920, VF5, LiVF5, mp-766786, mp-764920",0.7989410955890419,7751.823977905332,1.794166666666667,0.0,1.8979166666666665,2.71706067851674,0.2465997482161104,2.0,-0.08230688024717972,5e-07
"mp-300764931, MnFeCo(PO4)3, Li3MnFeCo(PO4)3, mp-763496, mp-764931",0.5180126831051226,2480.288825482677,0.5901111111111109,0.0,1.124222222222222,2.7718487830754808,0.2570827096882184,1.0,-1.4714960971199769e-06,51.9999418
"mp-300764942, Mn2Co5O12, Li4Mn2Co5O12, mp-771625, mp-774397",0.4130954333673873,3915.5398370213957,0.9435087719298244,0.0,1.9203508771929825,4.607556044217287,0.31116856285516753,1.0,-0.08414289656131403,14.9999992
"mp-300765001, Mn3TeO8, Li2Mn3TeO8, mp-771471, mp-765001",0.21847977146883896,4133.560337056515,0.9519444444444444,1.0,1.6075,3.716684219192063,0.31940338497498866,3.0,-0.11402251260344386,21.9999988
"mp-300765014, Na2Mn(PO3)5, Na2LiMn(PO3)5, mp-567904, mp-765014",0.5706678534722162,3033.859972485373,0.7169565217391304,0.0,1.2403260869565216,2.753932544037548,0.2755995661761041,1.0,-0.02941261891138325,7.9999996
"mp-300765024, VF5, LiVF5, mp-766781, mp-765024",0.7908192547169232,7751.823977905332,1.794166666666667,0.0,1.8979166666666665,3.0111513412091653,0.2731524143968534,3.0,-5.921189464667503e-15,0.0
"mp-300765030, Mn3Cr5O16, Li4Mn3Cr5O16, mp-773259, mp-771517",0.3956803901693407,4132.9480203416215,0.9443055555555554,0.0,2.0451388888888893,4.014834771964222,0.3286336416776317,2.0,-0.10579365480320213,18.9999992
"mp-300765033, Mn5Fe3O16, Li4Mn5Fe3O16, mp-773198, mp-772481",0.4306506809936895,4132.9381983481535,0.9483333333333333,0.0,1.5208333333333333,4.051427762955404,0.31382870052346684,2.0,-0.10667534440849262,27.0000002
"mp-300765046, V2OF7, LiV2OF7, mp-765500, mp-764204",0.7886163838459259,4961.038231141051,1.152,0.0,1.5001666666666666,4.643866350802414,0.3854795397887547,2.0,-0.14364809176028062,1.0000001
"mp-300765048, V2OF5, LiV2OF5, mp-764357, mp-765048",0.5050019186192775,4651.163741648932,1.1083333333333334,0.0,1.8539583333333327,3.532669830324272,0.3262510769816236,2.0,-0.08084533930960121,8.9999999
"mp-300765055, Mn2F7, LiMn2F7, mp-765941, mp-766857",0.7977221283383741,7235.3158544573,1.72,0.0,1.5336111111111108,3.3600498789516817,0.3025991501111003,2.0,-0.05373841294086527,14.0000001
"mp-300765102, Ti(PO3)4, LiTi(PO3)4, mp-766396, mp-765102",0.5488994546729811,4377.1933098489835,1.011372549019608,0.0,1.7833333333333332,2.904289293372195,0.2349711365375236,1.0,-0.3896132911937436,0.0
"mp-300765110, VFe(P2O7)2, LiVFe(P2O7)2, mp-767722, mp-765110",0.5485396756842146,3255.365488516359,0.75475,0.0,1.406875,2.6378543828043703,0.26433521625578976,2.0,-0.03168126154726458,5.0000005
"mp-300765113, V(CO3)2, LiV(CO3)2, mp-762253, mp-763116",0.579066125895344,4132.765854688443,1.0137037037037036,0.0,9.541481481481481,3.3340856003343955,0.2628912565004694,4.0,-0.23701488742736684,4.0000008000000005
"mp-300765133, VCr(P2O7)2, LiVCr(P2O7)2, mp-767779, mp-767608",0.5405487991325694,3255.369433172663,0.752625,0.0,1.49675,2.537256757492047,0.2651634968301232,2.0,-0.031020669216359487,2.9999998
"mp-300765157, VF3, LiV2F6, mp-765007, mp-559701",0.5525636922859235,6977.333825025849,1.69625,0.0,2.783125,2.2216730933931244,0.2439690324300595,1.0,-4.20715477270998e-09,8.0000017
"mp-300765263, VF5, LiVF5, mp-765273, mp-765263",0.7948694442405924,7751.823977905332,1.794166666666667,0.0,1.8979166666666665,2.2126231457218366,0.22073545272302328,1.0,-0.002775155859743824,0.0
"mp-300765266, Mn2F7, LiMn2F7, mp-765269, mp-765266",0.6597769586416223,7235.3158544573,1.72,0.0,1.5336111111111108,2.5525173885275785,0.2923640026967823,1.0,-0.0004231655378538572,28.0001256
"mp-300765272, V2OF5, LiV2OF5, mp-764744, mp-764220",0.5501007153109,4651.163741648932,1.1083333333333334,0.0,1.8539583333333327,2.623529511161534,0.2689674220883013,2.0,-0.30300470424022485,3.0000001
"mp-300765286, Sn(PO3)4, LiSn(PO3)4, mp-757495, mp-765286",0.5268998256918289,4377.376260203951,1.0196078431372548,0.0,1.6460784313725492,2.4422098655235893,0.2747602167938352,2.0,-0.19268055705456413,0.0
"mp-300765295, V6F13, LiV6F13, mp-767323, mp-765295",0.6967673462604945,6365.894230647307,1.6189473684210525,0.0,3.4819736842105264,3.406248941296599,0.28941557175350396,2.0,-0.1890592065362965,33.9999987
"mp-300765321, VF5, LiVF5, mp-764959, mp-767609",0.7922193023815453,7751.823977905332,1.794166666666667,0.0,1.8979166666666665,2.8484157388989937,0.2900116875235296,3.0,8.881784197001249e-15,0.0
"mp-300765322, MnCr3O8, Li2MnCr3O8, mp-764180, mp-775608",0.4011016716527008,4132.9463569111795,0.9458333333333332,0.0,2.1575,3.9088996577604127,0.3145828029301301,3.0,-0.10608614358531793,18.0000003
