,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300763439, LiVF6, Li2VF6, mp-765122, mp-767932",-0.0472541914453356,-0.049597900112540214,-50.209952099190424,-1.5748954646430682,0.04959790011254017,-0.0472541914453356,0.04959790011254017,-241.39102886180459,-0.4540073125632539,-0.1807976376266079,-17.255725805797116,-0.00031527014292197686,-6.616543365383936e-05,-6.616543365383936e-05,-0.00031527014292197686,-2.237693418480952e-05,-0.00010662333561523028,-2.237693418480952e-05,-0.00010662333561523028,-0.009917190508318912,-0.009917190508318912
"mp-300763492, Li5Co2(SiO5)2, Li3CoSiO5, mp-849671, mp-763492",-0.01695751134272134,0.1522916425804041,-3.3154558812412804,-1.7944043996230317,0.034500057807029805,-0.03391502268544268,0.017250028903514902,-1658.6960677852524,0.03639848466243627,0.10767541324253076,-0.6296542143247165,-0.0004753881534584169,-5.132886054241186e-05,-0.00010265772108482372,-0.00023769407672920845,-3.490224264348747e-05,-8.081278498348624e-05,-1.7451121321743734e-05,-0.00016162556996697248,-0.003661890724557348,-0.003661890724557348
"mp-300763525, K2Li3FeO4, K8Li13(FeO4)4, mp-24988, mp-763525",0.04222411621263418,0.11432012681560592,46.606672989335,0.984235212150524,0.1688964648505369,0.16889646485053672,0.04222411621263422,-3900.523429756509,-0.03290617717814779,0.09217812998599607,4.860866279478331,0.005560607278904419,-0.000721068732336221,-0.002884274929344884,0.0013901518197261048,-0.0010718526905597633,0.0005166074679983488,-0.00026796317263994083,0.0020664298719933953,-0.021901557455400903,-0.021901557455400903
"mp-300763783, Li3MnF7, Li4MnF7, mp-765198, mp-763783",0.03065131180985507,0.2723048121066501,5.107033869149932,-0.9113989088759428,0.03065131180985503,0.03065131180985507,0.03065131180985503,-238.8887739661075,0.002521714844277296,0.2061507041163456,0.6896678612058608,0.00024667322295496296,5.543748164247928e-05,5.543748164247928e-05,0.00024667322295496296,2.341802306899737e-05,0.0001042002460161702,2.341802306899737e-05,0.0001042002460161702,0.00688859340069915,0.00688859340069915
"mp-300763869, Li4Fe5Co3O16, Li10Fe5Co3O16, mp-773387, mp-763869",0.0714839150355883,0.6266859498430134,3.8195511714175363,-0.7774764625840197,0.011913985839264727,0.011913985839264715,0.07148391503558837,-134.92520477333022,-0.01417540928047412,0.5466900819522306,0.2634099323142349,5.78941000613427e-05,0.00012621946489003977,2.103657748167329e-05,0.00034736460036805623,4.949802387044719e-06,8.173316831478598e-05,2.9698814322268324e-05,1.3622194719130996e-05,0.02597461426546316,0.02597461426546316
"mp-300763876, Li3Mn2(SiO4)2, Li2MnSiO4, mp-780287, mp-763876",-0.01692130830110699,0.2370905744036639,-2.856388143873497,-1.5672745306457565,0.034425134923562695,-0.03384261660221398,0.017212567461781347,-1378.2439447691806,0.0396363552052708,0.18622994603057488,-0.8392805303935014,-0.0004063494231579162,-4.847932948668763e-05,-9.695865897337526e-05,-0.0002031747115789581,-3.2183364933527665e-05,-6.743952481650348e-05,-1.6091682466763832e-05,-0.00013487904963300695,-0.004037577679328409,-0.004037577679328409
"mp-300763910, Li2MnFe3O8, Li3MnFe3O8, mp-768068, mp-771462",0.017095051423916614,0.3445384816951532,2.6603933303961567,-0.8874474934093617,0.01709505142391654,0.017095051423916614,0.01709505142391654,-385.59323015525695,0.0019224352971006315,0.29771980181623553,0.5210122264051529,0.00023682432350811362,5.131731295851305e-05,5.131731295851305e-05,0.00023682432350811362,1.2510285770034247e-05,5.773373143634269e-05,1.2510285770034247e-05,5.773373143634269e-05,0.0037043158868474407,0.0037043158868474407
"mp-300763910, Li3MnFe3O8, Li4MnFe3O8, mp-771462, mp-763910",0.011711002890913187,0.2586815821347076,1.8456536358768068,-1.030418695795378,0.011711002890913091,0.011711002890913187,0.011711002890913091,-400.30280138857836,0.006902382697937227,0.20926035427702147,0.2582905489963717,0.00016526992264110293,6.0018639902283167e-05,6.0018639902283167e-05,0.00016526992264110293,1.4531220845291973e-05,4.0013798194897586e-05,1.4531220845291973e-05,4.0013798194897586e-05,0.004252912170417561,0.004252912170417561
"mp-300763924, Li2Fe3CuO8, Li3Fe3CuO8, mp-782676, mp-771398",-0.007983931988212295,0.3279678745498455,-1.1708276674481857,-1.297070889140802,0.008048188175231674,-0.007983931988212295,0.008048188175231674,-394.19404172232055,0.026808634987030608,0.2799655798748346,-0.23639476906947066,-0.00011316871714708789,-2.7528443769412982e-05,-2.7528443769412982e-05,-0.00011316871714708789,-6.501601412840118e-06,-2.6727914496581075e-05,-6.501601412840118e-06,-2.6727914496581075e-05,-0.0019421022729334298,-0.0019421022729334298
"mp-300763933, Li2CrFe3O8, Li3CrFe3O8, mp-769871, mp-763933",-0.003934721497901468,0.33069982354046884,-0.5633333695431229,-1.2309337844657249,0.003950264689296823,-0.003934721497901468,0.003950264689296823,-765.9302877998746,0.023231556201440986,0.2828926680790737,-0.11319697900703801,-5.4077304028425723e-05,-1.4593086280671592e-05,-1.4593086280671592e-05,-5.4077304028425723e-05,-3.4426589406776634e-06,-1.275739145377247e-05,-3.4426589406776634e-06,-1.275739145377247e-05,-0.001061808300929847,-0.001061808300929847
