,dVraw2,dVnormNumDens,dVnormLiPerFormulaUnit2,dVoriginal,dVraw,dVdensity,dVnormLiPerFormulaUnit,dVweight,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,dVperAtom,avgVolt2,volumetricCap2,energy_grav3,avgVolt3,gravCap3,energy_vol2,energy_vol3,gravCap2,energy_grav2,volumetricCap3,deltax2,deltay,deltax,max Anisotropy,anisotropyMean,deltaz2,deltay2,deltaz
"mp-300540438, Mn(PO3)3, LiMn(PO3)3, mp-540439, mp-540438",0.02507103897787889,4.584749921938855,0.02507103897787889,0.02507103897787899,0.02507103897787889,-0.2298822954351625,0.02507103897787899,-597.2838488435398,1.0,4.584749921938855,-0.6740764932875738,0.0057783733765666605,0.00010301673410745388,6.4419894832839e-05,0.0057783733765666605,0.00027950317313426957,2.3743298162975463e-05,2.3743298162975463e-05,0.00027950317313426957,6.4419894832839e-05,0.00010301673410745388,-0.07594255607867273,-0.0620182341742912,-0.04089214558082377,0.07076210659564186,-0.010716091053157704,0.13141534082047776,-0.11517672060939795,0.07076210659564186
"mp-300540443, CrPO4, LiCrPO4, mp-540444, mp-540443",0.07374011734141478,5.896054049658789,0.0737401173414147,0.07374011734141472,0.0737401173414147,-1.9742427762288777,0.07374011734141472,-923.3641867564212,1.0,5.896054049658789,-0.5575592959515117,0.0210356797084704,0.00013248099518152435,0.00012079813604301478,0.0210356797084704,0.00042345523652602727,3.77925596347375e-05,3.77925596347375e-05,0.00042345523652602727,0.00012079813604301478,0.00013248099518152435,-0.2166741902204425,-0.04265067151351554,-0.04213109254286381,-0.005410594948059178,-0.030064119668146174,-0.02782591687573292,-0.21934631064093707,-0.005410594948059178
"mp-300540453, Li3FeP2O9, Li4FeP2O9, mp-540454, mp-540453",-0.011775037256273829,-1.969742549646687,-0.011775037256273829,0.011915340838569266,-0.011775037256273829,6.1506497846360375,0.011915340838569266,-624.8659739040364,0.19046772732914452,-0.28698719445819865,-1.4707819485551352,-0.00254925094346777,-4.582245360284329e-05,-2.7540957115845977e-05,-0.00254925094346777,-0.00012721219028809442,-9.920387556890112e-06,-9.920387556890112e-06,-0.00012721219028809442,-2.7540957115845977e-05,-4.582245360284329e-05,0.0863670045439018,-0.0044892928757198644,0.014394500757316962,0.014394500757316962,0.0044269517757712,0.02025388467429901,-0.026935757254319192,0.0033756474457165013
"mp-300540455, Li3V4(PO4)6, Li3V2(PO4)3, mp-767790, mp-540455",-0.004392133260404488,-0.6278557243804146,-0.002928088840269659,0.004411509196675878,-0.004392133260404488,4.394114993676855,0.002941006131117252,-557.8586015464757,0.4570748598936888,-0.13993143425119445,-1.1471846120930778,-0.0012362100390893595,-9.446349884268113e-06,-1.2534233141024272e-05,-0.0012362100390893595,-4.453290341575804e-05,-2.6587700935575447e-06,-3.9881551403363175e-06,-2.9688602277172028e-05,-8.356155427349516e-06,-1.4169524826402163e-05,-0.07492714917213311,0.022766730810577826,-0.02203739681533327,0.022766730810577826,0.000682593615517825,0.004482719294450336,0.07740688475596459,0.0013184468513089225
"mp-300540456, Cr(PO3)3, LiCr(PO3)3, mp-31669, mp-540456",0.01885829492675735,3.5244144196680867,0.01885829492675735,0.01885829492675728,0.01885829492675735,0.9476594388504154,0.01885829492675728,-591.3901236638447,1.0,3.5244144196680867,-0.7548421659521529,0.00797794500617812,7.919159590756534e-05,8.806598162777129e-05,0.00797794500617812,0.0002081706822076113,3.350176670562185e-05,3.350176670562185e-05,0.0002081706822076113,8.806598162777129e-05,7.919159590756534e-05,-0.01857547619044636,0.005762885006436402,-0.01000217948716342,0.005762885006436402,-0.028044162588230098,-0.1483730732416461,0.010702500726239031,-0.07989319328396327
"mp-300540457, Li3CrP2O9, Li4CrP2O9, mp-540458, mp-540457",-0.013896807631036016,-2.316799529128301,-0.013896807631036016,0.014092650483821025,-0.013896807631036016,6.559048372918586,0.014092650483821025,-617.2292210580085,0.18872587961294304,-0.3387177180760396,-1.5105651430819242,-0.003094585771559683,-5.4227458835177536e-05,-3.2988102141197786e-05,-0.003094585771559683,-0.00014813915121769035,-1.207554475780481e-05,-1.207554475780481e-05,-0.00014813915121769035,-3.2988102141197786e-05,-5.4227458835177536e-05,0.06821502547318482,-0.005296743788616554,0.011369170912197468,0.011369170912197468,0.0042132849280827065,0.03940456596400322,-0.03178046273169933,0.006567427660667202
"mp-300540459, Cr4(PO4)3, LiCr4(PO4)3, mp-540460, mp-540459",0.009439787081456043,2.4540643333149017,0.009439787081456043,0.009439787081455986,0.009439787081456043,1.1955535968007396,0.009439787081455986,-999.4189182097513,1.0,2.4540643333149017,-0.8206440454523353,0.0035297685346221156,5.5141435675247485e-05,6.582910851766295e-05,0.0035297685346221156,0.00017604915508583876,2.0618738846634686e-05,2.0618738846634686e-05,0.00017604915508583876,6.582910851766295e-05,5.5141435675247485e-05,0.04277994200077866,0.042832075530409235,0.02251575894777824,0.042832075530409235,0.002677897361337944,-0.10889687054892994,0.08138094350777758,-0.05731414239417365
"mp-300540462, CrPO4, LiCrPO4, mp-540463, mp-540462",0.05984685657237376,5.245961990756721,0.05984685657237376,0.05984685657237376,0.05984685657237376,-1.0436523008041056,0.05984685657237376,-615.4914639618662,1.0,5.245961990756721,-0.6409188605657571,0.022275903088722026,0.00011787379480690508,0.00012792016274657962,0.022275903088722026,0.0003436726943063957,4.387440511003559e-05,4.387440511003559e-05,0.0003436726943063957,0.00012792016274657962,0.00011787379480690508,-0.18391135026927075,-0.18730766007137634,-0.05364081049520397,0.08980826990563062,-0.05038006688698323,0.3079140682478764,-0.6421976916732902,0.08980826990563062
"mp-300540465, Ni5(PO4)4, Li2Ni5(PO4)4, mp-32329, mp-540465",-0.009900285526028042,-1.466588650985004,-0.004950142763014021,0.00999928126561267,-0.009900285526028042,4.565799555746947,0.004999640632806335,-343.18611640399627,1.0,-0.733294325492502,-1.1237535690753508,-0.0022987428728262877,-1.647670818211604e-05,-2.9471789445776125e-05,-0.0022987428728262877,-0.00012692986846215776,-3.825719510988024e-06,-7.651439021976049e-06,-6.346493423107888e-05,-1.4735894722888056e-05,-3.295341636423208e-05,0.014613493081068513,0.11843742225974685,0.015782572527553995,0.11843742225974685,0.03487144772565035,-0.027412640379953498,0.10966427987013597,-0.02960565161034978
"mp-300540475, MnPO4, LiMnPO4, mp-689981, mp-540475",-0.025663854534077147,-2.0275904516540058,-0.025663854534077147,0.026339836260313332,-0.025663854534077147,5.8354154841835175,0.026339836260313332,-627.2757027820758,1.0,-2.0275904516540058,-1.1539831272044632,-0.006355300459512304,-4.555880909389297e-05,-3.7193146657660437e-05,-0.006355300459512304,-0.0001501926638351326,-1.128201221623948e-05,-1.128201221623948e-05,-0.0001501926638351326,-3.7193146657660437e-05,-4.555880909389297e-05,0.33280399758844986,-0.01826105827207436,0.09706783262996456,0.09706783262996456,0.026008948462886188,-0.002674042180222713,-0.06260934264711207,-0.0007799289692316247
