,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300026173, Bi3(PO5)2, LiBi3(PO5)2, mp-584116, mp-26173",1.498052341,1.6132888890000001,0.064489338,0.933333333,23.93333333,16.43348964,18.86406053,0.0,0.0,4135.218895,0.026552471
"mp-300026209, BiP2O7, LiBiP2O7, mp-26210, mp-26209",1.023280283,1.6575333330000002,0.062383827999999995,0.46666666700000003,16.9,6.103688247000001,12.76412413,0.0,0.0,4341.243062,0.01926417
"mp-300026299, SnPO4, LiSnPO4, mp-672986, mp-26299",0.91865456,1.476111111,0.058545817,0.0,16.16666667,6.03018847,11.87118678,0.0,0.0,4134.664976,0.005245112
"mp-300026303, Cu9(PO4)8, Li6Cu9(PO4)8, mp-26304, mp-26303",1.0060527609999999,1.88952381,0.079733628,0.0,13.0,2.8736566960000003,9.059080925,0.0,0.0,4049.5407600000003,0.00355636
"mp-300026341, SbP2O7, LiSbP2O7, mp-26342, mp-26341",0.90228743,1.9469999999999998,0.067856032,0.0,13.7,2.619945253,9.856777467,1.0,0.0,4341.066661,0.005867318000000001
"mp-300026389, Nb2(PO4)3, LiNb2(PO4)3, mp-26390, mp-26389",0.880205094,2.318823529,0.069134059,0.0,13.11764706,2.6656704980000003,9.229938157000001,0.0,0.0,4377.000247999999,0.002339625
"mp-300026407, SnP2O7, Li2SnP2O7, mp-757076, mp-26407",0.939928724,1.5256666669999999,0.07120658099999999,0.0,13.6,2.532431658,9.7551108,0.0,0.0,4340.959172999999,0.003827633
"mp-300026409, Ti(PO3)4, LiTi(PO3)4, mp-540258, mp-26409",0.780086752,1.783333333,0.076760173,0.0,10.47058824,3.462870234,7.132447999999999,0.0,4.42e-07,4377.193310000001,0.007566779
"mp-300026513, CuPO4, LiCuPO4, mp-673047, mp-26513",0.831681412,1.834444444,0.067648594,0.0,12.66666667,2.577040428,8.806520111000001,0.0,0.0,4133.824041,0.004106923
"mp-300026531, Cu2P3O10, LiCu2P3O10, mp-26532, mp-26531",0.99866011,1.8893333330000002,0.08433774699999999,0.0,12.2,1.8255969109999999,8.444606356,0.0,0.0,4134.006087,0.006144139
"mp-300026541, Sb(PO3)4, LiSb(PO3)4, mp-26542, mp-26541",0.79917954,1.893921569,0.067621851,0.0,12.17647059,1.918616024,8.581330353,1.0,0.0,4377.439488,0.001719726
"mp-300026549, Nb(PO3)4, LiNb(PO3)4, mp-26550, mp-26549",0.718751458,2.094117647,0.063903634,0.0,11.58823529,2.434510941,8.015573097999999,0.0,0.0,4377.200483,0.002162618
"mp-300026629, TiP2O7, LiTiP2O7, mp-26630, mp-26629",0.774543194,1.7590000000000001,0.073890058,0.0,10.8,2.751887045,7.393677467000001,0.0,7.51e-07,4340.648158,0.012382549
"mp-300026649, SnP2O7, Li2SnP2O7, mp-757192, mp-26649",0.9438917859999999,1.5256666669999999,0.071506813,0.0,13.6,2.532431658,9.7551108,0.0,0.0,4340.959172999999,0.007687543000000001
"mp-300026675, Sb(PO3)4, LiSb(PO3)4, mp-673069, mp-26675",0.8273835970000001,1.893921569,0.070008312,0.0,12.17647059,1.918616024,8.581330353,1.0,0.0,4377.439488,0.001780417
"mp-300026695, CuPO4, LiCuPO4, mp-753519, mp-25449",0.910049975,1.834444444,0.074023058,0.0,12.66666667,2.577040428,8.806520111000001,0.0,0.0,4133.824041,0.006740871999999999
