,ShannonRadii,AtomicVolum wmean,density,HeatFusion wmean,metalloid,VegardVolume,BulkModulus wstd,NfValenc wstd,energysStab,SpaceGroupNumber wstd,strainlatticemean,oxidation flexibility Std,Density wstd,avgIonicRadVol
"mp-300762458, Cr3P6WO24, Li6Cr3P6WO24, mp-775219, mp-762458",0.5663591626836819,3282.604075540376,3.2292103597859287,1.7046323529411764,0.0,1.1922311408641666,5.651193339390322,0.17829934783797266,0.020667352628676028,7.171798141422753,-0.3509491059837089,0.053605305829860436,247.0799343999209,0.5347984573263684
"mp-300762462, Ti3Cr(PO4)6, Li6Ti3Cr(PO4)6, mp-774416, mp-762462",0.5523003306484842,3282.698666291145,2.7390590768447765,1.3233088235294121,0.0,1.1905436404417284,3.649074395601805,0.0,0.049287556066179405,5.985723174388808,-0.34822183203426843,0.04697638056188742,149.44512948141292,0.5333901987275863
"mp-300762542, Ti3Cr3(SbO8)2, Li4Ti3Cr3(SbO8)2, mp-770891, mp-762542",0.4465406711765522,3100.257554943917,4.603021566181151,1.5473958333333333,1.0,0.9670602865483192,7.9753036776037565,0.0,0.09952408135416846,8.177415067580952,-0.11301298009170442,0.0664048315934211,320.32755527076193,0.4551837707703959
"mp-300762664, V3P6WO24, Li6V3P6WO24, mp-775437, mp-762664",0.561543001218032,3282.642721733327,3.22458230831504,1.7156617647058825,0.0,1.1862786000473848,5.651193339390322,0.17829934783797266,0.0,7.171798141422753,-0.3478938444524561,0.0478523068717624,226.3278095081813,0.5435505885337958
"mp-300762666, Fe5P3O13, LiFe5P3O13, mp-763767, mp-762666",0.572135766217392,3838.7633707088867,3.642309165925951,2.024285714285714,0.0,0.8239204137208612,18.721265039420835,0.0,0.05443280873015688,24.061848165987023,-0.002463516541612402,0.046249610100614826,828.9787060825423,0.5311834134718431
"mp-300762903, MnF3, LiMnF3, mp-556560, mp-762903",0.5894542048469805,6977.129800806425,3.2606853549372325,1.709375,0.0,0.9765659803886264,15.0,0.0,0.0,21.5,-0.16157304315150492,0.18042195912175807,933.114,0.8731023518440572
"mp-300763102, Mn3Co3(SbO8)2, Li4Mn3Co3(SbO8)2, mp-863857, mp-763102",0.4401510580107145,3100.0537833975427,5.0756442503041805,1.358645833333333,1.0,0.9662409754807719,8.989577298182603,0.0,0.08017082989583191,7.735053631843803,-0.10921579101284233,0.08893228107545624,425.47750867972513,0.4438297467249539
"mp-300763122, Mn2Co(PO4)3, Li2Mn2Co(PO4)3, mp-761760, mp-763122",0.5306647673011538,3100.367078235236,3.394117535386365,1.3927777777777777,0.0,1.1595442012191663,5.540726737331283,0.0,0.06077343194444396,8.581625144659768,-0.2967995468172913,0.06087371272628402,300.8707988423091,0.5035533692773836
"mp-300763186, Mn3SbO8, Li2Mn3SbO8, mp-775510, mp-763186",0.4513452256953308,4133.455746354327,4.893060519449269,1.6744444444444444,1.0,0.9684542791294548,13.393613735242965,0.0,0.05442185607638805,20.56587578766293,-0.11245333294020377,0.11002069109551986,782.3728533022452,0.446167057920461
"mp-300763334, Mn5Cr(PO4)6, Li4Mn5Cr(PO4)6, mp-772327, mp-763334",0.5327496002182056,3100.3831471281073,3.3248029369244096,1.4032638888888886,0.0,1.1483758057467588,6.505384166069533,0.0,0.03822459548611157,11.296244117972995,-0.3000113716139801,0.06523599193780323,392.00796566180327,0.5021568962095402
"mp-300763437, WF6, LiWF6, mp-555003, mp-763437",0.6341613272284503,7973.250724171115,4.066060298107659,3.8457142857142856,0.0,0.8262332078225741,22.142857142857146,1.0,0.0,9.928571428571429,-1.7763568394002498e-14,0.0999791731748236,1374.2731428571428,0.9120769295236296
