,dVraw2,dVnormNumDens,dVnormLiPerFormulaUnit2,dVoriginal,dVraw,dVdensity,dVnormLiPerFormulaUnit,dVweight,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,dVperAtom,avgVolt2,volumetricCap2,energy_grav3,avgVolt3,gravCap3,energy_vol2,energy_vol3,gravCap2,energy_grav2,volumetricCap3,deltax2,deltay,deltax,max Anisotropy,anisotropyMean,deltaz2,deltay2,deltaz
"mp-300765519, Li(CoO2)2, LiCoO2, mp-774082, mp-853240",-0.7356814237019061,-54.07761447250408,0.11454861038475085,0.05727430519237544,0.05727430519237544,-55.48664256198797,0.11454861038475085,-449.69307799241903,-1.1618933463992491,-34.64839197692397,-0.6989265075956014,0.020346585921449653,0.00017835900066210295,0.00014860232551025402,0.020346585921449653,0.00041830580208537566,6.33616893237926e-05,3.16808446618963e-05,0.0008366116041707513,0.0002972046510205081,8.917950033105149e-05,3.3138600701557404,0.5702402164474492,0.5523100116926234,0.5702402164474492,0.5591711770963742,3.329779818894301,3.421441298684695,0.5549633031490502
"mp-300765522, Ti3Co3(TeO8)2, Li4Ti3Co3(TeO8)2, mp-761356, mp-765522",0.07938086358077474,6.253184331639353,0.019845215895193686,0.07938086358077467,0.07938086358077474,-3.3567138238838887,0.01984521589519367,-214.47207842493663,1.0,1.5632960829098383,-0.5237148185153521,0.02206886948830875,3.512637758794966e-05,0.0001769024634581201,0.02206886948830875,0.0006363112676121128,9.765570788943395e-06,3.906228315577358e-05,0.0001590778169030282,4.4225615864530025e-05,0.00014050551035179863,0.006663486793760244,0.0028666503912921915,0.007774067926053619,0.007774067926053619,-0.06448803906344354,-0.17494700186372264,0.0024571289068218787,-0.20410483550767644
"mp-300765528, VOF3, LiVOF3, mp-781081, mp-765230",0.03777223570234108,2.8511481353214987,0.03777223570234108,0.03777223570234112,0.03777223570234108,1.326140456430217,0.03777223570234112,-261.4658469935351,1.0,2.8511481353214987,-0.8111388214882949,0.008592663325669991,6.406368381226071e-05,4.195972913545354e-05,0.008592663325669991,0.00018444953780231578,1.4573605617070017e-05,1.4573605617070017e-05,0.00018444953780231578,4.195972913545354e-05,6.406368381226071e-05,-0.2693116390243907,0.061692905000000124,-0.1615869834146344,0.07870735680963348,-0.007062240535000264,0.1311789280160558,0.10282150833333356,0.07870735680963348
"mp-300765528, LiVOF3, Li2VOF3, mp-765230, mp-765528",-0.0029887048340828115,-0.22425087870695626,-0.0029887048340828115,0.002997663966871622,-0.0029887048340828115,4.2161773966428795,0.002997663966871622,-290.8001023273323,0.4149180293526583,-0.07489908238087165,-1.2215186748053957,-0.0010668752306438602,-5.053849693600418e-06,-5.486066984912799e-06,-0.0010668752306438602,-1.5368465259068626e-05,-1.8040681020124958e-06,-1.8040681020124958e-06,-1.5368465259068626e-05,-5.486066984912799e-06,-5.053849693600418e-06,0.16879916867116382,-0.1096130640774462,0.059079709034907335,0.059079709034907335,-0.005522592032907614,0.09704451126804578,-0.3131801830784177,0.03396557894381602
"mp-300765529, MnCoO4, Li2Mn3(CoO4)3, mp-765892, mp-774071",2.139914233082173,228.4945217331989,0.06995711654108643,0.04663807769405759,0.04663807769405762,207.24310677689,0.06995711654108637,-821.1027591057755,1.0,342.7417825997984,-0.5802573007534797,0.011461211045763316,0.0001678430841356675,0.00011706220930128259,0.011461211045763316,0.0004763507443176695,4.124709046693406e-05,2.749806031128937e-05,0.0007145261164765043,0.00017559331395192388,0.00011189538942377832,-0.7803219147684679,-1.549415224311789,-0.8670243497427421,-0.35995148114970466,-0.9254636850680784,-0.3239563330347342,-1.39447370188061,-0.35995148114970466
"mp-300765538, Co2NiO6, LiCo2NiO6, mp-765906, mp-774305",0.050311424089073305,5.061361141917527,0.050311424089073305,0.050311424089073416,0.050311424089073305,-2.379707884825814,0.050311424089073416,-279.13725567069736,1.0,5.061361141917527,-0.5471971831983413,0.012536019189347151,0.00011372591828481211,0.00013073090851723986,0.012536019189347151,0.0005246688028006464,2.8336909951514564e-05,2.8336909951514564e-05,0.0005246688028006464,0.00013073090851723986,0.00011372591828481211,-0.10157756329181797,-0.04237668283308427,-0.11286395921313107,-0.04237668283308427,-0.10067520429302383,-0.13210647374957052,-0.038139014549775835,-0.14678497083285613
"mp-300765547, Li2V(OF)2, Li3V(OF)2, mp-764218, mp-765547",0.006882135941093485,0.5086715502784489,0.006882135941093485,0.006882135941093548,0.006882135941093485,3.2740600050225783,0.006882135941093548,-315.8075243461658,0.2433029301958573,0.10088947944237543,-1.3325550677772835,0.003010107178252841,1.1272242047442873e-05,1.5921250485103636e-05,0.003010107178252841,3.6401431478025603e-05,4.9302508686889056e-06,4.9302508686889056e-06,3.6401431478025603e-05,1.5921250485103636e-05,1.1272242047442873e-05,0.05079870687928978,-0.009823088333333304,0.013546321834477274,0.013546321834477274,0.0012620256325352526,0.00023566273673170107,-0.036836581249999896,6.284339646178694e-05
"mp-300765570, LiMn(PO4)2, Li2Mn(PO4)2, mp-767215, mp-765570",-0.02264765130871456,-3.2920749916964103,-0.02264765130871456,0.0231724529429338,-0.02264765130871456,7.467796936813415,0.0231724529429338,-531.9072548257643,0.4457815879892443,-1.1138025818963186,-1.3873874353140825,-0.004440915427064659,-7.564633133605823e-05,-4.287611997726706e-05,-0.004440915427064659,-0.0002186583893937363,-1.4833280292596176e-05,-1.4833280292596176e-05,-0.0002186583893937363,-4.287611997726706e-05,-7.564633133605823e-05,0.0131335169067957,0.00388031937243305,0.003880357267916912,0.003880357267916912,-0.01977182334704038,-0.2270269579988253,0.013133388645158015,-0.0670761466814711
"mp-300765603, Li2FeCo3O8, Li3FeCo3O8, mp-763922, mp-763079",0.010940459914811494,1.6169589326110845,0.010940459914811494,0.01094045991481152,0.010940459914811494,1.1100001979559335,0.01094045991481152,-395.76735017468695,0.2934443297027555,0.31910863293342845,-0.9879724880580796,0.0033690789743833502,3.553717053538217e-05,4.795175996893923e-05,0.0033690789743833502,0.0001557144583946309,1.0943555846106723e-05,1.0943555846106723e-05,0.0001557144583946309,4.795175996893923e-05,3.553717053538217e-05,-0.043316553858795,-0.034720092369796035,-0.01804856410783125,-0.002258445415381339,-0.018342367297669544,-0.005420268996915212,-0.0833282216875105,-0.002258445415381339
"mp-300765603, Li3FeCo3O8, Li4FeCo3O8, mp-763079, mp-765603",-0.035161448127579445,-4.4363310438850165,-0.035161448127579445,0.0364428308335556,-0.035161448127579445,6.977430663001343,0.0364428308335556,-410.47074305518174,0.17084573533315542,-0.6703103940248673,-1.9092771523921144,-0.018180040554080592,-0.00011019672014644936,-0.00026346291113595673,-0.018180040554080592,-0.0005095553805774503,-5.697663059610262e-05,-5.697663059610262e-05,-0.0005095553805774503,-0.00026346291113595673,-0.00011019672014644936,0.07721760748591346,0.021751870659976857,0.02573920249530448,0.02573920249530448,0.021637256056298515,0.052262085040842635,0.06525561197993059,0.01742069501361421
