,dVweight,dVnormNumDensnorPerFormulaUnit,dvnormweight2,dVnormNumDens,dVnormLiPerFormulaUnit,dVraw2,dVoriginal,VnormLiFrac,VoverLi,dVperAtom,dVdensity,dVraw3,dvnormweight,dVnormLiPerFormulaUnit2,dVraw,avgVolt2,energy_grav3,energy_vol4,energy_grav2,volumetricCap3,energy_grav4,volumetricCap4,volumetricCap2,gravCap4,gravCap2,avgVolt3,avgVolt4,energy_vol3,energy_vol2,gravCap3,deltax2,anisotropyMean,deltaz,deltaz2,deltay,deltay2,max Anisotropy,deltax
"mp-300764394, Mn5OF11, Li3Mn5OF11, mp-767182, mp-764394",-0.034870626319656615,1.1373795438930523,-9.65208396726154e-06,3.412138631679157,0.013821323871733146,0.04146397161519934,0.041463971615199435,1.0,3.276290610790208,-0.7650374941805372,0.01654274042980611,-0.00020098534445028705,-9.652083967261577e-06,0.013821323871733113,0.04146397161519934,0.010916733752097266,7.066905127743973e-05,-9.784397891785984e-08,2.355635042581325e-05,7.666882254044806e-05,-3.425490385914866e-07,-3.716313007806839e-07,2.555627418014936e-05,-1.3010708088619027e-06,8.94718024267985e-05,0.010916733752097266,-5.2915902842096695e-05,2.0185551218495867e-05,6.728517072831958e-06,0.0002684154072803955,-0.02841999312871195,-0.06479828566242654,-0.14225496022550685,-0.12091671619168085,-0.01870461072799401,-0.01589891911879491,-0.01870461072799401,-0.033435286033778766
"mp-300764395, Mn3Cr2Sb3O16, Li4Mn3Cr2Sb3O16, mp-775041, mp-764395",20.926393800881623,2.5411267269396483,0.003284770419119026,10.16450690775859,0.031308978995930825,0.12523591598372324,0.1252359159837233,1.0,9.033222956514322,-0.2485845040976604,-6.783295999254958,0.09119836591642064,0.0032847704191190114,0.03130897899593081,0.12523591598372324,0.03726385891181192,0.0003190335445448473,4.948750191266078e-05,7.975838613621182e-05,0.00022839071340386832,0.0002323242314832045,0.00016631698414395308,5.709767835096708e-05,0.0007807924027372002,0.00026805099731594845,0.03726385891181192,0.027136009776452485,6.795749649130964e-05,1.698937412282741e-05,0.0010722039892637938,-0.03451309352821244,-0.07944596547103902,-0.17441425244551212,-0.1494979306675818,-0.02365836818469047,-0.020278601301163258,-0.02365836818469047,-0.0402652757829145
"mp-300764431, Mn2F5, LiMn2F5, mp-765924, mp-764431",7.302552702940496,6.171093907211902,0.002483579307441387,6.171093907211902,0.06952547656656938,0.06952547656656942,0.06952547656656938,1.0,5.769936333842722,-0.5133216640340135,-2.958199056742308,0.03447704794590133,0.002483579307441396,0.06952547656656942,0.06952547656656942,0.016109931949905513,0.000127314983532826,1.5932726855584187e-05,0.000127314983532826,0.0001386609850079966,6.313433590476812e-05,6.876071426521245e-05,0.0001386609850079966,0.0002724682391671198,0.000549452035657828,0.016109931949905513,0.00798876791172071,3.2129503354742934e-05,3.2129503354742934e-05,0.000549452035657828,-0.2990141787500006,-0.05852530003998273,-0.054142854502174036,-0.09474999537880456,0.049432199382226205,0.08650634891889586,0.049432199382226205,-0.17086524500000033
"mp-300764438, CrNi5(PO4)6, Li4CrNi5(PO4)6, mp-772386, mp-764438",-3.996927435034389,0.3580781427399579,-0.0006106144421794875,1.4323125709598317,0.003216541722868782,0.012866166891475107,0.012866166891475128,1.0,1.4141182890486448,-0.8842044979767236,1.9198331770563501,-0.01695309937267129,-0.0006106144421794848,0.003216541722868777,0.012866166891475107,0.002994932565569099,2.634543593870517e-05,-9.87114938279882e-06,6.5863589846762944e-06,3.218325225881327e-05,-3.4714052542031605e-05,-4.240624875159344e-05,8.045813064703318e-06,-0.00014913083473729044,2.829485874848377e-05,0.002994932565569099,-0.003946271630611589,7.491482977708708e-06,1.872870744427177e-06,0.00011317943499393509,0.03438014975334473,-0.018769626815616114,-0.04661229809985778,-0.041951068289871996,-0.04789674873959582,-0.04310707386563623,0.03820016639260526,0.03820016639260526
"mp-300764639, MnFe(PO4)2, Li2MnFe(PO4)2, mp-764402, mp-764639",1.1177774947185315,2.062244092841849,0.0002559374733648542,4.124488185683699,0.02679776170002424,0.053595523400048535,0.053595523400048466,1.0,3.914678920021984,-0.6784268595997083,-0.5429781376539248,0.007105848010501813,0.0002559374733648541,0.026797761700024268,0.053595523400048535,0.014858208121244963,8.720614120031041e-05,3.4063361845980818e-06,4.3603070600155214e-05,9.26749135695997e-05,1.1562039992153612e-05,1.2287105497534353e-05,4.6337456784799845e-05,4.170580866112163e-05,0.0001572820471751998,0.014858208121244963,0.001969943792318199,2.5692129978046898e-05,1.2846064989023449e-05,0.0003145640943503996,-0.2650187230973547,-0.050255637416824886,0.03549825789153749,0.060854156385492825,-0.03167091500188857,-0.05429299714609468,0.03549825789153749,-0.1545942551401236
"mp-300764648, TiO2, LiTiO2, mvc-13391, mp-764648",-34.809292129578004,-12.79037712142316,-0.028886132879663882,-12.79037712142316,0.5359543807181281,-0.34893899678683504,0.5359543807181281,1.0,-19.645435770686824,-2.046816990360505,24.538414825532204,-0.4009972966354941,-0.028886132879663875,-0.34893899678683504,-0.34893899678683504,-0.03698502796333397,-0.00011979008785765503,-3.5006110183864016e-05,-0.00011979008785765503,-0.000287392529905862,-0.00013766160227712416,-0.0003302686963242683,-0.000287392529905862,-0.001298782346258307,-0.0011301717312069055,-0.03698502796333397,-0.04250283392184219,-3.046154443297988e-05,-3.046154443297988e-05,-0.0011301717312069055,-1.152522435153885,-0.04074907569497421,0.3617662788018903,0.5426494182028354,0.2843347842157771,0.4265021763236656,0.3617662788018903,-0.76834829010259
"mp-300764670, MnFe(PO4)2, Li2MnFe(PO4)2, mp-764401, mp-764670",1.6826831846110664,2.2037515364943867,0.0003852839091659543,4.407503072988773,0.02867623620445736,0.05735247240891464,0.05735247240891472,1.0,4.168433127079538,-0.6558851655465124,-0.8133592316597608,0.010697022454083556,0.0003852839091659542,0.02867623620445732,0.05735247240891464,0.015864886796762505,9.3114563131418e-05,5.109522844317883e-06,4.6557281565709e-05,9.903409779782656e-05,1.736714270166559e-05,1.847121707866588e-05,4.951704889891329e-05,6.278321335530861e-05,0.00016830723349228616,0.015864886796762505,0.002959018908312725,2.73948913549856e-05,1.3697445677492798e-05,0.0003366144669845723,-0.2630070862753899,-0.05182411016636968,0.03508115993078253,0.06013913130991291,-0.0371326901025808,-0.0636560401758528,0.03508115993078253,-0.15342080032731076
"mp-300764671, Mn7O7F, LiMn7O7F, mp-767193, mp-764671",26.70003775513432,14.731835211584382,0.007362109530017841,14.731835211584382,0.06525138478909698,0.0652513847890969,0.06525138478909698,1.0,13.829444788284464,-0.021229228163546984,-10.976079295395246,0.051100402247853824,0.007362109530017806,0.0652513847890969,0.0652513847890969,0.0291111708908211,0.0005675294667834544,0.0001156520951235886,0.0005675294667834544,0.0003310159936193037,0.00044445009303450684,0.0002592289876926233,0.0003310159936193037,0.0009962149632836883,0.0012720918631244262,0.0291111708908211,0.02279786930553448,0.00014767905982367217,0.00014767905982367217,0.0012720918631244262,0.05070390690764648,-0.6074393694894149,-1.9305891215929485,-1.8099273014933888,0.05418684575654753,0.05080016789676331,0.05418684575654753,0.05408416736815624
"mp-300764682, VOF3, LiVOF3, mp-764252, mp-764682",-5.432727011029137,1.1014285676584008,-0.0014951065767561434,1.1014285676584008,0.012169762257656648,0.0121697622576567,0.012169762257656648,1.0,1.0881856075226466,-0.9391511887117168,3.9195923988767563,-0.04151013899705757,-0.001495106576756143,0.0121697622576567,0.0121697622576567,0.0029866696898285397,1.4584517797629763e-05,-2.071694228436371e-05,1.4584517797629763e-05,2.4748476105504906e-05,-4.9746687582477304e-05,-8.441518095051732e-05,2.4748476105504906e-05,-0.0002027024826503084,5.942743345344847e-05,0.0029866696898285397,-0.010187304512467396,6.073703157779671e-06,6.073703157779671e-06,5.942743345344847e-05,0.027270021740849103,0.0011525773191712516,-0.018574684564740984,-0.061915615215803285,0.013851410000000008,0.0461713666666667,0.013851410000000008,0.00818100652225473
"mp-300764694, VF5, LiVF5, mp-766154, mp-764694",0.07905081323564381,5.088459467034298,3.7249393591163095e-05,5.088459467034298,0.04810444513127243,0.04810444513127242,0.04810444513127243,1.0,4.854916407111488,-0.7113733292123654,-0.054669845045821036,0.000517096081832526,3.724939359116308e-05,0.04810444513127242,0.04810444513127242,0.010627596923199622,6.0619361073679355e-05,2.7152782913585446e-07,6.0619361073679355e-05,0.00011433480230266299,6.516244810401703e-07,1.2290356561948698e-06,0.00011433480230266299,2.949494069159096e-06,0.00027438571012191427,0.010627596923199622,0.00011424076742357742,2.5259707078015672e-05,2.5259707078015672e-05,0.00027438571012191427,-0.16693486285714265,-0.05621429999999986,0.026114440000000183,0.04476761142857174,-0.09737866999999988,-0.16693486285714265,0.026114440000000183,-0.09737866999999988
