,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc
"mp-300026267, LiCu(PO3)4, Li2Cu(PO3)4, mp-672984, mp-26267",3.0,4.0,-1.9425695684005488,0.12445677612466248,0.4854479004125399,30622.33333333333
"mp-300026303, Cu9(PO4)8, Li6Cu9(PO4)8, mp-26304, mp-26303",2.0,2.0,-1.4547085776970994,-0.14119995839322175,0.4469051779839363,29791.0
"mp-300026377, LiBi2P5O18, Li3Bi2P5O18, mp-672993, mp-26245",2.0,2.0,0.0,-1.5370477806530982,0.9479523292414436,433.26923076923083
"mp-300026377, Li3Bi2P5O18, Li5Bi2P5O18, mp-26245, mp-26377",2.0,2.0,0.0,-1.3877920179768632,0.9140374398681738,413.1785714285714
"mp-300026513, CuPO4, LiCuPO4, mp-673047, mp-26513",2.0,1.0,-1.9405582330308,-0.15511361187470518,0.4563657054465718,30360.83333333333
"mp-300026541, Sb(PO3)4, LiSb(PO3)4, mp-26542, mp-26541",3.0,4.0,0.0,-1.8807579593908923,1.0250751152081137,494.64705882352933
"mp-300026549, Nb(PO3)4, LiNb(PO3)4, mp-26550, mp-26549",3.0,8.0,-2.2712954818026656,0.2686670304259838,0.5091773985171317,32323.588235294123
"mp-300026585, LiSb2P5O18, Li3Sb2P5O18, mp-673090, mp-26586",2.0,2.0,-2.0080636352876198,0.2571269201053068,0.556917930657891,31680.884615384613
"mp-300026585, Li3Sb2P5O18, Li5Sb2P5O18, mp-26586, mp-26585",2.0,1.0,-1.6294236612002704,0.22304243470487747,0.5538867656517851,29429.035714285717
"mp-300026649, SnP2O7, Li2SnP2O7, mp-757192, mp-26649",2.0,2.0,-2.8730190202788117,0.20743193354955355,0.5180930537284384,31986.8
"mp-300026695, CuPO4, LiCuPO4, mp-753519, mp-25449",3.0,8.0,-2.496903299009216,-0.1551136118747051,0.4563657054465719,30360.83333333333
"mp-300026695, LiCuPO4, Li2CuPO4, mp-25449, mp-26695",3.0,8.0,-1.4006662959514775,-0.03239858085462187,0.4321063255966289,26391.42857142857
"mp-300026835, Bi5(PO4)6, Li3Bi5(PO4)6, mp-673116, mp-26835",2.0,1.0,0.0,-1.430251963318186,0.9693952396519396,413.4
"mp-300026851, LiCuPO4, Li2CuPO4, mp-673128, mp-26851",2.0,1.0,-1.8894924846501653,-0.03239858085462193,0.4321063255966289,26391.42857142857
"mp-300026855, LiSn(PO3)4, Li2Sn(PO3)4, mp-26856, mp-26855",1.0,2.0,-1.866400689015804,0.20635898725791876,0.5174765607738439,30621.55555555556
"mp-300026897, Sn(PO3)3, LiSn(PO3)3, mp-673129, mp-26897",2.0,1.0,-2.3226851096455383,0.2121654943316648,0.5317961517034142,31697.384615384613
"mp-300027017, SnPO4, LiSnPO4, mp-27018, mp-27017",3.0,4.0,-1.2303261825379836,0.020914066658814942,0.5468258763371905,30153.58333333333
"mp-300027683, SnS2, LiSnS2, mp-1170, mp-27683",5.0,12.0,-1.7550641581529176,0.1529380376438841,0.5330541238498907,3936.333333333334
"mp-300031537, CoPO4, LiCoPO4, mp-31532, mp-31537",2.0,1.0,-1.7735894504058929,0.15035145716864082,0.6214567148161095,30370.83333333333
"mp-300031539, Li2Co(PO4)2, Li3Co(PO4)2, mp-585191, mp-31579",2.0,1.0,-1.7666282714859456,0.056254017679328215,0.4892592130074353,28294.46153846154
"mp-300031540, CoPO4, LiCoPO4, mp-31521, mp-31540",3.0,8.0,-3.1841630678919066,0.15035145716864093,0.6214567148161095,30370.83333333333
"mp-300031541, CoPO4, LiCoPO4, mp-704240, mp-31541",5.0,3.0,-1.958823836606338,0.15035145716864115,0.6214567148161093,30370.83333333333
"mp-300031549, LiCoP2O7, Li2CoP2O7, mp-780586, mp-31549",2.0,1.0,-1.6228395541300795,0.168947189758431,0.5572698555164962,29213.363636363636
"mp-300031555, CoP2O7, LiCoP2O7, mp-540262, mp-31555",2.0,2.0,-3.2767713753576806,0.10332748383307352,0.5156553378488539,31949.9
"mp-300031568, Co3(P3O10)2, LiCo3(P3O10)2, mp-31597, mp-31568",3.0,4.0,-2.0741384461197847,0.17420984901778233,0.5590577175601151,31512.55172413793
"mp-300031583, Co(PO3)3, LiCo(PO3)3, mp-540491, mp-31583",3.0,4.0,-1.9778989444372783,0.23974631078254655,0.5636446262967801,31703.07692307692
"mp-300031636, CrPO5, LiCrPO5, mp-540466, mp-31636",3.0,8.0,-3.1791195002427637,0.05655365262305545,0.5659866396113846,32423.0
"mp-300031641, Cr(PO3)3, LiCr(PO3)3, mp-31690, mp-31641",2.0,2.0,-1.560601963213038,0.2320735281117288,0.503225985921341,31720.769230769234
"mp-300031642, CrP2O7, LiCrP2O7, mp-540267, mp-31642",2.0,2.0,-2.7991591773849174,0.13583141656966818,0.5103422709993705,31951.8
"mp-300031644, Cr3(PO4)4, Li3Cr3(PO4)4, mp-705409, mp-31644",2.0,1.0,-1.6356424156190403,0.08088474782299103,0.5092012294356361,31679.956521739125
"mp-300031647, CrPO4, LiCrPO4, mp-31645, mp-31647",3.0,4.0,-1.8305177410045659,0.1337270947152025,0.4905496606693249,30409.16666666667
"mp-300031664, CrPO4, LiCrPO4, mp-18906, mp-31664",3.0,8.0,-3.0239789304223565,0.1337270947152025,0.4905496606693249,30409.16666666667
"mp-300031681, LiCr2(PO4)3, Li3Cr2(PO4)3, mp-697813, mp-31681",2.0,1.0,-1.6325296768755582,0.0810191876979447,0.5005240938228183,30457.94444444444
"mp-300031706, Cr2(PO4)3, LiCr2(PO4)3, mp-540211, mp-31652",1.0,4.0,0.0,-1.3325452819851988,0.9031974234087888,436.1764705882353
"mp-300031706, LiCr2(PO4)3, Li3Cr2(PO4)3, mp-31652, mp-31706",1.0,4.0,-1.7609175897636953,0.08101918769794454,0.5005240938228182,30457.94444444444
"mp-300031709, Cr9(PO4)8, Li6Cr9(PO4)8, mp-31678, mp-31709",2.0,1.0,-1.6158830621192848,0.12156974681464795,0.4827655898871974,29781.632653061224
"mp-300031712, Cr(PO3)3, LiCr(PO3)3, mp-764853, mp-31712",3.0,4.0,-2.0511739351602225,0.2320735281117291,0.503225985921341,31720.769230769234
"mp-300031713, Li3Cr2P5O18, Li5Cr2P5O18, mp-540364, mp-31713",2.0,1.0,-1.5885899371988708,0.12039164525802824,0.4932817832992975,29517.392857142862
"mp-300031714, Cr(PO3)4, LiCr(PO3)4, mp-704231, mp-31714",3.0,8.0,-2.171889208357749,0.2101710272269381,0.511886033115011,32319.588235294123
"mp-300031718, Li3Cr4(PO4)6, Li3Cr2(PO4)3, mp-767848, mp-31718",2.0,2.0,0.0,-1.179701105325789,0.8683282170255632,413.1351351351352
"mp-300031728, CrPO4, LiCrPO4, mp-31707, mp-31728",3.0,8.0,-1.541880331119577,0.1337270947152025,0.4905496606693249,30409.16666666667
"mp-300031739, LiCrP4O13, Li2CrP4O13, mp-705085, mp-31739",2.0,1.0,-1.7493983504752768,0.1877252215712392,0.524303918527683,31368.315789473683
"mp-300031768, Fe5O8, LiFe5O8, mp-543082, mp-31768",7.0,24.0,0.0,-0.503430653982651,0.9296389376872682,425.6153846153846
"mp-300031773, Fe2(MoO4)3, Li2Fe2(MoO4)3, mp-31766, mp-31773",3.0,8.0,-2.0331749564007238,-0.045788476427900134,0.4803900588235863,31780.235294117647
"mp-300031777, FePO4, LiFePO4, mp-540341, mp-31777",5.0,6.0,-1.7493441729838908,0.12367285174527433,0.5306260592554861,30446.83333333333
"mp-300031787, Li2Fe(PO4)2, Li3Fe(PO4)2, mp-762553, mp-31787",2.0,1.0,0.0,-1.2191956123240126,0.8833100782887361,421.76923076923083
"mp-300031806, Fe3(P3O10)2, LiFe3(P3O10)2, mp-31877, mp-31806",3.0,4.0,-2.1442609769978147,0.16738661222523105,0.5125769090600537,31543.862068965518
"mp-300031830, FeP2O7, LiFeP2O7, mp-540321, mp-31830",2.0,2.0,0.0,-1.5043959531230802,0.9955534558237608,478.8
