,dVweight,dVnormNumDensnorPerFormulaUnit,dvnormweight2,dVnormNumDens,dVnormLiPerFormulaUnit,dVraw2,dVoriginal,VnormLiFrac,VoverLi,dVperAtom,dVdensity,dVraw3,dvnormweight,dVnormLiPerFormulaUnit2,dVraw,avgVolt2,energy_grav3,energy_vol4,energy_grav2,volumetricCap3,energy_grav4,volumetricCap4,volumetricCap2,gravCap4,gravCap2,avgVolt3,avgVolt4,energy_vol3,energy_vol2,gravCap3,deltax2,anisotropyMean,deltaz,deltaz2,deltay,deltay2,max Anisotropy,deltax
"mp-300767943, LiFeCo3O8, Li2FeCo3O8, mp-763089, mp-775721",-27.675672582893142,-2.382893469609781,-0.010445275268282588,-6.9002837702684605,0.05818622800175799,-0.05498675607566242,0.05818622800175799,0.43020741569136106,-7.703286739735803,-1.8577301480655792,9.809280974665237,-0.07250065563714944,-0.01044527526828254,-0.05498675607566242,-0.05498675607566242,-0.01726901743495501,-0.00024131587762586508,-6.773286528548116e-05,-0.00024131587762586508,-0.00016357091558675638,-0.0003181776957246804,-0.000215670089846554,-0.00016357091558675638,-0.0010131184017520172,-0.000768380560745691,-0.01726901743495501,-0.022769393497605414,-5.137071532702198e-05,-5.137071532702198e-05,-0.000768380560745691,0.02793279934464949,0.03724741976048529,0.07915406182315897,0.13569267741112967,0.01629406450725135,0.027932682012430883,0.07915406182315897,0.016294132951045537
"mp-300767943, Li2FeCo3O8, Li3FeCo3O8, mp-775721, mp-767943",38.03814567947712,3.791463287581367,0.013833805606686388,22.40618287840405,0.11633295579403426,0.11633295579403426,0.11633295579403426,0.3601499350364951,15.401344038582124,0.7334382779692242,-16.8736940852229,0.09602044471601022,0.01383380560668644,0.11633295579403426,0.11633295579403426,0.05029117965313462,0.0007157892687046027,0.0001378461066119802,0.0007157892687046027,0.00038631759970629933,0.0005908076815794987,0.00031886396655385883,0.00038631759970629933,0.001366649268877903,0.0016557551826857275,0.05029117965313462,0.04151000378720189,0.00016700656901037463,0.00016700656901037463,0.0016557551826857275,-0.19011598847645106,-0.062346854671332025,-0.053912868183733316,-0.12939088364095996,-0.053912700631741466,-0.12939048151617955,-0.053912700631741466,-0.07921499519852128
"mp-300767955, LiFeNiO4, Li3Fe2(NiO4)2, mp-774135, mp-767955",3.0373324724874013,1.584072725378181,0.001114640658771911,4.093654943141535,0.0531853982512831,0.02659269912564161,0.02659269912564155,0.3042170328173209,3.775530722153377,-0.7323192476145204,-1.1818399164277935,0.0077367208125358345,0.0011146406587719151,0.05318539825128322,0.02659269912564161,0.0077172515410958405,0.00010881154754992309,7.352974284723289e-06,0.00021762309509984606,8.709000302269423e-05,3.1656980759880315e-05,2.533744452814097e-05,0.00017418000604538846,0.00010908605999049522,0.0007499024050159867,0.0077172515410958405,0.0022452110006388787,2.5273683459715845e-05,5.054736691943169e-05,0.00037495120250799333,-0.1832524184043706,-0.0173315137305342,0.029348763167467,0.0704370316019208,-0.004988130023915183,-0.011971512057396437,0.029348763167467,-0.07635517433515443
"mp-300767964, LiFe(SiO3)2, Li2Fe(SiO3)2, mp-778685, mp-767964",-16.692684371964447,-1.8492026851592376,-0.005244121021813635,-5.395612829241832,0.04477803389230362,-0.042858896760571925,0.04477803389230362,0.425372081359233,-5.87882269751691,-1.5873210751174658,9.884406393029382,-0.07279888802481688,-0.0052441210218136325,-0.042858896760571925,-0.042858896760571925,-0.015456514018015163,-0.00012796732133491095,-7.744845837658305e-05,-0.00012796732133491095,-0.00012643242121583004,-0.00021736160752663358,-0.00021475447037789944,-0.00012643242121583004,-0.0006027153785024183,-0.000354836686165292,-0.015456514018015163,-0.026253989680076,-4.5596238787271974e-05,-4.5596238787271974e-05,-0.000354836686165292,0.019210122280464068,0.03183988058839149,0.005448518712388496,0.017831515785998713,0.08420136346708862,0.2755680986195628,0.08420136346708862,0.005869759585697354
"mp-300767969, SrLiLa15(CoO8)4, SrLi4La15(CoO8)4, mp-767646, mp-767969",4.8258921647790896,0.5939091499877859,0.0002353917017729001,2.9791290349921966,0.004017778450329764,0.012053335350989198,0.012053335350989292,0.7389950369516676,2.9318213288883803,-0.8021934679427649,-1.2055715793560289,0.004901561406017101,0.00023539170177289657,0.004017778450329732,0.012053335350989198,0.0033122250396109996,0.00012138714228296289,7.450284040347301e-06,4.046238076098762e-05,6.667039469770771e-05,4.9362812406281204e-05,2.7111917494885942e-05,2.2223464899235903e-05,0.00017963348645862382,0.00014724441684339041,0.0033122250396109996,0.0013469362586736918,1.8320850145463925e-05,6.106950048487976e-06,0.0004417332505301712,-0.007822334082454394,-0.00898682912844695,-0.007744463199046425,-0.009588383008343191,-0.012897985119696642,-0.01596893395771965,-0.0063180390665977795,-0.0063180390665977795
"mp-300767977, Li12Ni11O28, Li17Ni11O28, mp-763296, mp-767977",-2.27498298946736,0.06787976442730273,-0.0002513716577268733,2.028248069535656,0.0041014631018398105,0.02050731550919893,0.020507315509199042,0.2404890259864827,1.8896705832534848,-1.0341562685157628,0.8704141855462909,-0.008723853381411137,-0.00025137165772687385,0.004101463101839786,0.02050731550919893,0.005514781508062175,4.986105693916933e-05,-4.956936924624297e-06,9.972211387833863e-06,4.33305648482368e-05,-2.121099419299357e-05,-1.843290968533556e-05,8.666112969647357e-06,-7.887539144453836e-05,3.7082753859925e-05,0.005514781508062175,-0.002345999176989847,1.1652358771763955e-05,2.3304717543527907e-06,0.000185413769299625,-0.03863827818924544,-0.0046061441479981575,0.0005047614309585147,0.0011952029597339106,0.001994631001349772,0.00472300126391035,0.001994631001349772,-0.016317824876302758
"mp-300767985, LiNiP2O7, Li2NiP2O7, mp-767055, mp-767985",-5.373728954908385,0.31135247060606963,-0.0015247745860103039,0.9385681234821402,0.007191643963679217,0.0071916439636793145,0.007191643963679217,0.4584401600990493,0.9251648197113128,-1.0129811080394815,2.822192729621871,-0.02116692080299504,-0.0015247745860102974,0.0071916439636793145,0.0071916439636793145,0.0015515996560959645,1.4271537759974906e-05,-1.3295490129347404e-05,1.4271537759974906e-05,2.0937428906461586e-05,-4.200493114342005e-05,-6.162442158144268e-05,2.0937428906461586e-05,-0.00019469230243478376,6.614838948997359e-05,0.0015515996560959645,-0.004566770435856649,4.517257480329864e-06,4.517257480329864e-06,6.614838948997359e-05,-0.079517808547153,-0.01241751856993186,-0.006472428999694024,-0.021574763332313417,-0.006924784145955654,-0.02308261381985218,-0.006472428999694024,-0.0238553425641459
"mp-300767990, LiV2(CO3)4, LiV(CO3)2, mp-763558, mp-767990",-15.910115435158048,-3.4229948079361114,-0.006314175637659783,-5.051648371520039,0.05086645940946877,-0.02480242395895208,0.025433229704734384,0.4602983001554031,-5.308607838360871,-1.5529819471767612,9.335575024190518,-0.04382669310099655,-0.006314175637659806,-0.04960484791790416,-0.02480242395895208,-0.0069838652069115536,-9.271365659927249e-05,-5.787775545162123e-05,-0.00018542731319854487,-0.00011632294338320508,-0.0001638280589337679,-0.0002055464396825722,-0.00023264588676641016,-0.0005818172106223124,-0.0006585245704582432,-0.0069838652069115536,-0.01234071789066267,-3.275420815336438e-05,-6.550841630672878e-05,-0.00032926228522912177,0.02585676983302605,0.029810827259891294,0.07506800202321262,0.2702448072835654,0.00718204369173181,0.025855357290234512,0.07506800202321262,0.0071824360647294565
"mp-300767993, LiFe2(CO3)4, LiFe(CO3)2, mp-763371, mp-763377",-18.590125515861768,-5.082487997404009,-0.007183864065493345,-7.468637693509005,0.06499772535234173,-0.03147593072590495,0.032498862676170866,0.4565795459599101,-7.9540821550678515,-1.6868228328917596,12.45250780747941,-0.04986320047858931,-0.007183864065493314,-0.0629518614518099,-0.03147593072590495,-0.0067869955570040155,-9.258357893842368e-05,-5.9127997340208824e-05,-0.0001851671578768473,-0.00017309822565155544,-0.000146668055595652,-0.00027421688029857127,-0.0003461964513031109,-0.0006801998791450197,-0.0008587464932152015,-0.0067869955570040155,-0.010751749425717938,-3.7324293875621636e-05,-7.464858775124329e-05,-0.0004293732466076008,0.02963311002001738,0.032422157438415734,-0.0009649337184556297,-0.0034737613864402658,0.08999998658369801,0.32399995170131285,0.08999998658369801,0.00823141945000483
"mp-300767993, LiFe(CO3)2, Li2Fe(CO3)2, mp-763377, mp-767993",-8.560485924922316,-0.28612753450385103,-0.003126549139966273,-0.8543589154820835,0.007131572432910849,-0.007081073246153184,0.007131572432910849,0.44607763516189897,-0.8665447604610108,-1.1897897027350357,5.474310696328807,-0.04340275516101181,-0.003126549139966272,-0.007081073246153184,-0.007081073246153184,-0.0021358317307619565,-1.5120916048469714e-05,-3.5742347703230016e-05,-1.5120916048469714e-05,-1.933289603913297e-05,-9.268219579828192e-05,-0.0001184991207082384,-1.933289603913297e-05,-0.0003072758062395741,-5.0131437109958694e-05,-0.0021358317307619565,-0.01309137449266485,-5.831292993662263e-06,-5.831292993662263e-06,-5.0131437109958694e-05,-0.3167329911143336,-0.009462733329281013,0.04715007914720881,0.15430934993631976,0.02124124592766119,0.06951680485416391,0.04715007914720881,-0.09677952506271303
