,VnormLiFrac,dVnormLiPerFormulaUnit,dVraw3,dvnormweight2,dVnormLiPerFormulaUnit2,dVperAtom,dVraw2,dVdensity,dvnormweight,dVoriginal,dVraw,dVweight,gravCap4,gravCap3,avgVolt4,energy_vol4,volumetricCap2,energy_grav4,energy_vol2,volumetricCap4,avgVolt2,avgVolt3,gravCap2,energy_grav3,energy_grav2,energy_vol3,volumetricCap3,max Anisotropy,deltaz2,deltay,deltax,deltax2,anisotropyMean,deltaz,deltay2
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",1.0,0.02292358110991266,-0.02323695871095266,-0.0005579637590873712,0.022923581109912657,-0.9312292566702625,3.034385371664869,2.402861518507889,-2.3236131504671094e-05,0.008596342916217248,0.008596342916217246,-5.11018985579193,-0.0062017053868175685,7.053629854163558e-05,-0.2568603724830337,-0.0005829454382924387,5.202514077267007e-05,-0.002107638107688666,1.7680647888147144e-05,-0.0017153114909483217,0.002921451243957963,0.002921451243957963,0.0001880967961110282,2.397163062561147e-05,6.392434833496392e-05,6.630242958055179e-06,1.9509427789751274e-05,-0.0027590121645381474,-1.302897152147675,-2.9947763259892857,-0.0027590121645381474,-0.004904910514734484,-1.2434716620789636,-0.7328796480830673,-5.324046801758731
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",0.12737685092229875,0.0072007979817989565,-0.004785109532674307,-0.0006893977139712299,0.007200797981799378,-1.0976594701628548,0.0004500498738624611,2.9230393664982848,-0.0006893977139712042,0.0004500498738624348,0.0004500498738624611,-6.554017527778419,-0.00023682121938777668,2.2273546548025796e-05,-0.0020327195586884133,-2.769203849791096e-05,9.809753346218173e-05,-0.00010060190289791193,4.167193531643661e-05,-6.518825325862346e-05,0.00019118165942466937,0.00019118165942466937,0.00035637674476841273,9.461825983369915e-06,0.00015138921573391864,2.604495957277288e-06,6.131095841386358e-06,1.1572377162147982,-0.0018730696637703648,1.1572377162147982,-0.8552193453174267,-5.224612727757368,0.10057058907739032,-0.0003066036652005063,7.069670411784945
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",-2.561365279803691,0.010203205363072954,-0.0045711839370476655,0.0001317154282393795,0.010203205363072518,-1.1056449267925903,-0.749840574916202,2.798489442071211,4.602969281121522e-06,0.0006377003351920596,0.0006377003351920324,-6.326880179283715,0.14834111906642583,3.172575949338941e-05,1.3151937580976827,0.01792850436477364,0.00013908841245651723,0.06543123557250308,6.134999343487916e-05,0.040646250638364356,0.0002812808823285857,0.0002812808823285857,0.0005076121518942305,1.3993797917885388e-05,0.0002239007666861662,3.834374589679947e-06,8.693025778532327e-06,4.92438783769965,30.035697217061553,4.92438783769965,2.9919356113705375,41.03225981308168,3.3688087903825306,2.1901029220774038,67.53446177416667
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",0.4128603559613795,0.0549887541351719,-0.06566845077322561,-0.0047304747711587386,-0.0535173285250543,-1.3851957581439711,-0.02675866426252715,5.052195366657944,-0.004730474771158737,0.02749437706758595,-0.02675866426252715,-11.896354069878521,-0.00042538453643454707,-0.00017333623465902998,-0.07331527665076033,-0.00012158482080397133,-8.875223685810792e-05,-0.0004749188477028899,-9.908707639679824e-05,-0.00010890345347492112,-0.029874602645748205,-0.029874602645748205,-0.00034667246931805996,-0.00019352053913245792,-0.00038704107826491584,-4.954353819839912e-05,-4.437611842905396e-05,0.013469049420062218,0.08081428499999932,0.013469049420062218,0.013469048298396125,0.08081428979037675,0.013469048406152742,0.013469047499999887,0.08081429652037331
"mp-300007543, VS2, LiVS2, mp-9561, mp-7543",1.0,0.09915307808207752,0.03662488207783465,0.005276600212913795,0.09915307808207757,-0.7025407657537671,0.09915307808207757,-2.2428349167656494,0.005276600212913794,0.09915307808207752,0.09915307808207757,4.4686934245218,0.0001667330696931312,0.0004513897694745816,0.02049528237810204,2.9234033115428316e-05,0.00014142983320128004,9.330381836769388e-05,7.91441283548149e-05,5.224094968586749e-05,0.05548605807471112,0.05548605807471112,0.0004513897694745816,0.000252597694876043,0.000252597694876043,7.91441283548149e-05,0.00014142983320128004,0.48893244000000013,0.3666993300000001,-0.28730572677874555,-0.28730572,-0.21547929,-0.028559668926248467,0.48893244000000013,-0.21547929508405916
"mp-300007554, MgSnAu, LiMgSnAu, mp-5549, mp-7554",1.0,0.08963782119676478,0.06783705989510747,0.009773384223470316,0.08963782119676471,-0.731086536409706,0.08963782119676471,-4.802754984393975,0.009773384223470353,0.08963782119676478,0.08963782119676471,23.53420709221755,0.0008780934869568046,0.0011602859425155368,0.22397576220715845,0.000380470993560242,0.00015226911410067917,0.002899177209837718,0.0005027427624965226,0.00011523583321763678,0.2959547385481889,0.2959547385481889,0.0011602859425155368,0.003830884309476262,0.003830884309476262,0.0005027427624965226,0.00015226911410067917,-0.13388887999999977,-0.10041665999999982,-0.1338888907930258,-0.13388889247878222,-0.10041666935908666,-0.13388888775726926,-0.13388887999999977,-0.10041666809476935
"mp-300007936, NbS2, Li9(NbS2)14, mp-10033, mp-767218",1.0,0.035954828660864385,-0.049596640855337604,-0.0007939400479491845,-0.035142550137989156,-1.105427650413967,5.84185852437905,5.198050042260815,-2.5474600244779e-05,0.023113818424841392,-0.0225916393744216,-12.459658857638287,-0.008100716855975543,-0.0002117594598853055,-0.362769719131434,-0.0008119313495048295,-7.865413416228612e-05,-0.0034003694248498167,-3.301598089386185e-05,-0.001934268059453345,-0.009483101452848556,-0.009483101452848556,-0.00032940360426603074,-8.888847809629925e-05,-0.0001382709659275766,-2.1224559146054048e-05,-5.056337196146965e-05,0.001307241101884947,0.0010765514956699565,-0.9809101451138112,-0.2765805682020683,-0.2277722326369974,-0.4187278240713315,0.001307241101884947,-0.8078083547996092
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",0.08029964390149083,0.03132594560545955,-0.005286253709531511,-0.0007615982869228513,-0.03125600817603417,-1.352545709635824,-0.002232572012573963,4.659915487525854,-0.0007615982869228729,0.00223756754324711,-0.002232572012573868,-12.329449626844056,-0.00044731842671088607,-0.00018891840139693598,-0.0025287744840719485,-5.0824160524408775e-05,-0.0006281937701036199,-0.00021398281011033123,-0.0003005077819149555,-0.00010624490590135685,-0.0010679909534176313,-0.0010679909534176313,-0.002644857619557105,-9.037251317749947e-05,-0.0012652151844849931,-2.1464841565353957e-05,-4.487098357882997e-05,0.6339621930060053,0.025337374497914074,0.6339621930060053,-0.6329587401538223,-10.22471811017712,0.0008573189959227401,0.0015685041355851582,10.240927733173924
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",-4.360156557216005,0.01597078275308661,-0.0075861077064227345,0.00013661770109535252,0.015970782753086485,-1.1646513663871683,-0.8564909884590577,1.736977353086655,3.910436233135483e-06,0.004563080786596174,0.004563080786596138,-4.4912815552942,0.12734550122358737,9.771277118976278e-05,3.407771571992978,0.017200766912477808,8.061271295393837e-05,0.0729732431779975,4.61937881519466e-05,0.03001703348385692,0.0026147983295969927,0.0026147983295969927,0.00034199469916416973,5.599269503134882e-05,0.0001959744326097209,1.3198225186270458e-05,2.3032203701125245e-05,4.398159842678418,1.0989368216588569,1.2330382751773923,4.398159842678418,23.090339174061697,1.9468398057398009,0.20932129936359178,6.47345094468131
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",1.0,0.6335613018023185,1.4770643928262899,0.03546713712784637,0.6335613018023186,-0.36643869819768143,1.9006839054069558,-15.802855688937292,0.03546713712784638,1.9006839054069555,1.9006839054069558,70.2014241074503,0.0026193112452141706,0.0033705251790031613,1.5837529919099822,0.0009430897307294894,0.00037727168350715554,0.0028085045184887,0.000404522077994228,0.0008795590395827575,2.0379706101394266,2.0379706101394266,0.0011235083930010536,0.003613978755753521,0.0012046595852511735,0.001213566233982684,0.0011318150505214666,-0.2159866261721326,-0.23771390749999996,-0.2159866261721326,-0.2159866266666667,-0.10799331333333335,-0.30246702261293307,-0.4754278149999999,-0.1079933130860663
