,dVnormNumDens,VnormLiFormFrac,dVoriginal,dVraw,dVnormLiPerFormulaUnit2,dVperAtom,dVnormNumDensnorPerFormulaUnit,dVnormLiPerFormulaUnit,VoverLi,VnormLiFrac,energy_vol2,volumetricCap2,avgVolt3,gravCap3,energy_vol3,avgVolt2,volumetricCap3,energy_grav3,gravCap2,energy_grav2
"mp-300011977, SnAu, LiSnAu, mp-1775, mp-11977",15.211250762268705,1.0,0.25339399799213136,0.25339399799213136,0.25339399799213136,-0.4932120040157374,15.211250762268705,0.25339399799213136,12.136048829527105,1.0,0.00036815324088412257,0.0003417881895193452,0.2729404480376521,0.003050180380480997,0.00036815324088412257,0.2729404480376521,0.0003417881895193452,0.0032854669259766434,0.003050180380480997,0.0032854669259766434
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",18.43244248875693,1.0,0.1477316634970951,0.14773166349709513,0.29546332699419026,-0.11361001901743005,36.86488497751386,0.2954633269941902,16.059888452143927,1.0,0.0003339588477782181,0.0008283330864913125,0.05956093862051325,0.0013184498107938173,0.00016697942388910908,0.05956093862051325,0.0004141665432456561,0.0005315590875781479,0.0026368996215876345,0.0010631181751562958
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",8.128008423862356,1.0,0.06807389366633987,0.06807389366633984,0.13614778733267968,-0.5915566380019612,16.256016847724712,0.13614778733267974,7.609968254126713,1.0,0.00019160980030294303,0.00036526349174136735,0.03571018036614231,0.000622478695279725,9.580490015147152e-05,0.03571018036614231,0.0001826317458706836,0.0003265396657266763,0.00124495739055945,0.0006530793314533526
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",-4.971078521913622,1.0,0.10566687229755932,-0.0955684527998791,-0.1911369055997582,-1.3822738111995163,-9.942157043827244,0.21133374459511867,-5.496356841269809,1.0,-7.474316635558091e-05,-0.00022339463789234785,-0.03197520241917823,-0.000592034501466666,-3.737158317779045e-05,-0.03197520241917823,-0.00011169731894617393,-0.00019808234274938327,-0.001184069002933332,-0.00039616468549876665
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",-4.232927704697632,1.0,0.01475205607629104,-0.014537596635509503,-0.014537596635509503,-1.2762143360746807,-4.232927704697632,0.01475205607629104,-4.295372091564219,1.0,-2.0580164219064504e-05,-9.51114881455745e-05,-0.00314563605241231,-0.0005570417229631483,-2.0580164219064504e-05,-0.00314563605241231,-9.51114881455745e-05,-0.00012053233903675018,-0.0005570417229631483,-0.00012053233903675018
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",-2.9073688854873563,1.0,0.017240363262875702,-0.016948170644326268,-0.016948170644326268,-1.1864298770875892,-2.9073688854873563,0.017240363262875702,-2.95749298121234,1.0,-2.2727190836460266e-05,-6.532693222706376e-05,-0.005896255884535811,-0.00035932523099291096,-2.2727190836460266e-05,-0.005896255884535811,-6.532693222706376e-05,-0.0001250089789728078,-0.00035932523099291096,-0.0001250089789728078
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",0.2287973424327149,1.0,0.001461556933908259,0.0014615569339082673,0.0014615569339082673,-0.989769101462642,0.2287973424327149,0.001461556933908259,0.2284634301222752,1.0,1.5966255036365058e-06,5.1409467018247976e-06,0.0004539162164171841,2.135977575422174e-05,1.5966255036365058e-06,0.0004539162164171841,5.1409467018247976e-06,6.6337125629102345e-06,2.135977575422174e-05,6.6337125629102345e-06
"mp-300018767, MnO2, LiMnO2, mp-33009, mp-18767",12.492875347318876,1.0,0.32221038420604803,0.32221038420604803,0.32221038420604803,-0.033368847381856206,12.492875347318876,0.32221038420604803,9.448477713189726,1.0,8.558269047262861e-05,0.00028070783353611176,0.09823606000302612,0.0011286098325087991,8.558269047262861e-05,0.09823606000302612,0.00028070783353611176,0.0003440925204801596,0.0011286098325087991,0.0003440925204801596
"mp-300018793, Li3Cr4O8, LiCrO2, mp-771288, mp-18793",-114.11046868679406,-1.9730056187752063,0.009079828525825121,0.009079828525825215,0.03631931410330086,-1.0797532151407767,-64.17903493897633,0.03631931410330047,-110.00334669549913,-2.17120599336022,3.2684117549688815e-05,0.00012114802999292068,0.0024496162495290324,0.0001232293599380379,8.171029387422204e-06,0.0024496162495290324,3.028700749823017e-05,3.3245632521000154e-05,0.0004929174397521516,0.00013298253008400061
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",2.148069713351005,1.0,0.016022704149051492,0.01602270414905157,0.01602270414905157,-0.8397729585094831,2.148069713351005,0.016022704149051492,2.1141945987812107,1.0,8.867272947743927e-06,4.826590986907624e-05,0.002943644726391409,0.00019407024829763253,8.867272947743927e-06,0.002943644726391409,4.826590986907624e-05,3.565402304358299e-05,0.00019407024829763253,3.565402304358299e-05
