,dVraw,VnormLiFormFrac,dVnormNumDens,dVperAtom,dVnormLiPerFormulaUnit,dVnormLiPerFormulaUnit2,dVoriginal,dVweight,dVdensity,VnormLiFrac,dVnormNumDensnorPerFormulaUnit,gravCap2,energy_grav3,energy_grav2,gravCap3,energy_vol2,volumetricCap3,energy_vol3,volumetricCap2,avgVolt2,avgVolt3
"mp-300778299, LiVPO5, Li2VPO5, mp-32409, mp-778299",0.05694883475623695,0.5269402041440213,5.635279910530567,-0.6221820822286903,0.05694883475623703,0.05694883475623695,0.05694883475623703,-733.1887628266098,-0.014988556224961334,0.467807729662024,1.8057305115388482,0.000373534502571175,0.00016822525734507267,0.00016822525734507267,0.000373534502571175,5.37778397979335e-05,0.0001194105983566314,5.37778397979335e-05,0.0001194105983566314,0.02564751667229058,0.02564751667229058
"mp-300778433, LiCr2(PS4)3, Li3Cr2(PS4)3, mp-778530, mp-778433",-0.057889183955131714,0.6461845807771108,-12.79819781478693,-1.6104734000430208,0.030723128834333813,-0.028944591977565857,0.061446257668667625,-1219.2231337894593,0.08647876476672535,0.6068717564190121,-3.2685077016957487,-0.00032534756136547665,-0.0002631310452134947,-0.00013156552260674734,-0.0006506951227309532,-5.982703457489138e-05,-0.00029589180230521467,-0.00011965406914978276,-0.00014794590115260734,-0.023409490786929287,-0.023409490786929287
"mp-300778543, Li2Ni3(BO3)3, LiNiBO3, mp-763226, mp-778543",0.0001453866452550816,-0.3331395126519317,-86.25329585002802,-1.1305322173014178,0.000436159935764957,0.0004361599357652446,0.00014538664525498568,-565.1972911848209,-0.4906019073436722,-0.4115594839843984,-51.74294760408003,6.07548252822349e-06,4.3013249753562796e-07,1.2903974926068838e-06,2.025160842741164e-06,3.5902374309075325e-07,5.6345492787102e-07,1.196745810302511e-07,1.6903647836130596e-06,3.0879285986613e-05,3.0879285986613e-05
"mp-300778554, LiMnF4, Li2MnF4, mp-777321, mp-778554",0.06749575705713952,0.5316140633866363,6.002361532831954,-0.7140305491885959,0.0674957570571395,0.06749575705713952,0.0674957570571395,-304.69482808614123,-0.016067698622980662,0.4535497406177424,1.9086852510146117,0.0003646927933994752,8.97237031769835e-05,8.97237031769835e-05,0.0003646927933994752,3.0941766258242635e-05,0.0001257665340358671,3.0941766258242635e-05,0.0001257665340358671,0.01660567299794987,0.01660567299794987
"mp-300778560, LiVPHO5, Li2VPHO5, mp-767213, mp-778560",0.11467772183690053,0.5514398554803449,13.318338899344662,0.03611193359861704,0.1146777218369006,0.11467772183690053,0.1146777218369006,-368.3784791069172,-0.06622088685663187,0.5015998394226056,4.086552904316337,0.0007564982218678713,0.0005667067297937305,0.0005667067297937305,0.0007564982218678713,0.00019846962033033785,0.0002649375893759733,0.00019846962033033785,0.0002649375893759733,0.08590719031952436,0.08590719031952436
"mp-300778572, LiVFeP2(O4F)2, Li2VFeP2(O4F)2, mp-777635, mp-778572",0.018272575146991217,0.5089723398198923,3.399131237725844,-0.7777621851376403,0.01827257514699121,0.018272575146991217,0.01827257514699121,-355.3130247628385,0.002005872717111069,0.4762371624745518,1.1191567441529366,0.00023767216862007157,6.291706809542175e-05,6.291706809542175e-05,0.00023767216862007157,1.9849114151434967e-05,7.498095744709665e-05,1.9849114151434967e-05,7.498095744709665e-05,0.004837153889228526,0.004837153889228526
"mp-300778578, LiCo2(SO4)3, Li2Co2(SO4)3, mp-770593, mp-778578",0.05004270065958343,0.5238288884005141,12.3323169551578,-0.10506852860558516,0.05004270065958338,0.05004270065958343,0.05004270065958338,-1708.3185747474067,-0.03165224566827079,0.4973749377560983,3.9713030802009035,0.0007840887596424267,0.00017244139004140983,0.00017244139004140983,0.0007840887596424267,5.789181624646034e-05,0.00026323333616850295,5.789181624646034e-05,0.00026323333616850295,0.011005683676807309,0.011005683676807309
"mp-300778695, LiCo3NiO8, Li2Co3NiO8, mp-779166, mp-778768",-0.03612317459983968,0.4812615192896443,-4.69869884326299,-1.592068042281075,0.03747696142071155,-0.03612317459983968,0.03747696142071155,-384.2191316249159,0.05691691885608801,0.4413585592350015,-1.6035023884075128,-0.000508621459946589,-0.00012739641716190688,-0.00012739641716190688,-0.000508621459946589,-2.7399564359272924e-05,-0.00010939088191626916,-2.7399564359272924e-05,-0.00010939088191626916,-0.009047913591803288,-0.009047913591803288
"mp-300778695, Li2Co3NiO8, Li3Co3NiO8, mp-778768, mp-778695",0.05211073338624062,0.36635313611811,8.248805691747851,-0.3155246880247362,0.05211073338624049,0.05211073338624062,0.05211073338624049,-398.619475601362,-0.03204762799431478,0.3210926458408321,1.542108955596644,0.0007472250018654178,0.00027939818532740987,0.00027939818532740987,0.0007472250018654178,6.20806186552106e-05,0.00016602896091141929,6.20806186552106e-05,0.00016602896091141929,0.019484953404728857,0.019484953404728857
"mp-300778709, LiFePHO5, Li2FePHO5, mp-771864, mp-778709",0.10584362927482524,0.5478565081322727,11.973544064175927,-0.05333325359239486,0.10584362927482527,0.10584362927482524,0.10584362927482527,-378.1633536199624,-0.0597981210810329,0.497618342369192,3.6992544056833054,0.0007175868374943013,0.00031910940618500185,0.00031910940618500185,0.0007175868374943013,0.00010697775003927452,0.00024056271562372666,0.00010697775003927452,0.00024056271562372666,0.0470684465232031,0.0470684465232031
