,x,y,z,x2,y2,z2,avg,max
mp-300018793,0.2609170178539513,-0.018971458913738044,-0.234238143928204,-0.8697233928465039,0.0632381963791268,0.7807938130940129,0.0025691383373364165,0.2609170178539513
mp-300018793,-0.25588536655504185,-0.2558855588942806,-0.2643157106037834,0.6141248797321005,0.6141253413462735,0.6343577054490801,-0.2586955453510353,-0.25588536655504185
mp-300018809,-0.98259171316451,0.06914024999999979,0.9184133356784367,1.7195354980378923,-0.12099543749999965,-1.6072233374372644,0.001653957504642219,0.9184133356784367
mp-300018860,-0.9235637739485516,0.06653909499999999,0.8820192972589647,1.6162366044099654,-0.11644341625,-1.5435337702031882,0.00833153943680435,0.8820192972589647
mp-300018878,-inf,inf,inf,0.5174125686165647,-0.07694716971338789,-0.5803266489541921,,inf
mp-300018915,inf,-inf,-inf,-5.4324105299999985,0.014574119999999803,4.92964373,,inf
mp-300018925,0.005490607219017063,0.006066325694321861,-0.016792008599944896,-0.024402698751186936,-0.026961447530319368,0.0746311493330884,-0.0017450252288686574,0.006066325694321861
mp-300018925,-0.1763922379880447,0.013156919444542493,0.1864099324345875,0.8819611899402235,-0.06578459722271246,-0.9320496621729376,0.007724871297028434,0.1864099324345875
mp-300018932,-inf,-inf,inf,0.4000961913375134,0.7990452749537713,-0.17750892694283849,,inf
mp-300018934,inf,-inf,-inf,-0.0012976600000000893,0.00028633000000066744,0.10435533999999967,,inf
mp-300018939,-inf,-inf,-inf,0.1330679237810548,0.13313677306912108,0.13308749887342586,-inf,-inf
mp-300018951,-inf,inf,inf,0.63294067,-0.3413806999999993,-0.4544583300000005,,inf
mp-300018968,-0.018806076822221574,-0.1258165013061494,0.12058550112516644,0.032238988838094125,0.21568543081054184,-0.2067180019288567,-0.008012359001068189,0.12058550112516644
mp-300018987,inf,-inf,inf,-0.015491814717424113,1.3134581597104793,-1.4846862412394115,,inf
mp-300018988,0.0018312485587420688,0.001832725996531273,-1.1026753052064886,-0.0056429585217533385,-0.005647511218940812,3.397873533080735,-0.36633711021707177,0.001832725996531273
