,Crystal System,symmetry ops,ShannonForce,meanbv,stdbv,meanValenceOcc
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",3.0,8.0,0.0,-1.5422801833771766,1.0676523245468967,543.9166666666666
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",3.0,8.0,-3.184028147586939,0.06924620469411202,0.5041697856859175,32137.14285714286
"mp-300019667, Ni2P3O10, LiNi2P3O10, mp-25610, mp-19667",1.0,4.0,0.0,-1.3964750708590903,0.9601384860728859,511.8
"mp-300019682, Fe(WO4)2, LiFe(WO4)2, mp-25537, mp-19682",1.0,4.0,0.0,-0.8428279620975812,0.7881767629635665,331.72727272727275
"mp-300021471, Li19(FeAs)20, LiFeAs, mp-530480, mp-21471",2.0,1.0,0.0,0.061828760343573055,1.305366877621564,330.64406779661016
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",1.0,4.0,-1.2962804325560695,-0.2744685721537546,0.5535851843963793,21006.69230769231
"mp-300022902, Bi, LiBi, mp-567597, mp-22902",7.0,96.0,0.0,1.2098729425694188,1.3559971079771305,75.0
"mp-300024850, CoO2, Li(CoO2)4, mp-715480, mp-780888",1.0,8.0,-2.9932760604563775,-0.3937728196101746,0.5193045085090184,29861.333333333332
"mp-300024850, Li(CoO2)4, Li3(CoO2)4, mp-780888, mp-853206",5.0,12.0,-0.6564681861381879,-0.3000099681776992,0.5542360872539338,27706.46153846154
"mp-300024850, Li3(CoO2)4, LiCoO2, mp-853206, mp-24850",5.0,12.0,-0.6562373433941887,-0.14998940588573867,0.6101266132457984,24258.666666666668
"mp-300024979, Fe(GeO3)2, LiFe(GeO3)2, mvc-8638, mp-24979",1.0,4.0,0.0,-0.8004411240483432,0.8556320645905,338.3333333333333
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",3.0,8.0,-2.0045961694761227,0.08538919843573978,0.5408015257224891,29984.333333333332
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",2.0,2.0,-2.1850205577814092,0.15983328372098052,0.48206231247920783,33036.045454545456
"mp-300025372, CuO2, LiCuO2, mp-25378, mp-25372",5.0,12.0,-0.5144281285148155,-0.6789598951469061,0.7911589391346271,345.6666666666667
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",7.0,48.0,-0.21656524091972995,-0.6789598951469059,0.7911589391346269,345.6666666666667
"mp-300025401, TiPO4F, LiTiPO4F, mp-25436, mp-25420",2.0,2.0,-2.335420456927553,0.10885551680963486,0.4929413452029929,27181.428571428572
"mp-300025401, LiTiPO4F, Li2TiPO4F, mp-25420, mp-25401",2.0,2.0,-1.6365277289794327,0.11016451238828961,0.4661165353493436,23937.125
"mp-300025405, CuPO4F, LiCuPO4F, mp-25380, mp-25405",2.0,2.0,0.0,-1.348654815683975,0.7327391360463277,367.7142857142857
"mp-300025417, TiO2, Li2Ti3O6, mvc-11600, mp-760539",5.0,12.0,-0.21367307562107687,-0.13589723742377066,0.5127593465339801,30077.0
"mp-300025417, Li2Ti3O6, LiTiO2, mp-760539, mp-25417",1.0,4.0,-1.6541197215546337,-0.08949274308510814,0.47013816832303806,24831.545454545456
"mp-300025456, LiCuPCO7, Li2CuPCO7, mp-25466, mp-25456",1.0,2.0,0.0,-1.4182418441858757,0.85763252700397,453.1818181818182
"mp-300025462, LiTiPCO7, Li2TiPCO7, mp-25418, mp-25400",1.0,2.0,-2.7577078388867617,-0.0009345070971984852,0.5491335636381105,29070.636363636364
"mp-300025462, Li2TiPCO7, Li3TiPCO7, mp-25400, mp-25462",1.0,4.0,-2.0624231595158613,0.009087325280807468,0.5265676721994178,26750.333333333332
"mp-300025488, CoPO4F, LiCoPO4F, mp-25473, mp-25487",2.0,2.0,-2.320571133768257,-0.0016625898416811375,0.4957464146208665,27089.0
"mp-300025488, LiCoPO4F, Li2CoPO4F, mp-25487, mp-25488",2.0,2.0,-1.5626469221885895,0.10168826501502948,0.555454991817373,23933.875
"mp-300025490, LiCoPCO7, Li2CoPCO7, mp-633471, mp-25482",1.0,2.0,-2.4333139218916133,-0.07126421132985411,0.5509186078131209,29011.81818181818
"mp-300025490, Li2CoPCO7, Li3CoPCO7, mp-25482, mp-25490",1.0,4.0,-2.068572057929044,0.003436493698634043,0.5861266431781041,26748.166666666668
"mp-300025507, CrPO4, LiCrPO4, mp-31750, mp-25507",3.0,8.0,-2.1276911673135728,0.1337270947152025,0.49054966066932487,30409.166666666668
"mp-300025508, CrPO4F, LiCrPO4F, mp-849535, mp-25501",2.0,2.0,-2.205153096538698,0.04477159978202543,0.48815631912160434,27091.714285714286
"mp-300025508, LiCrPO4F, Li2CrPO4F, mp-25501, mp-25508",2.0,2.0,-1.5222649397809567,0.08921999317495066,0.45727470120728464,23962.625
"mp-300025510, Li3Cr2P2(CO7)2, Li2CrPCO7, mp-763241, mp-777037",2.0,1.0,-2.0475731855255788,-0.022494575982585602,0.5328283222046102,27841.608695652172
"mp-300025510, Li2CrPCO7, Li3CrPCO7, mp-777037, mp-25510",1.0,2.0,-1.8568707350797296,-0.00487568752808513,0.5206731161047119,26767.333333333332
"mp-300025536, LiFePCO7, Li2FePCO7, mp-25529, mp-769972",1.0,2.0,-2.5069950108423904,-0.06014881150290759,0.527466282379094,29011.454545454544
"mp-300025536, Li2FePCO7, Li3FePCO7, mp-769972, mp-25536",2.0,2.0,-1.9324793535424813,-0.009902809013049222,0.5407113153977924,26786.166666666668
"mp-300025562, MnPO4F, LiMnPO4F, mp-25550, mp-25552",2.0,2.0,-2.123676816531842,0.08673724452092799,0.48848698304876353,27104.571428571428
"mp-300025562, LiMnPO4F, Li2MnPO4F, mp-25552, mp-25562",2.0,2.0,-1.5806117717738184,0.07600575619343808,0.47401217478771085,23954.25
"mp-300025576, MoO2, Li(MoO2)2, mp-714969, mp-25576",3.0,8.0,-1.6072446112881362,0.07245600990950396,0.6949755479568487,29874.0
"mp-300025605, NiPO4F, LiNiPO4F, mp-25589, mp-504104",2.0,2.0,-2.0906811436765578,-0.06095962486882029,0.5109673885866314,27088.428571428572
"mp-300025605, LiNiPO4F, Li2NiPO4F, mp-504104, mp-25605",2.0,2.0,-1.4976298497310163,0.004821088184363664,0.46129104507039764,23930.0
"mp-300025612, LiNiPCO7, Li2NiPCO7, mp-25602, mp-25611",1.0,2.0,-2.4608511255026557,-0.10899868816530628,0.5606046821549714,29011.454545454544
"mp-300025612, Li2NiPCO7, Li3NiPCO7, mp-25611, mp-25612",1.0,4.0,-1.9630819399818278,-0.06114162418847643,0.5233506786801206,26745.583333333332
"mp-300025613, NiAsO4, LiNiAsO4, mp-635257, mp-25613",3.0,8.0,-1.7865653824169776,-0.00952369224302596,0.5238400194327381,29952.0
"mp-300025614, NiPO4, LiNi2(PO4)2, mp-540008, mp-767051",3.0,8.0,-2.143224844394057,0.02119522139441991,0.49590478582014236,30365.666666666668
"mp-300025614, LiNi2(PO4)2, LiNiPO4, mp-767051, mp-25614",1.0,2.0,-1.6590582872025577,0.05986106332728126,0.496660535743581,28192.76923076923
"mp-300025630, VPO4F, LiVPO4F, mp-25616, mp-25619",2.0,2.0,-2.316357948338246,0.10727455909377527,0.47440458134782254,27118.571428571428
"mp-300025630, LiVPO4F, Li2VPO4F, mp-25619, mp-25630",2.0,2.0,-1.5657879211697059,0.11511894664661992,0.4504593128894505,23941.125
"mp-300025637, VPO4, LiV2(PO4)2, mp-32453, mp-767232",3.0,8.0,-2.286493367851365,0.16825903267742817,0.4814624762455461,30380.5
"mp-300025637, LiV2(PO4)2, LiVPO4, mp-767232, mp-25637",1.0,2.0,-1.774901584039402,0.16300736664185608,0.4967630791500867,28170.923076923078
"mp-300025638, LiVPCO7, Li2VPCO7, mp-25629, mp-770949",1.0,2.0,-2.6571869015411216,-0.001940571098200036,0.5373374411848201,29030.636363636364
"mp-300025638, Li2VPCO7, Li3VPCO7, mp-770949, mp-25638",1.0,2.0,-1.8223001204150735,0.01239028145302771,0.5161295238928224,26753.0
"mp-300025647, WO2, LiWO2, mvc-11458, mp-25647",5.0,12.0,-1.6053781979116017,0.283975718238322,0.7630265951481653,29861.333333333332
"mp-300025652, PWO4F, LiPWO4F, mp-25651, mp-25652",2.0,2.0,-2.4756706976604805,0.288801069236246,0.6001987374662151,27089.0
"mp-300025656, LiPWCO7, Li2PWCO7, mp-540005, mp-25650",1.0,2.0,-2.68903283199213,0.11357629899246315,0.6173882678056155,29011.81818181818
"mp-300025656, Li2PWCO7, Li3PWCO7, mp-25650, mp-25656",1.0,4.0,-1.9203398688364524,0.13196636250372729,0.5889837502719701,26741.333333333332
"mp-300025660, Co2P3O10, LiCo2P3O10, mp-25658, mp-25660",1.0,4.0,0.0,-1.3240073906959124,0.9890939352897644,492.3333333333333
"mp-300025666, LiMnPCO7, Li2MnPCO7, mp-769716, mp-769717",2.0,1.0,-2.5343862585259918,-0.015009771280920937,0.5462989695399645,29021.727272727272
