,deltaz,deltaz2,deltay,anisotropyMean,deltax2,deltay2,deltax, max Anisotropy
mp-300777058,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777066,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777066,-0.0005305275243454588,-0.0005305275243454588,-0.0005305275243454588,-0.0005305275243454588,-0.0005305275243454588,-0.0005305275243454588,-0.0005305275243454588,-0.0005305275243454588
mp-300777067,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777067,0.0992567460653624,0.0992567460653624,0.0992567460653624,0.0992567460653624,0.0992567460653624,0.0992567460653624,0.0992567460653624,0.0992567460653624
mp-300777069,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777072,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777077,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777081,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777083,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777084,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777086,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777109,-0.03431598742508868,-0.03431598742508868,-0.03431598742508868,-0.03431598742508868,-0.03431598742508868,-0.03431598742508868,-0.03431598742508868,-0.03431598742508868
mp-300777141,0.01998167994840116,0.01998167994840116,0.01998167994840116,0.01998167994840116,0.01998167994840116,0.01998167994840116,0.01998167994840116,0.01998167994840116
mp-300777147,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777185,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777185,-0.05604617686951397,-0.05604617686951397,-0.05604617686951397,-0.05604617686951397,-0.05604617686951397,-0.05604617686951397,-0.05604617686951397,-0.05604617686951397
mp-300777185,0.1838309584712005,0.1838309584712005,0.1838309584712005,0.1838309584712005,0.1838309584712005,0.1838309584712005,0.1838309584712005,0.1838309584712005
mp-300777185,0.033359877074086164,0.033359877074086164,0.033359877074086164,0.033359877074086164,0.033359877074086164,0.033359877074086164,0.033359877074086164,0.033359877074086164
mp-300777213,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777221,0.010126930790051407,0.010126930790051407,0.010126930790051407,0.010126930790051407,0.010126930790051407,0.010126930790051407,0.010126930790051407,0.010126930790051407
mp-300777221,-0.0020829336175006547,-0.0020829336175006547,-0.0020829336175006547,-0.0020829336175006547,-0.0020829336175006547,-0.0020829336175006547,-0.0020829336175006547,-0.0020829336175006547
mp-300777249,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777280,6.224172639318067,6.224172639318067,6.224172639318067,6.224172639318067,6.224172639318067,6.224172639318067,6.224172639318067,6.224172639318067
mp-300777285,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777285,0.022173873988444733,0.022173873988444733,0.022173873988444733,0.022173873988444733,0.022173873988444733,0.022173873988444733,0.022173873988444733,0.022173873988444733
mp-300777304,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777312,-0.017982151483627362,-0.017982151483627362,-0.017982151483627362,-0.017982151483627362,-0.017982151483627362,-0.017982151483627362,-0.017982151483627362,-0.017982151483627362
mp-300777323,-0.06009741906990972,-0.06009741906990972,-0.06009741906990972,-0.06009741906990972,-0.06009741906990972,-0.06009741906990972,-0.06009741906990972,-0.06009741906990972
mp-300777356,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777360,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777360,3.9856407424662215,3.9856407424662215,3.9856407424662215,3.9856407424662215,3.9856407424662215,3.9856407424662215,3.9856407424662215,3.9856407424662215
mp-300777396,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777417,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777439,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777465,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777465,0.3181132349339375,0.3181132349339375,0.3181132349339375,0.3181132349339375,0.3181132349339375,0.3181132349339375,0.3181132349339375,0.3181132349339375
mp-300777471,0.011949442500000185,0.011949442500000185,0.011949442500000185,0.011949442500000185,0.011949442500000185,0.011949442500000185,0.011949442500000185,0.011949442500000185
mp-300777475,0.07253697321984776,0.07253697321984776,0.07253697321984776,0.07253697321984776,0.07253697321984776,0.07253697321984776,0.07253697321984776,0.07253697321984776
mp-300777480,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777495,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777495,0.0991774851696463,0.0991774851696463,0.0991774851696463,0.0991774851696463,0.0991774851696463,0.0991774851696463,0.0991774851696463,0.0991774851696463
mp-300777528,-0.08168370306940997,-0.08168370306940997,-0.08168370306940997,-0.08168370306940997,-0.08168370306940997,-0.08168370306940997,-0.08168370306940997,-0.08168370306940997
mp-300777530,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777530,0.002127069843408602,0.002127069843408602,0.002127069843408602,0.002127069843408602,0.002127069843408602,0.002127069843408602,0.002127069843408602,0.002127069843408602
mp-300777601,0.04725148791878064,0.04725148791878064,0.04725148791878064,0.04725148791878064,0.04725148791878064,0.04725148791878064,0.04725148791878064,0.04725148791878064
mp-300777612,1.045045945276731e-05,1.045045945276731e-05,1.045045945276731e-05,1.045045945276731e-05,1.045045945276731e-05,1.045045945276731e-05,1.045045945276731e-05,1.045045945276731e-05
mp-300777617,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777630,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777630,0.07333005120137015,0.07333005120137015,0.07333005120137015,0.07333005120137015,0.07333005120137015,0.07333005120137015,0.07333005120137015,0.07333005120137015
mp-300777675,inf,inf,inf,inf,inf,inf,inf,inf
mp-300777680,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
mp-300777680,0.15252770634319024,0.15252770634319024,0.15252770634319024,0.15252770634319024,0.15252770634319024,0.15252770634319024,0.15252770634319024,0.15252770634319024
mp-300777681,0.026449859970530287,0.026449859970530287,0.026449859970530287,0.026449859970530287,0.026449859970530287,0.026449859970530287,0.026449859970530287,0.026449859970530287
