,VnormLiFrac,dVnormNumDens,dVnormNumDensnorPerFormulaUnit,dVnormLiPerFormulaUnit,dVnormLiFrac,dVraw,dVnormNumDensnorPerFormulaUnit2,dVnormLiFrac2,dVoriginal,dVnormNumDens2,dVperAtom,dVnormLiPerFormulaUnit2,VnormLi,volumetricCap,energy_vol,avgVolt,gravCap,energy_grav
"mp-300765528, LiVOF3, Li2VOF3",0.4149180293526583,-0.22425087870695626,-0.07489908238087165,0.002997663966871622,0.025180377321721625,-0.0029887048340828115,-0.07489908238087165,-0.02510512060629562,0.002997663966871622,-0.22425087870695626,-1.2215186748053957,-0.0029887048340828115,-0.0014943524170414058,5.068999436721019e-06,1.8094760919557202e-06,0.0010700733640799324,1.541453475360219e-05,5.502512370233435e-06
"mp-300765529, Li2Mn3(CoO4)3, Li4Mn3(CoO4)3",0.43583721099042455,-2.5492595877189017,-1.2957850402281996,0.03862578820793317,0.3147286446572332,-0.025104082164722624,-1.2957850402281996,-0.3068276709021654,0.025750525471955443,-2.5492595877189017,-1.3900453573858071,-0.037656123247083936,-0.012552041082361309,6.02304209100386e-05,1.790571707848587e-05,0.007655294729084809,0.00026967884995602665,8.017199807679312e-05
"mp-300765530, VF4, LiVF4",1.0,74.49576287690097,74.49576287690097,0.0006911566413749793,0.004146939848249875,0.0006911566413748902,74.49576287690097,0.004146939848249342,0.0006911566413749793,74.49576287690097,-0.9965442167931255,0.0006911566413748902,0.25034557832068743,1.1553146134262492e-06,2.758834477898852e-07,0.00016504480681666606,3.4523972694965315e-06,8.244154888895896e-07
"mp-300765532, V3O5F, LiV3O5F",1.0,0.7214774992578135,0.7214774992578135,0.0067773084190236865,0.06777308419023688,0.006777308419023631,0.7214774992578135,0.06777308419023631,0.0067773084190236865,0.7214774992578135,-0.9390042242287876,0.006777308419023631,0.006777308419023631,1.6211190789250807e-05,5.427430640564782e-06,0.002269011070942233,6.54330392952826e-05,2.1906674654151585e-05
"mp-300765547, Li2V(OF)2, Li3V(OF)2",0.2433029301958573,0.5086715502784489,0.10088947944237543,0.006882135941093548,0.07707992254024773,0.006882135941093485,0.10088947944237543,0.07707992254024702,0.006882135941093548,0.5086715502784489,-1.3325550677772835,0.006882135941093485,0.003441067970546743,1.1272242047442971e-05,4.9302508686889505e-06,0.0030101071782528683,3.6401431478025936e-05,1.5921250485103778e-05
"mp-300765551, LiMnNiO4, Li2MnNiO4",0.4391233570087929,1.3657830243654014,0.4495150063485783,0.01881327840840319,0.17559059847842975,0.018813278408403262,0.4495150063485783,0.17559059847843042,0.01881327840840319,1.3657830243654014,-1.0130248929980403,0.018813278408403262,0.009406639204201631,3.0111022158766497e-05,9.358471096276058e-06,0.005847145317183352,0.00013443101992772192,4.1781006563080874e-05
"mp-300765552, MnCoO4, LiMnCoO4",1.0,3.777984634940709,3.777984634940709,0.05356005061572522,0.3749203543100765,0.05356005061572525,3.777984634940709,0.3749203543100768,0.05356005061572522,3.777984634940709,-0.6786396963056479,0.05356005061572525,0.026780025307862627,8.488917503163294e-05,2.0349381402430395e-05,0.012839256566066591,0.0003693237655837468,8.853319830290368e-05
"mp-300765570, LiMn(PO4)2, Li2Mn(PO4)2",0.4457815879892443,-3.2920749916964103,-1.1138025818963186,0.0231724529429338,0.3286275144634247,-0.02264765130871456,-1.1138025818963186,-0.32118487310540644,0.0231724529429338,-3.2920749916964103,-1.3873874353140825,-0.02264765130871456,-0.01132382565435728,7.739924238924886e-05,1.5177003782165757e-05,0.004543822330821878,0.00022372524063254102,4.386966484981601e-05
"mp-300765603, Li2FeCo3O8, Li3FeCo3O8",0.2934443297027555,1.6169589326110845,0.31910863293342845,0.01094045991481152,0.1914580485092015,0.010940459914811494,0.31910863293342845,0.19145804850920106,0.01094045991481152,1.6169589326110845,-0.9879724880580796,0.010940459914811494,0.010940459914811494,3.553717053538225e-05,1.0943555846106747e-05,0.0033690789743833576,0.00015571445839463125,4.795175996893933e-05
"mp-300765611, Fe3Co7O20, Li2Fe3Co7O20",1.0,0.8548893956175773,0.42744469780878863,0.002487621995981515,0.07960390387140848,0.004975243991963076,0.42744469780878863,0.07960390387140921,0.00497524399196303,0.8548893956175773,-0.9253713401205541,0.002487621995981538,0.002487621995981538,1.9208880540723984e-05,4.360635047193468e-06,0.0011294371514101276,8.482854278146109e-05,1.925704706585925e-05
"mp-300765611, Li2Fe3Co7O20, Li6Fe3Co7O20",0.6311383822418062,1.4657252538024017,0.1820699098956588,0.004160355771842761,0.15975766163876204,0.01664142308737094,0.1820699098956588,0.15975766163876104,0.016641423087371043,1.4657252538024017,-0.9246598563211018,0.004160355771842735,0.004160355771842735,3.265998186877496e-05,7.988212295056921e-06,0.004070278454161546,0.00014617895600268802,3.575349607697308e-05
"mp-300765611, Li6Fe3Co7O20, Li10Fe3Co7O20",0.3201121445640269,-1.6182710006042471,-0.10296587966140723,0.004957945788489904,0.2379813978475153,-0.019446131687156608,-0.10296587966140723,-0.2333535802458793,0.01983178315395961,-1.6182710006042471,-1.4100182222212911,-0.004861532921789152,-0.004861532921789152,3.8164422897361514e-05,1.0898739256132463e-05,0.0056634272751995155,0.0001793392119413896,5.121448618798875e-05
"mp-300765619, Li4NbFe5O12, Li6NbFe5O12",0.23681369288973175,-5.155277518065153,-0.5435828784052518,0.024690586138309437,0.7242571933904101,-0.04705742163211006,-0.5435828784052518,-0.6901755172709476,0.04938117227661887,-5.155277518065153,-1.854883113053924,-0.02352871081605503,-0.02352871081605503,0.00013299654308307038,5.287452999257472e-05,0.01963213640055091,0.0005580594615646723,0.00022186390002416114
"mp-300765660, Mn2V3O12, Li3Mn2V3O12",1.0,5.3861735145245015,1.7953911715081667,0.020980991848552174,0.4196198369710436,0.06294297554565663,1.7953911715081667,0.4196198369710442,0.06294297554565652,5.3861735145245015,-0.6433231385746129,0.02098099184855221,0.005245247962138052,0.0001210242683351705,2.8869848688132088e-05,0.015014791702366559,0.0003722482723977973,8.879831662175728e-05
"mp-300765660, Li3Mn2V3O12, Li4Mn2V3O12",0.23325052712626354,7.766061712129493,1.0561109948221865,0.027062981926145424,0.6686148475871223,0.02706298192614553,1.0561109948221865,0.668614847587125,0.027062981926145424,7.766061712129493,-0.5396945429142205,0.02706298192614553,0.006765745481536383,0.00016033161773238764,4.966518585384301e-05,0.008383175110006361,0.0004871646819849746,0.0001509067569728923
"mp-300765682, V3CrO8, Li2V3CrO8",1.0,4.3894255832831,2.19471279164155,0.028760347912348824,0.4026448707728836,0.057520695824697626,2.19471279164155,0.40264487077288347,0.05752069582469765,4.3894255832831,-0.6548758250518141,0.02876034791234882,0.02876034791234882,9.862790684258424e-05,3.751296435229496e-05,0.021877903334550242,0.00037203723354840867,0.00014150375818177722
"mp-300765682, Li2V3CrO8, Li3V3CrO8",0.30899975909806016,5.700554708381803,1.0927299768032197,0.033698213119840004,0.5897187295971998,0.03369821311983999,1.0927299768032197,0.5897187295971996,0.033698213119840004,5.700554708381803,-0.6162625190426122,0.03369821311983999,0.03369821311983999,0.00011945554637688213,6.337342953562967e-05,0.017877540218091566,0.0004446394230839157,0.0002358896342800943
"mp-300765697, LiTiFeO4, Li2TiFeO4",0.433485812611499,0.6749681507234083,0.22368445515406896,0.008674776641913517,0.08096458199119283,0.008674776641913573,0.22368445515406896,0.08096458199119334,0.008674776641913517,0.6749681507234083,-1.095822657424372,0.008674776641913573,0.0043373883209567865,1.503458908720028e-05,7.2030399389826016e-06,0.004156067202837817,5.87753524033996e-05,2.8159147438881022e-05
"mp-300765701, Li2V3FeO8, Li4V3FeO8",0.4425780008878132,1.9632620294024108,0.3216827408071941,0.012563706077884372,0.2345225134538416,0.025127412155768858,0.3216827408071941,0.23452251345384265,0.025127412155768747,1.9632620294024108,-0.9614594673945548,0.012563706077884429,0.012563706077884429,4.300493065064531e-05,1.6380748465713214e-05,0.009571130842220674,0.00017083290444067428,6.507093012293737e-05
